NAME_1,SkilledProvider,HealthFacility,Characteristic
Mombasa,95.5,94.1,county
Kwale,89.3,84.1,county
Kilifi,84.5,83.8,county
Tana River,59.2,51.1,county
Lamu,92.5,90.3,county
Taita/Taveta,95.7,93.3,county
Garissa,68.1,61.4,county
Wajir,56.6,53.6,county
Mandera,54.7,50.4,county
Marsabit,68.7,59.3,county
Isiolo,85.0,83.7,county
Meru,90.9,71.6,county
Tharaka-Nithi,95.1,74.9,county
Embu,96.3,86.3,county
Kitui,86.0,76.2,county
Machakos,95.3,93.1,county
Makueni,92.1,88.1,county
Nyandarua,98.0,95.3,county
Nyeri,99.1,99.1,county
Kirinyaga,97.3,91.6,county
Murang’a,96.2,83.9,county
Kiambu,98.2,89.2,county
Turkana,52.6,43.2,county
West Pokot,65.3,55.5,county
Samburu,56.6,49.1,county
Trans Nzoia,93.3,85.2,county
Uasin Gishu,95.3,91.0,county
Elgeyo/Marakwet,97.5,85.4,county
Nandi,87.1,80.9,county
Baringo,83.0,58.1,county
Laikipia,92.6,87.1,county
Nakuru,93.4,93.5,county
Narok,70.1,64.2,county
Kajiado,85.3,82.7,county
Kericho,92.3,89.7,county
Bomet,88.2,56.5,county
Kakamega,95.7,90.0,county
Vihiga,97.2,90.9,county
Bungoma,87.2,79.3,county
Busia,87.6,83.7,county
Siaya,94.9,84.4,county
Kisumu,97.9,94.4,county
Homa Bay,91.2,86.4,county
Migori,92.6,89.2,county
Kisii,93.5,76.0,county
Nyamira,92.6,91.5,county
Nairobi City,99.4,93.4,county
