County,using_condoms,limit_sex,hivprevention_knowledge,Participants
Mombasa,75.6,83.5,45.3,Women_15-24
Kwale,86.2,87.4,63.4,Women_15-24
Kilifi,75.7,90.8,57.1,Women_15-24
Tana River,49.9,71.8,35.2,Women_15-24
Lamu,49.7,81.6,34.7,Women_15-24
Taita Taveta,82.3,85.3,61,Women_15-24
Garissa,27.7,55.3,15,Women_15-24
Wajir,45.9,76.3,26.9,Women_15-24
Mandera,15,26.2,4.5,Women_15-24
Marsabit,58.2,58.6,26,Women_15-24
Isiolo,68,75.7,35.7,Women_15-24
Meru,66.2,84.8,41.1,Women_15-24
Tharaka-Nithi,74.4,90.1,51.5,Women_15-24
Embu,79.6,84.5,49.4,Women_15-24
Kitui,75.4,86.5,65.6,Women_15-24
Machakos,88.1,98.1,68.1,Women_15-24
Makueni,76.3,88.2,55,Women_15-24
Nyandarua,80.2,96.2,59.1,Women_15-24
Nyeri,88.2,86.8,62,Women_15-24
Kirinyaga,82.2,92.9,65,Women_15-24
Murang'a,81.7,89.5,47.3,Women_15-24
Kiambu,80.3,85.3,50.8,Women_15-24
Turkana,67,75.6,23.2,Women_15-24
West Pokot,74.7,79.6,43.7,Women_15-24
Samburu,67.3,84.8,31.8,Women_15-24
Trans Nzoia,91.1,98.6,74,Women_15-24
Uasin Gishu,79.5,90.5,56.6,Women_15-24
Elgeyo-Marakwet,82.1,92.4,53.6,Women_15-24
Nandi,76.6,87,43,Women_15-24
Baringo,69.5,88.4,46.8,Women_15-24
Laikipia,81.1,88,50,Women_15-24
Nakuru,84.2,89.1,54.3,Women_15-24
Narok,76.2,87.8,49.7,Women_15-24
Kajiado,80.2,90.6,60,Women_15-24
Kericho,88.6,87.4,49,Women_15-24
Bomet,82.3,94.5,58.2,Women_15-24
Kakamega,75.1,88.8,50.6,Women_15-24
Vihiga,75.5,83.7,58.5,Women_15-24
Bungoma,68.7,85.3,32.4,Women_15-24
Busia,83.1,93.3,63.3,Women_15-24
Siaya,90.4,90.8,71.5,Women_15-24
Kisumu,95.8,95.6,73.5,Women_15-24
Homa Bay,86.7,90.8,58.4,Women_15-24
Migori,71.9,82.8,44.8,Women_15-24
Kisii,92.1,97.3,78.8,Women_15-24
Nyamira,86.9,96.6,78.2,Women_15-24
Nairobi,87.8,89.7,58,Women_15-24
Mombasa,70,97.2,60.9,Men_15-24
Kwale,63.5,95.1,42.8,Men_15-24
Kilifi,74.1,84.5,51,Men_15-24
Tana River,57.3,53.7,32.3,Men_15-24
Lamu,97.9,95.5,84.7,Men_15-24
Taita Taveta,82.4,89.5,49,Men_15-24
Garissa,95.4,99.8,88.7,Men_15-24
Wajir,73.9,87.1,43.1,Men_15-24
Mandera,57.3,61.5,16.8,Men_15-24
Marsabit,58.4,89.5,34.7,Men_15-24
Isiolo,83.7,95.9,58.6,Men_15-24
Meru,81.6,86.8,50.2,Men_15-24
Tharaka-Nithi,80.9,92.5,51.8,Men_15-24
Embu,75,75.5,56.5,Men_15-24
Kitui,96.7,94.4,80.9,Men_15-24
Machakos,84.9,86.8,54.5,Men_15-24
Makueni,86.9,98.4,52.5,Men_15-24
Nyandarua,85.3,79.7,47,Men_15-24
Nyeri,88,80.2,53.7,Men_15-24
Kirinyaga,93.3,90.6,74,Men_15-24
Murang'a,96,97.4,64,Men_15-24
Kiambu,72.2,80.7,37.5,Men_15-24
Turkana,70.1,73.8,49.4,Men_15-24
West Pokot,90.8,94.9,77.2,Men_15-24
Samburu,73.5,88.5,30.6,Men_15-24
Trans Nzoia,82.9,93.7,64.3,Men_15-24
Uasin Gishu,85.5,82.6,63,Men_15-24
Elgeyo-Marakwet,77.8,69.6,43.7,Men_15-24
Nandi,85,77,61.9,Men_15-24
Baringo,78.6,69.9,45.2,Men_15-24
Laikipia,75.9,90.2,44.4,Men_15-24
Nakuru,75.9,76.5,35.1,Men_15-24
Narok,69.5,87.3,35.6,Men_15-24
Kajiado,88.5,92.3,50.4,Men_15-24
Kericho,97,98.5,85.4,Men_15-24
Bomet,94.1,91.7,54.2,Men_15-24
Kakamega,86,97.3,44.3,Men_15-24
Vihiga,76.5,81.6,50.1,Men_15-24
Bungoma,69.4,80,36.1,Men_15-24
Busia,75.9,82.9,38.3,Men_15-24
Siaya,83,91.5,39.9,Men_15-24
Kisumu,97,99.4,78.9,Men_15-24
Homa Bay,82.3,77,49.4,Men_15-24
Migori,94.5,99.1,62.7,Men_15-24
Kisii,97.7,99.2,95,Men_15-24
Nyamira,75.6,84.6,51.9,Men_15-24
Nairobi,95.6,98.9,74.2,Men_15-24
