"","County","Doctor","Nurse.Midwife","Community_Health_Worker","Traditional_Birth_Attendant","Percentage_receiving_ANC_from_skilled_provider","Year"
"1","Mombasa",61.3,37.9,0,0,99.2,"2014"
"2","Kwale",15.2,80.5,0,0,95.7,"2014"
"3","Kilifi",70,28.2,0,0,98.2,"2014"
"4","Tana River",0.1,93.4,0,0,93.6,"2014"
"5","Lamu",6.3,89.4,0,0,95.7,"2014"
"6","Taita Taveta",24.5,73.4,0,0,97.9,"2014"
"7","Garissa",2.9,84.5,0,0,87.3,"2014"
"8","Wajir",4,53.6,19.9,0,57.6,"2014"
"9","Mandera",25.7,24.8,0.5,0.8,50.5,"2014"
"10","Marsabit",12.9,62.7,1.4,0,75.6,"2014"
"11","Isiolo",20.6,75.4,0,0.3,96,"2014"
"12","Meru",24.2,73,0,0,97.3,"2014"
"13","Tharaka-Nithi",22.5,75.8,0,0,98.3,"2014"
"14","Embu",21.5,77.7,0,0,99.2,"2014"
"15","Kitui",11.2,86.3,0,0,97.5,"2014"
"16","Machakos",24.1,74.7,0,0,98.8,"2014"
"17","Makueni",5.7,92.3,0,0,98,"2014"
"18","Nyandarua",40.4,56.3,0,0,96.7,"2014"
"19","Nyeri",62.3,34.4,0,0,96.7,"2014"
"20","Kirinyaga",36.8,59.6,0,0,96.4,"2014"
"21","Muranga",74.3,23.1,0,0,97.4,"2014"
"22","Kiambu",69.3,28.7,0.4,0,97.9,"2014"
"23","Turkana",0.6,90.4,0,0,91,"2014"
"24","West Pokot",14.7,70.5,0,0.2,85.2,"2014"
"25","Samburu",2.7,71.1,0.4,0,73.8,"2014"
"26","Trans-Nzoia",44.6,47.4,0,0,92,"2014"
"27","Uasin Gishu",30.4,65.6,0.2,0.3,96.1,"2014"
"28","Elgeyo Marakwet",20.8,77.3,0,0,98.1,"2014"
"29","Nandi",8.5,90,0,0,98.5,"2014"
"30","Baringo",11.5,81.4,0,1.1,92.8,"2014"
"31","Laikipia",23.8,69.9,0,0,93.7,"2014"
"32","Nakuru",39.9,55.7,0,0,95.6,"2014"
"33","Narok",13.5,78.1,0,0,91.6,"2014"
"34","Kajiado",59.9,36.7,0,0,96.7,"2014"
"35","Kericho",46.8,50.3,0,0,97.1,"2014"
"36","Bomet",30,63.6,1.1,0,93.5,"2014"
"37","Kakamega",29.4,67.1,0,0.3,96.4,"2014"
"38","Vihiga",16.5,80.6,0.2,0,97.1,"2014"
"39","Bungoma",13.2,84.4,0,0,97.6,"2014"
"40","Busia",20.8,76.8,0,0,97.6,"2014"
"41","Siaya",1.6,96.2,0.6,0.1,97.8,"2014"
"42","Kisumu",21.9,76.6,0.3,0,98.4,"2014"
"43","Homa Bay",23.1,70.4,2.1,0,93.5,"2014"
"44","Migori",4.5,91.9,0,0,96.4,"2014"
"45","Kisii",10.7,87,0,0,97.7,"2014"
"46","Nyamira",7.7,88.6,0,0,96.4,"2014"
"47","Nairobi",44.8,52.8,0.5,0,97.6,"2014"
"48","Mombasa",68.5,30.9,0,0,99.4,"2022"
"49","Kwale",26.9,72.4,0,0,99.3,"2022"
"50","Kilifi",34,65.3,0,0,99.3,"2022"
"51","Tana River",5.6,89.7,0.6,0.7,95.3,"2022"
"52","Lamu",38.3,59.6,0,0,97.9,"2022"
"53","Taita Taveta",21.9,78.1,0,0,100,"2022"
"54","Garissa",6,71.5,0.4,1.9,77.5,"2022"
"55","Wajir",3.3,80.8,0,0,84,"2022"
"56","Mandera",49.9,26.5,0,0.9,76.4,"2022"
"57","Marsabit",37.4,56.4,1.2,0,93.8,"2022"
"58","Isiolo",53.2,46,0,0,99.3,"2022"
"59","Meru",72.4,26.9,0,0,99.2,"2022"
"60","Tharaka-Nithi",69.4,28.6,0,0,98,"2022"
"61","Embu",37.6,62.4,0,0,100,"2022"
"62","Kitui",69.6,24.4,0,0,94.1,"2022"
"63","Machakos",42.6,55.4,0,0,98,"2022"
"64","Makueni",12.5,86.5,0,0,99.1,"2022"
"65","Nyandarua",49.5,48.8,0,0,98.3,"2022"
"66","Nyeri",64.1,33.2,0,0,97.3,"2022"
"67","Kirinyaga",74.9,25.1,0,0,100,"2022"
"68","Murang'a",70.4,29.6,0,0,100,"2022"
"69","Kiambu",51.9,46.5,0,0,98.4,"2022"
"70","Turkana",8.4,91.1,0,0,99.5,"2022"
"71","West Pokot",53.6,44.2,0,0,97.9,"2022"
"72","Samburu",3.8,89.1,0,0,92.9,"2022"
"73","Trans Nzoia",41.6,57.2,0,0,98.8,"2022"
"74","Uasin Gishu",41.9,56.9,0,0,98.9,"2022"
"75","Elgeyo-Marakwet",15.1,84.2,0,0,99.3,"2022"
"76","Nandi",62.6,35.1,0,0,97.6,"2022"
"77","Baringo",34.4,65,0,0,99.3,"2022"
"78","Laikipia",57.1,41.8,0,0,99,"2022"
"79","Nakuru",55.7,42,0,0,97.7,"2022"
"80","Narok",23.4,73.1,0,0.5,96.5,"2022"
"81","Kajiado",54.5,45.5,0,0,100,"2022"
"82","Kericho",27.7,68,0,0,95.7,"2022"
"83","Bomet",47.7,48.9,0,0,96.6,"2022"
"84","Kakamega",58.3,41.7,0,0,100,"2022"
"85","Vihiga",21,78.1,0,0,99.1,"2022"
"86","Bungoma",56.3,42.3,0,0,98.6,"2022"
"87","Busia",23.7,75.7,0,0,99.4,"2022"
"88","Siaya",20.4,78.7,0,0,99.1,"2022"
"89","Kisumu",30.2,67.8,0,0.6,98,"2022"
"90","Homa Bay",46.6,48.6,3.1,0,95.1,"2022"
"91","Migori",60,40,0,0,100,"2022"
"92","Kisii",15.3,83.2,0,0,98.5,"2022"
"93","Nyamira",37,63,0,0,100,"2022"
"94","Nairobi",66.2,33.8,0,0,100,"2022"
