"","County","Percentage_delivered_by_CS","Year"
"1","Mombasa",13.3,"2014"
"2","Kwale",5.3,"2014"
"3","Kilifi",4.4,"2014"
"4","Tana River",2.4,"2014"
"5","Lamu",7.3,"2014"
"6","Taita Taveta",8.7,"2014"
"7","Garissa",5.5,"2014"
"8","Wajir",1.3,"2014"
"9","Mandera",1.8,"2014"
"10","Marsabit",2.3,"2014"
"11","Isiolo",6.9,"2014"
"12","Meru",18.5,"2014"
"13","Tharaka-Nithi",14.5,"2014"
"14","Embu",15.9,"2014"
"15","Kitui",5.4,"2014"
"16","Machakos",11.4,"2014"
"17","Makueni",9.9,"2014"
"18","Nyandarua",9,"2014"
"19","Nyeri",13.5,"2014"
"20","Kirinyaga",15.3,"2014"
"21","Muranga",11.7,"2014"
"22","Kiambu",20.1,"2014"
"23","Turkana",0.5,"2014"
"24","West Pokot",2.2,"2014"
"25","Samburu",2.9,"2014"
"26","Trans-Nzoia",5.3,"2014"
"27","Uasin Gishu",4.8,"2014"
"28","Elgeyo Marakwet",3.5,"2014"
"29","Nandi",2.8,"2014"
"30","Baringo",5.2,"2014"
"31","Laikipia",6.5,"2014"
"32","Nakuru",6.9,"2014"
"33","Narok",5.1,"2014"
"34","Kajiado",11.1,"2014"
"35","Kericho",10.3,"2014"
"36","Bomet",4.8,"2014"
"37","Kakamega",3.1,"2014"
"38","Vihiga",6.6,"2014"
"39","Bungoma",5,"2014"
"40","Busia",4,"2014"
"41","Siaya",4.3,"2014"
"42","Kisumu",6.8,"2014"
"43","Homa Bay",3.1,"2014"
"44","Migori",6.5,"2014"
"45","Kisii",5.3,"2014"
"46","Nyamira",5.2,"2014"
"47","Nairobi",20.7,"2014"
"48","Mombasa",18.8,"2022"
"49","Kwale",6.3,"2022"
"50","Kilifi",9.1,"2022"
"51","Tana River",6.9,"2022"
"52","Lamu",19.4,"2022"
"53","Taita Taveta",26.5,"2022"
"54","Garissa",11.2,"2022"
"55","Wajir",2.4,"2022"
"56","Mandera",3.7,"2022"
"57","Marsabit",6.2,"2022"
"58","Isiolo",12.3,"2022"
"59","Meru",22.9,"2022"
"60","Tharaka-Nithi",30.2,"2022"
"61","Embu",22.4,"2022"
"62","Kitui",14.9,"2022"
"63","Machakos",17.2,"2022"
"64","Makueni",22.5,"2022"
"65","Nyandarua",13.4,"2022"
"66","Nyeri",18.1,"2022"
"67","Kirinyaga",40.3,"2022"
"68","Murang'a",19.7,"2022"
"69","Kiambu",33.2,"2022"
"70","Turkana",4.3,"2022"
"71","West Pokot",9.6,"2022"
"72","Samburu",4.9,"2022"
"73","Trans Nzoia",9.8,"2022"
"74","Uasin Gishu",14.3,"2022"
"75","Elgeyo-Marakwet",7.1,"2022"
"76","Nandi",10.1,"2022"
"77","Baringo",7.4,"2022"
"78","Laikipia",12.4,"2022"
"79","Nakuru",14.5,"2022"
"80","Narok",8.8,"2022"
"81","Kajiado",23.3,"2022"
"82","Kericho",21.3,"2022"
"83","Bomet",15.9,"2022"
"84","Kakamega",8.2,"2022"
"85","Vihiga",16.5,"2022"
"86","Bungoma",11.3,"2022"
"87","Busia",11.1,"2022"
"88","Siaya",15.7,"2022"
"89","Kisumu",9.8,"2022"
"90","Homa Bay",9.7,"2022"
"91","Migori",6.3,"2022"
"92","Kisii",21.7,"2022"
"93","Nyamira",12,"2022"
"94","Nairobi",28.1,"2022"
