County,Category,year,type,Prop,Proportion
Mombasa,Stunting,2022,Child nutritional status,Proportion (2022),13.5
Mombasa,Stunting,2022,Child nutritional status,Percentage change,-36
Kwale,Stunting,2022,Child nutritional status,Proportion (2022),22.7
Kwale,Stunting,2022,Child nutritional status,Percentage change,-23.6
Kilifi,Stunting,2022,Child nutritional status,Proportion (2022),37
Kilifi,Stunting,2022,Child nutritional status,Percentage change,-5.4
Tana River,Stunting,2022,Child nutritional status,Proportion (2022),21.1
Tana River,Stunting,2022,Child nutritional status,Percentage change,-24.9
Lamu,Stunting,2022,Child nutritional status,Proportion (2022),16.1
Lamu,Stunting,2022,Child nutritional status,Percentage change,-44.9
Taita Taveta,Stunting,2022,Child nutritional status,Proportion (2022),19.2
Taita Taveta,Stunting,2022,Child nutritional status,Percentage change,-19.3
Garissa,Stunting,2022,Child nutritional status,Proportion (2022),9
Garissa,Stunting,2022,Child nutritional status,Percentage change,-42.3
Wajir,Stunting,2022,Child nutritional status,Proportion (2022),12.4
Wajir,Stunting,2022,Child nutritional status,Percentage change,-53
Mandera,Stunting,2022,Child nutritional status,Proportion (2022),20.5
Mandera,Stunting,2022,Child nutritional status,Percentage change,-43.2
Marsabit,Stunting,2022,Child nutritional status,Proportion (2022),18.9
Marsabit,Stunting,2022,Child nutritional status,Percentage change,-28.7
Isiolo,Stunting,2022,Child nutritional status,Proportion (2022),14.1
Isiolo,Stunting,2022,Child nutritional status,Percentage change,-26.2
Meru,Stunting,2022,Child nutritional status,Proportion (2022),25.2
Meru,Stunting,2022,Child nutritional status,Percentage change,0
Tharaka Nithi,Stunting,2022,Child nutritional status,Proportion (2022),20.5
Tharaka Nithi,Stunting,2022,Child nutritional status,Percentage change,-37.7
Embu,Stunting,2022,Child nutritional status,Proportion (2022),19.9
Embu,Stunting,2022,Child nutritional status,Percentage change,-25.7
Kitui,Stunting,2022,Child nutritional status,Proportion (2022),25.1
Kitui,Stunting,2022,Child nutritional status,Percentage change,-45.2
Machakos,Stunting,2022,Child nutritional status,Proportion (2022),16.2
Machakos,Stunting,2022,Child nutritional status,Percentage change,-38.9
Makueni,Stunting,2022,Child nutritional status,Proportion (2022),19.8
Makueni,Stunting,2022,Child nutritional status,Percentage change,-21.1
Nyandarua,Stunting,2022,Child nutritional status,Proportion (2022),17.8
Nyandarua,Stunting,2022,Child nutritional status,Percentage change,-39.5
Nyeri,Stunting,2022,Child nutritional status,Proportion (2022),12.5
Nyeri,Stunting,2022,Child nutritional status,Percentage change,-17.2
Kirinyaga,Stunting,2022,Child nutritional status,Proportion (2022),11.2
Kirinyaga,Stunting,2022,Child nutritional status,Percentage change,-34.9
