County,Category,Proportion,year,type,percentage_change
Mombasa,Stunting,13.5,2022,Child nutritional status,-36
Kwale,Stunting,22.7,2022,Child nutritional status,-23.6
Kilifi,Stunting,37,2022,Child nutritional status,-5.4
Tana River,Stunting,21.1,2022,Child nutritional status,-24.9
Lamu,Stunting,16.1,2022,Child nutritional status,-44.9
Taita Taveta,Stunting,19.2,2022,Child nutritional status,-19.3
Garissa,Stunting,9,2022,Child nutritional status,-42.3
Wajir,Stunting,12.4,2022,Child nutritional status,-53
Mandera,Stunting,20.5,2022,Child nutritional status,-43.2
Marsabit,Stunting,18.9,2022,Child nutritional status,-28.7
Isiolo,Stunting,14.1,2022,Child nutritional status,-26.2
Meru,Stunting,25.2,2022,Child nutritional status,0
Tharaka Nithi,Stunting,20.5,2022,Child nutritional status,-37.7
Embu,Stunting,19.9,2022,Child nutritional status,-25.7
Kitui,Stunting,25.1,2022,Child nutritional status,-45.2
Machakos,Stunting,16.2,2022,Child nutritional status,-38.9
Makueni,Stunting,19.8,2022,Child nutritional status,-21.1
Nyandarua,Stunting,17.8,2022,Child nutritional status,-39.5
Nyeri,Stunting,12.5,2022,Child nutritional status,-17.2
Kirinyaga,Stunting,11.2,2022,Child nutritional status,-34.9
Muranga,Stunting,10.1,2022,Child nutritional status,-47.7
Kiambu,Stunting,15.3,2022,Child nutritional status,-2.5
Turkana,Stunting,23,2022,Child nutritional status,-3.8
West Pokot,Stunting,33.5,2022,Child nutritional status,-27
Samburu,Stunting,31.4,2022,Child nutritional status,4.3
Trans Nzoia,Stunting,21.3,2022,Child nutritional status,-27.1
Uasin Gishu,Stunting,14.2,2022,Child nutritional status,-54.5
Elgeyo Marakwet,Stunting,21.8,2022,Child nutritional status,-27.1
Nandi,Stunting,15.1,2022,Child nutritional status,-49.5
Baringo,Stunting,21.2,2022,Child nutritional status,-28.1
Laikipia,Stunting,12.6,2022,Child nutritional status,-53.2
Nakuru,Stunting,18.5,2022,Child nutritional status,-33
Narok,Stunting,21.5,2022,Child nutritional status,-34.7
Kajiado,Stunting,14,2022,Child nutritional status,-23.1
Kericho,Stunting,19.3,2022,Child nutritional status,-32.8
Bomet,Stunting,22.1,2022,Child nutritional status,-37.7
Kakamega,Stunting,11.5,2022,Child nutritional status,-59.5
Vihiga,Stunting,16.6,2022,Child nutritional status,-29.4
Bungoma,Stunting,19,2022,Child nutritional status,-22.1
Busia,Stunting,15,2022,Child nutritional status,-31.8
Siaya,Stunting,19.2,2022,Child nutritional status,-22.3
Kisumu,Stunting,9.1,2022,Child nutritional status,-49.4
Homa Bay,Stunting,12.5,2022,Child nutritional status,-33.2
Migori,Stunting,14.8,2022,Child nutritional status,-43.9
Kisii,Stunting,16.3,2022,Child nutritional status,-36.1
Nyamira,Stunting,13.5,2022,Child nutritional status,-47.1
Nairobi,Stunting,11.1,2022,Child nutritional status,-35.5
Mombasa,Wasting,4.6,2022,Child nutritional status,12.2
Kwale,Wasting,6.2,2022,Child nutritional status,40.9
Kilifi,Wasting,7.2,2022,Child nutritional status,75.6
Tana River,Wasting,11.3,2022,Child nutritional status,98.2
Lamu,Wasting,3.5,2022,Child nutritional status,-16.7
Taita Taveta,Wasting,4.1,2022,Child nutritional status,-43.1
Garissa,Wasting,15.3,2022,Child nutritional status,34.2
Wajir,Wasting,22.8,2022,Child nutritional status,60.6
Mandera,Wasting,17.3,2022,Child nutritional status,16.9
Marsabit,Wasting,20.4,2022,Child nutritional status,25.2
Isiolo,Wasting,7.2,2022,Child nutritional status,-20.9
Meru,Wasting,6,2022,Child nutritional status,106.9
Tharaka Nithi,Wasting,3.1,2022,Child nutritional status,-6.1
Embu,Wasting,5.3,2022,Child nutritional status,76.7
Kitui,Wasting,4.9,2022,Child nutritional status,44.1
Machakos,Wasting,3.5,2022,Child nutritional status,-46.2
Makueni,Wasting,4,2022,Child nutritional status,90.5
Nyandarua,Wasting,1.9,2022,Child nutritional status,-5
Nyeri,Wasting,2.7,2022,Child nutritional status,12.5
Kirinyaga,Wasting,2.2,2022,Child nutritional status,-43.6
Muranga,Wasting,1.7,2022,Child nutritional status,21.4
Kiambu,Wasting,3.2,2022,Child nutritional status,39.1
Turkana,Wasting,22.6,2022,Child nutritional status,-1.3
West Pokot,Wasting,11,2022,Child nutritional status,-23.1
Samburu,Wasting,15.4,2022,Child nutritional status,13.2
Trans Nzoia,Wasting,3.2,2022,Child nutritional status,-17.9
Uasin Gishu,Wasting,4,2022,Child nutritional status,33.3
Elgeyo Marakwet,Wasting,4.8,2022,Child nutritional status,11.6
Nandi,Wasting,4,2022,Child nutritional status,2.6
Baringo,Wasting,13.6,2022,Child nutritional status,97.1
Laikipia,Wasting,2.6,2022,Child nutritional status,-40.9
Nakuru,Wasting,3,2022,Child nutritional status,-33.3
Narok,Wasting,2.1,2022,Child nutritional status,-12.5
Kajiado,Wasting,7.6,2022,Child nutritional status,153.3
Kericho,Wasting,2.5,2022,Child nutritional status,-55.4
Bomet,Wasting,3.3,2022,Child nutritional status,83.3
Kakamega,Wasting,1.5,2022,Child nutritional status,-16.7
Vihiga,Wasting,2.4,2022,Child nutritional status,-7.7
Bungoma,Wasting,2.3,2022,Child nutritional status,27.8
Busia,Wasting,2.8,2022,Child nutritional status,27.3
Siaya,Wasting,1.7,2022,Child nutritional status,750
Kisumu,Wasting,3,2022,Child nutritional status,275
Homa Bay,Wasting,1.8,2022,Child nutritional status,-21.7
Migori,Wasting,2.4,2022,Child nutritional status,-40
Kisii,Wasting,2.9,2022,Child nutritional status,70.6
Nyamira,Wasting,1.2,2022,Child nutritional status,-70.7
Nairobi,Wasting,2.5,2022,Child nutritional status,0
Mombasa,Underweight,9.8,2022,Child nutritional status,2.1
Kwale,Underweight,13.7,2022,Child nutritional status,16.1
Kilifi,Underweight,19.5,2022,Child nutritional status,15.4
Tana River,Underweight,16.8,2022,Child nutritional status,-9.7
Lamu,Underweight,12.5,2022,Child nutritional status,5.9
Taita Taveta,Underweight,12.6,2022,Child nutritional status,61.5
Garissa,Underweight,14.1,2022,Child nutritional status,7.6
Wajir,Underweight,16.2,2022,Child nutritional status,-23.2
Mandera,Underweight,23.2,2022,Child nutritional status,-6.8
Marsabit,Underweight,25.9,2022,Child nutritional status,-14
Isiolo,Underweight,11.5,2022,Child nutritional status,-10.9
Meru,Underweight,10.8,2022,Child nutritional status,33.3
Tharaka Nithi,Underweight,7.7,2022,Child nutritional status,-28.7
Embu,Underweight,11.3,2022,Child nutritional status,1.8
Kitui,Underweight,13.9,2022,Child nutritional status,-29.4
Machakos,Underweight,8.1,2022,Child nutritional status,0
Makueni,Underweight,8.7,2022,Child nutritional status,-14.7
Nyandarua,Underweight,4,2022,Child nutritional status,-41.2
Nyeri,Underweight,4,2022,Child nutritional status,60
Kirinyaga,Underweight,5.7,2022,Child nutritional status,-26
Muranga,Underweight,5.9,2022,Child nutritional status,5.4
Kiambu,Underweight,6,2022,Child nutritional status,17.6
Turkana,Underweight,31.7,2022,Child nutritional status,-6.8
West Pokot,Underweight,27.1,2022,Child nutritional status,-29.6
Samburu,Underweight,30.2,2022,Child nutritional status,4.5
Trans Nzoia,Underweight,11.1,2022,Child nutritional status,-27.5
Uasin Gishu,Underweight,6.4,2022,Child nutritional status,-44.3
Elgeyo Marakwet,Underweight,13.9,2022,Child nutritional status,10.3
Nandi,Underweight,9,2022,Child nutritional status,-18.9
Baringo,Underweight,19.9,2022,Child nutritional status,-1.5
Laikipia,Underweight,6.6,2022,Child nutritional status,-52.5
Nakuru,Underweight,9.2,2022,Child nutritional status,-9.8
Narok,Underweight,10.7,2022,Child nutritional status,-7.8
Kajiado,Underweight,9.6,2022,Child nutritional status,18.5
Kericho,Underweight,9.2,2022,Child nutritional status,-25.8
Bomet,Underweight,9.8,2022,Child nutritional status,-18.3
Kakamega,Underweight,6.4,2022,Child nutritional status,-36.6
Vihiga,Underweight,9.2,2022,Child nutritional status,55.9
Bungoma,Underweight,9.6,2022,Child nutritional status,6.7
Busia,Underweight,6.3,2022,Child nutritional status,-30
Siaya,Underweight,7,2022,Child nutritional status,-10.3
Kisumu,Underweight,3.5,2022,Child nutritional status,-47
Homa Bay,Underweight,6.1,2022,Child nutritional status,13
Migori,Underweight,5,2022,Child nutritional status,-41.9
Kisii,Underweight,7.8,2022,Child nutritional status,-7.1
Nyamira,Underweight,3.4,2022,Child nutritional status,-64.6
Nairobi,Underweight,5.3,2022,Child nutritional status,39.5
Mombasa,Households with >=1 ITN,63.3,2022,Household possession of ITNs,11.2
Mombasa,"Households with >=1 ITN
per 2 people",45.5,2022,Household possession of ITNs,17
Kwale,Households with >=1 ITN,74,2022,Household possession of ITNs,-8.6
Kwale,"Households with >=1 ITN
per 2 people",47.5,2022,Household possession of ITNs,-0.6
Kilifi,Households with >=1 ITN,74.4,2022,Household possession of ITNs,1.8
Kilifi,"Households with >=1 ITN
per 2 people",48.2,2022,Household possession of ITNs,16.1
Tana River,Households with >=1 ITN,71.3,2022,Household possession of ITNs,9.2
Tana River,"Households with >=1 ITN
per 2 people",34.3,2022,Household possession of ITNs,3.9
Lamu,Households with >=1 ITN,65.9,2022,Household possession of ITNs,-7.3
Lamu,"Households with >=1 ITN
per 2 people",43.3,2022,Household possession of ITNs,-15.4
Taita Taveta,Households with >=1 ITN,87.3,2022,Household possession of ITNs,8.6
Taita Taveta,"Households with >=1 ITN
per 2 people",74.3,2022,Household possession of ITNs,22.6
Garissa,Households with >=1 ITN,19.7,2022,Household possession of ITNs,-67.8
Garissa,"Households with >=1 ITN
per 2 people",6.8,2022,Household possession of ITNs,-80.2
Wajir,Households with >=1 ITN,43.6,2022,Household possession of ITNs,-18.7
Wajir,"Households with >=1 ITN
per 2 people",15.5,2022,Household possession of ITNs,-14.4
Mandera,Households with >=1 ITN,15.7,2022,Household possession of ITNs,-45.3
Mandera,"Households with >=1 ITN
per 2 people",4.8,2022,Household possession of ITNs,-56
Marsabit,Households with >=1 ITN,27.1,2022,Household possession of ITNs,9.7
Marsabit,"Households with >=1 ITN
per 2 people",7.4,2022,Household possession of ITNs,5.7
Isiolo,Households with >=1 ITN,51.7,2022,Household possession of ITNs,-17.5
Isiolo,"Households with >=1 ITN
per 2 people",23.4,2022,Household possession of ITNs,-25.7
Meru,Households with >=1 ITN,36.2,2022,Household possession of ITNs,-32.3
Meru,"Households with >=1 ITN
per 2 people",16.8,2022,Household possession of ITNs,-45.1
Tharaka Nithi,Households with >=1 ITN,52.8,2022,Household possession of ITNs,-21.4
Tharaka Nithi,"Households with >=1 ITN
per 2 people",34.7,2022,Household possession of ITNs,-24.2
Embu,Households with >=1 ITN,40.1,2022,Household possession of ITNs,-28.3
Embu,"Households with >=1 ITN
per 2 people",24.1,2022,Household possession of ITNs,-31.7
Kitui,Households with >=1 ITN,33,2022,Household possession of ITNs,-46
Kitui,"Households with >=1 ITN
per 2 people",15.1,2022,Household possession of ITNs,-48.5
Machakos,Households with >=1 ITN,55.9,2022,Household possession of ITNs,-0.2
Machakos,"Households with >=1 ITN
per 2 people",38.8,2022,Household possession of ITNs,23.2
Makueni,Households with >=1 ITN,48.1,2022,Household possession of ITNs,-13
Makueni,"Households with >=1 ITN
per 2 people",25.8,2022,Household possession of ITNs,-6.9
Nyandarua,Households with >=1 ITN,9.9,2022,Household possession of ITNs,-20.8
Nyandarua,"Households with >=1 ITN
per 2 people",5.8,2022,Household possession of ITNs,-18.3
Nyeri,Households with >=1 ITN,18.1,2022,Household possession of ITNs,-8.1
Nyeri,"Households with >=1 ITN
per 2 people",12.1,2022,Household possession of ITNs,1.7
Kirinyaga,Households with >=1 ITN,57.3,2022,Household possession of ITNs,-16.4
