County,Category,percentage_change,cat
Mombasa,Stunting,-36,[-50 - 0)
Kwale,Stunting,-23.6,[-50 - 0)
Kilifi,Stunting,-5.4,[-50 - 0)
Tana River,Stunting,-24.9,[-50 - 0)
Lamu,Stunting,-44.9,[-50 - 0)
Taita Taveta,Stunting,-19.3,[-50 - 0)
Garissa,Stunting,-42.3,[-50 - 0)
Wajir,Stunting,-53,[-100 - -50)
Mandera,Stunting,-43.2,[-50 - 0)
Marsabit,Stunting,-28.7,[-50 - 0)
Isiolo,Stunting,-26.2,[-50 - 0)
Meru,Stunting,0,[0-50)
Tharaka Nithi,Stunting,-37.7,[-50 - 0)
Embu,Stunting,-25.7,[-50 - 0)
Kitui,Stunting,-45.2,[-50 - 0)
Machakos,Stunting,-38.9,[-50 - 0)
Makueni,Stunting,-21.1,[-50 - 0)
Nyandarua,Stunting,-39.5,[-50 - 0)
Nyeri,Stunting,-17.2,[-50 - 0)
Kirinyaga,Stunting,-34.9,[-50 - 0)
Muranga,Stunting,-47.7,[-50 - 0)
Kiambu,Stunting,-2.5,[-50 - 0)
Turkana,Stunting,-3.8,[-50 - 0)
West Pokot,Stunting,-27,[-50 - 0)
Samburu,Stunting,4.3,[0-50)
Trans Nzoia,Stunting,-27.1,[-50 - 0)
Uasin Gishu,Stunting,-54.5,[-100 - -50)
Elgeyo Marakwet,Stunting,-27.1,[-50 - 0)
Nandi,Stunting,-49.5,>100
Baringo,Stunting,-28.1,[-50 - 0)
Laikipia,Stunting,-53.2,[-100 - -50)
Nakuru,Stunting,-33,[-50 - 0)
Narok,Stunting,-34.7,[-50 - 0)
Kajiado,Stunting,-23.1,[-50 - 0)
Kericho,Stunting,-32.8,[-50 - 0)
Bomet,Stunting,-37.7,[-50 - 0)
Kakamega,Stunting,-59.5,[-100 - -50)
Vihiga,Stunting,-29.4,[-50 - 0)
Bungoma,Stunting,-22.1,[-50 - 0)
Busia,Stunting,-31.8,[-50 - 0)
Siaya,Stunting,-22.3,[-50 - 0)
Kisumu,Stunting,-49.4,>100
Homa Bay,Stunting,-33.2,[-50 - 0)
Migori,Stunting,-43.9,[-50 - 0)
Kisii,Stunting,-36.1,[-50 - 0)
Nyamira,Stunting,-47.1,[-50 - 0)
Nairobi,Stunting,-35.5,[-50 - 0)
Mombasa,Wasting,12.2,[0-50)
Kwale,Wasting,40.9,[0-50)
Kilifi,Wasting,75.6,[50-100)
Tana River,Wasting,98.2,[50-100)
Lamu,Wasting,-16.7,[-50 - 0)
Taita Taveta,Wasting,-43.1,[-50 - 0)
Garissa,Wasting,34.2,[0-50)
Wajir,Wasting,60.6,[50-100)
Mandera,Wasting,16.9,[0-50)
Marsabit,Wasting,25.2,[0-50)
Isiolo,Wasting,-20.9,[-50 - 0)
Meru,Wasting,106.9,>100
Tharaka Nithi,Wasting,-6.1,[-50 - 0)
Embu,Wasting,76.7,[50-100)
Kitui,Wasting,44.1,[0-50)
Machakos,Wasting,-46.2,[-50 - 0)
Makueni,Wasting,90.5,[50-100)
Nyandarua,Wasting,-5,[-50 - 0)
Nyeri,Wasting,12.5,[0-50)
Kirinyaga,Wasting,-43.6,[-50 - 0)
Muranga,Wasting,21.4,[0-50)
Kiambu,Wasting,39.1,[0-50)
Turkana,Wasting,-1.3,[-50 - 0)
West Pokot,Wasting,-23.1,[-50 - 0)
Samburu,Wasting,13.2,[0-50)
Trans Nzoia,Wasting,-17.9,[-50 - 0)
Uasin Gishu,Wasting,33.3,[0-50)
Elgeyo Marakwet,Wasting,11.6,[0-50)
Nandi,Wasting,2.6,[0-50)
Baringo,Wasting,97.1,[50-100)
Laikipia,Wasting,-40.9,[-50 - 0)
Nakuru,Wasting,-33.3,[-50 - 0)
