County,Category,Prop,Proportion
Mombasa,Stunting,Percentage change,-36
Kwale,Stunting,Percentage change,-23.6
Kilifi,Stunting,Percentage change,-5.4
Tana River,Stunting,Percentage change,-24.9
Lamu,Stunting,Percentage change,-44.9
Taita Taveta,Stunting,Percentage change,-19.3
Garissa,Stunting,Percentage change,-42.3
Wajir,Stunting,Percentage change,-53
Mandera,Stunting,Percentage change,-43.2
Marsabit,Stunting,Percentage change,-28.7
Isiolo,Stunting,Percentage change,-26.2
Meru,Stunting,Percentage change,0
Tharaka Nithi,Stunting,Percentage change,-37.7
Embu,Stunting,Percentage change,-25.7
Kitui,Stunting,Percentage change,-45.2
Machakos,Stunting,Percentage change,-38.9
Makueni,Stunting,Percentage change,-21.1
Nyandarua,Stunting,Percentage change,-39.5
Nyeri,Stunting,Percentage change,-17.2
Kirinyaga,Stunting,Percentage change,-34.9
Muranga,Stunting,Percentage change,-47.7
Kiambu,Stunting,Percentage change,-2.5
Turkana,Stunting,Percentage change,-3.8
West Pokot,Stunting,Percentage change,-27
Samburu,Stunting,Percentage change,4.3
Trans Nzoia,Stunting,Percentage change,-27.1
Uasin Gishu,Stunting,Percentage change,-54.5
Elgeyo Marakwet,Stunting,Percentage change,-27.1
Nandi,Stunting,Percentage change,-49.5
Baringo,Stunting,Percentage change,-28.1
Laikipia,Stunting,Percentage change,-53.2
Nakuru,Stunting,Percentage change,-33
Narok,Stunting,Percentage change,-34.7
Kajiado,Stunting,Percentage change,-23.1
Kericho,Stunting,Percentage change,-32.8
Bomet,Stunting,Percentage change,-37.7
Kakamega,Stunting,Percentage change,-59.5
Vihiga,Stunting,Percentage change,-29.4
Bungoma,Stunting,Percentage change,-22.1
Busia,Stunting,Percentage change,-31.8
Siaya,Stunting,Percentage change,-22.3
Kisumu,Stunting,Percentage change,-49.4
Homa Bay,Stunting,Percentage change,-33.2
Migori,Stunting,Percentage change,-43.9
Kisii,Stunting,Percentage change,-36.1
Nyamira,Stunting,Percentage change,-47.1
Nairobi,Stunting,Percentage change,-35.5
Mombasa,Wasting,Percentage change,12.2
Kwale,Wasting,Percentage change,40.9
Kilifi,Wasting,Percentage change,75.6
Tana River,Wasting,Percentage change,98.2
Lamu,Wasting,Percentage change,-16.7
Taita Taveta,Wasting,Percentage change,-43.1
Garissa,Wasting,Percentage change,34.2
Wajir,Wasting,Percentage change,60.6
Mandera,Wasting,Percentage change,16.9
Marsabit,Wasting,Percentage change,25.2
Isiolo,Wasting,Percentage change,-20.9
Meru,Wasting,Percentage change,106.9
Tharaka Nithi,Wasting,Percentage change,-6.1
Embu,Wasting,Percentage change,76.7
Kitui,Wasting,Percentage change,44.1
Machakos,Wasting,Percentage change,-46.2
Makueni,Wasting,Percentage change,90.5
Nyandarua,Wasting,Percentage change,-5
Nyeri,Wasting,Percentage change,12.5
Kirinyaga,Wasting,Percentage change,-43.6
Muranga,Wasting,Percentage change,21.4
Kiambu,Wasting,Percentage change,39.1
Turkana,Wasting,Percentage change,-1.3
West Pokot,Wasting,Percentage change,-23.1
Samburu,Wasting,Percentage change,13.2
Trans Nzoia,Wasting,Percentage change,-17.9
Uasin Gishu,Wasting,Percentage change,33.3
Elgeyo Marakwet,Wasting,Percentage change,11.6
Nandi,Wasting,Percentage change,2.6
Baringo,Wasting,Percentage change,97.1
Laikipia,Wasting,Percentage change,-40.9
Nakuru,Wasting,Percentage change,-33.3
Narok,Wasting,Percentage change,-12.5
Kajiado,Wasting,Percentage change,153.3
Kericho,Wasting,Percentage change,-55.4
Bomet,Wasting,Percentage change,83.3
Kakamega,Wasting,Percentage change,-16.7
Vihiga,Wasting,Percentage change,-7.7
Bungoma,Wasting,Percentage change,27.8
Busia,Wasting,Percentage change,27.3
Siaya,Wasting,Percentage change,750
Kisumu,Wasting,Percentage change,275
Homa Bay,Wasting,Percentage change,-21.7
Migori,Wasting,Percentage change,-40
Kisii,Wasting,Percentage change,70.6
Nyamira,Wasting,Percentage change,-70.7
Nairobi,Wasting,Percentage change,0
Mombasa,Underweight,Percentage change,2.1
Kwale,Underweight,Percentage change,16.1
Kilifi,Underweight,Percentage change,15.4
Tana River,Underweight,Percentage change,-9.7
Lamu,Underweight,Percentage change,5.9
Taita Taveta,Underweight,Percentage change,61.5
Garissa,Underweight,Percentage change,7.6
Wajir,Underweight,Percentage change,-23.2
Mandera,Underweight,Percentage change,-6.8
