County,Category,value,Year
Mombasa,Total fertility rate,3.2,2014
Kwale,Total fertility rate,4.7,2014
Kilifi,Total fertility rate,5.1,2014
Tana River,Total fertility rate,5.8,2014
Lamu,Total fertility rate,4.3,2014
Taita Taveta,Total fertility rate,3.2,2014
Garissa,Total fertility rate,6.1,2014
Wajir,Total fertility rate,7.8,2014
Mandera,Total fertility rate,5.2,2014
Marsabit,Total fertility rate,5,2014
Isiolo,Total fertility rate,4.9,2014
Meru,Total fertility rate,3.1,2014
Tharaka Nithi,Total fertility rate,3.4,2014
Embu,Total fertility rate,3.1,2014
Kitui,Total fertility rate,3.9,2014
Machakos,Total fertility rate,3.4,2014
Makueni,Total fertility rate,3.3,2014
Nyandarua,Total fertility rate,3.5,2014
Nyeri,Total fertility rate,2.7,2014
Kirinyaga,Total fertility rate,2.3,2014
Muranga,Total fertility rate,3,2014
Kiambu,Total fertility rate,2.7,2014
Turkana,Total fertility rate,6.9,2014
West Pokot,Total fertility rate,7.2,2014
Samburu,Total fertility rate,6.3,2014
Trans Nzoia,Total fertility rate,5.2,2014
Uasin Gishu,Total fertility rate,3.6,2014
Elgeyo Marakwet,Total fertility rate,4.1,2014
Nandi,Total fertility rate,4,2014
Baringo,Total fertility rate,4.8,2014
Laikipia,Total fertility rate,3.7,2014
Nakuru,Total fertility rate,3.7,2014
Narok,Total fertility rate,6,2014
Kajiado,Total fertility rate,4.5,2014
Kericho,Total fertility rate,4,2014
Bomet,Total fertility rate,4.3,2014
Kakamega,Total fertility rate,4.4,2014
Vihiga,Total fertility rate,4.5,2014
Bungoma,Total fertility rate,5,2014
Busia,Total fertility rate,4.7,2014
Siaya,Total fertility rate,4.2,2014
Kisumu,Total fertility rate,3.6,2014
Homa Bay,Total fertility rate,5.2,2014
Migori,Total fertility rate,5.3,2014
Kisii,Total fertility rate,3.7,2014
Nyamira,Total fertility rate,3.5,2014
Nairobi,Total fertility rate,2.7,2014
Mombasa,Percentage of women aged 15-49 currently pregnant,5.4,2014
Kwale,Percentage of women aged 15-49 currently pregnant,7.5,2014
Kilifi,Percentage of women aged 15-49 currently pregnant,7.1,2014
Tana River,Percentage of women aged 15-49 currently pregnant,10.2,2014
Lamu,Percentage of women aged 15-49 currently pregnant,5.6,2014
Taita Taveta,Percentage of women aged 15-49 currently pregnant,3.7,2014
Garissa,Percentage of women aged 15-49 currently pregnant,11.7,2014
Wajir,Percentage of women aged 15-49 currently pregnant,13.6,2014
Mandera,Percentage of women aged 15-49 currently pregnant,10.6,2014
Marsabit,Percentage of women aged 15-49 currently pregnant,12.7,2014
Isiolo,Percentage of women aged 15-49 currently pregnant,6.2,2014
Meru,Percentage of women aged 15-49 currently pregnant,4.8,2014
Tharaka Nithi,Percentage of women aged 15-49 currently pregnant,4.4,2014
Embu,Percentage of women aged 15-49 currently pregnant,4.5,2014
Kitui,Percentage of women aged 15-49 currently pregnant,4.1,2014
Machakos,Percentage of women aged 15-49 currently pregnant,3.9,2014
Makueni,Percentage of women aged 15-49 currently pregnant,4,2014
Nyandarua,Percentage of women aged 15-49 currently pregnant,6,2014
Nyeri,Percentage of women aged 15-49 currently pregnant,4.8,2014
Kirinyaga,Percentage of women aged 15-49 currently pregnant,4.1,2014
Muranga,Percentage of women aged 15-49 currently pregnant,4.3,2014
Kiambu,Percentage of women aged 15-49 currently pregnant,5,2014
Turkana,Percentage of women aged 15-49 currently pregnant,10.6,2014
West Pokot,Percentage of women aged 15-49 currently pregnant,10.7,2014
Samburu,Percentage of women aged 15-49 currently pregnant,11.6,2014
Trans Nzoia,Percentage of women aged 15-49 currently pregnant,6.3,2014
Uasin Gishu,Percentage of women aged 15-49 currently pregnant,8.4,2014
Elgeyo Marakwet,Percentage of women aged 15-49 currently pregnant,5.9,2014
Nandi,Percentage of women aged 15-49 currently pregnant,4.8,2014
Baringo,Percentage of women aged 15-49 currently pregnant,7.8,2014
Laikipia,Percentage of women aged 15-49 currently pregnant,7.9,2014
Nakuru,Percentage of women aged 15-49 currently pregnant,5.3,2014
Narok,Percentage of women aged 15-49 currently pregnant,10.2,2014
Kajiado,Percentage of women aged 15-49 currently pregnant,7.7,2014
Kericho,Percentage of women aged 15-49 currently pregnant,5.7,2014
Bomet,Percentage of women aged 15-49 currently pregnant,5.5,2014
Kakamega,Percentage of women aged 15-49 currently pregnant,7.3,2014
Vihiga,Percentage of women aged 15-49 currently pregnant,6.2,2014
Bungoma,Percentage of women aged 15-49 currently pregnant,6.2,2014
Busia,Percentage of women aged 15-49 currently pregnant,6.8,2014
Siaya,Percentage of women aged 15-49 currently pregnant,5.9,2014
Kisumu,Percentage of women aged 15-49 currently pregnant,5.3,2014
Homa Bay,Percentage of women aged 15-49 currently pregnant,6.4,2014
Migori,Percentage of women aged 15-49 currently pregnant,9,2014
Kisii,Percentage of women aged 15-49 currently pregnant,5,2014
Nyamira,Percentage of women aged 15-49 currently pregnant,3.2,2014
