County,perc_atleast_1itn,avrg_itn_hh,no_hhs,perc_atleast_1itn_2pple,no_hhs_1person_overnight,year
Mombasa,63.3,1.2,1071,45.5,1051,2022
Kwale,74,1.8,504,47.5,502,2022
Kilifi,74.4,1.8,996,48.2,989,2022
Tana River,71.3,1.4,182,34.3,180,2022
Lamu,65.9,1.5,109,43.3,107,2022
Taita Taveta,87.3,2,332,74.3,331,2022
Garissa,19.7,0.3,269,6.8,269,2022
Wajir,43.6,1,137,15.5,137,2022
Mandera,15.7,0.3,204,4.8,203,2022
Marsabit,27.1,0.4,171,7.4,170,2022
Isiolo,51.7,0.9,150,23.4,149,2022
Meru,36.2,0.5,1373,16.8,1359,2022
Tharaka Nithi,52.8,1,378,34.7,373,2022
Embu,40.1,0.7,523,24.1,522,2022
Kitui,33,0.5,898,15.1,895,2022
Machakos,55.9,1.1,1230,38.8,1227,2022
Makueni,48.1,0.8,775,25.8,769,2022
Nyandarua,9.9,0.2,578,5.8,573,2022
Nyeri,18.1,0.3,802,12.1,790,2022
Kirinyaga,57.3,1.3,642,47.4,635,2022
Muranga,35.9,0.6,1004,22,1000,2022
Kiambu,27.8,0.4,2699,16,2662,2022
Turkana,49.4,0.8,391,18.8,383,2022
West Pokot,78.8,1.9,416,41.5,416,2022
Samburu,19.9,0.3,175,7.4,174,2022
Trans Nzoia,86,2.5,753,69.3,747,2022
Uasin Gishu,69.3,1.9,1145,56.8,1112,2022
Elgeyo Marakwet,25.3,0.4,290,10.1,290,2022
Nandi,84,2.1,732,69,728,2022
Baringo,63.8,1.4,432,37.6,429,2022
Laikipia,24.9,0.4,452,15.9,445,2022
Nakuru,27.5,0.5,2018,15.3,2006,2022
Narok,76,2.1,790,54,776,2022
Kajiado,38.8,0.6,1083,20.9,1072,2022
Kericho,84.1,2.3,748,65.9,745,2022
Bomet,92.3,2.8,665,77.3,659,2022
Kakamega,89.1,2.4,1382,66.9,1381,2022
Vihiga,92.5,2.6,412,75.8,412,2022
Bungoma,89.4,2.7,1169,70.6,1157,2022
Busia,93.5,2.6,653,67.4,653,2022
Siaya,86.7,1.9,703,58.6,703,2022
Kisumu,76,1.5,897,47,888,2022
Homa Bay,89.2,2.1,770,60.2,766,2022
Migori,87.7,2.1,710,54.2,706,2022
Kisii,85,2.3,925,67.4,917,2022
Nyamira,93.6,2.6,424,80,422,2022
Nairobi,23.4,0.4,4749,14.3,4691,2022
Mombasa,56.9,0.9,1245,38.9,1221,2014
Kwale,81,1.7,704,47.8,703,2014
Kilifi,73.1,1.6,999,41.5,993,2014
Tana River,65.3,1.3,210,33,208,2014
Lamu,71.1,1.5,104,51.2,102,2014
Taita Taveta,80.4,1.6,307,60.6,304,2014
Garissa,61.1,1.4,265,34.4,265,2014
Wajir,53.6,1.1,242,18.1,241,2014
Mandera,28.7,0.5,217,10.9,217,2014
Marsabit,24.7,0.3,146,7,146,2014
Isiolo,62.7,1.1,122,31.5,121,2014
Meru,53.5,1,1406,30.6,1398,2014
Tharaka Nithi,67.2,1.3,379,45.8,375,2014
Embu,55.9,1.1,548,35.3,539,2014
Kitui,61.1,1.1,856,29.3,849,2014
Machakos,56,1.1,1088,31.5,1088,2014
Makueni,55.3,1.1,717,27.7,711,2014
Nyandarua,12.5,0.2,593,7.1,589,2014
Nyeri,19.7,0.3,792,11.9,788,2014
Kirinyaga,68.5,1.4,622,54.3,620,2014
Muranga,43.7,0.8,968,27.1,965,2014
Kiambu,39.9,0.7,2037,25.2,2028,2014
Turkana,46.2,0.7,448,16.3,446,2014
West Pokot,60.2,1.1,319,21.2,319,2014
Samburu,18.8,0.3,146,8.7,145,2014
Trans Nzoia,70.6,1.5,814,38.4,809,2014
Uasin Gishu,72,1.5,962,49.7,950,2014
Elgeyo Marakwet,21.9,0.3,301,10.1,301,2014
Nandi,78.8,1.6,671,41.9,667,2014
Baringo,59.8,1.1,391,32.8,387,2014
Laikipia,17.5,0.3,406,10.6,402,2014
Nakuru,37.7,0.6,1950,22.7,1948,2014
Narok,52.2,1,752,25.4,746,2014
Kajiado,49.8,0.9,770,33.3,759,2014
Kericho,79.5,1.6,589,45.4,589,2014
Bomet,77.6,1.8,732,46.8,727,2014
Kakamega,78.8,1.7,1350,47,1341,2014
Vihiga,82.9,1.7,446,44.9,446,2014
Bungoma,82.9,1.8,1180,41.7,1170,2014
Busia,83.9,1.9,628,48.8,624,2014
Siaya,78.8,1.5,725,41.6,720,2014
Kisumu,87.6,1.7,943,52.6,939,2014
Homa Bay,74.3,1.5,877,37.5,873,2014
Migori,74.6,1.4,701,30.3,699,2014
Kisii,86.1,1.9,904,54.4,903,2014
Nyamira,84.5,1.7,409,57.1,409,2014
Nairobi,43.3,0.7,4451,28.5,4397,2014
