"","County","Doctor","Nurse.Midwife","Traditional_Birth_Attendant","Relative.Friend","Percentage_delivered_by_skilled_provider","Year"
"1","Mombasa",54.2,28.6,13.9,3.3,82.8,"2014"
"2","Kwale",12.8,37.3,17.6,21.6,50.1,"2014"
"3","Kilifi",38.2,14,10.8,31.4,52.3,"2014"
"4","Tana River",2,30.2,62.9,3.3,32.2,"2014"
"5","Lamu",9.3,38,44.8,5,47.3,"2014"
"6","Taita Taveta",20.7,41.8,9.7,24.2,62.5,"2014"
"7","Garissa",5.5,34.2,55,3.9,39.8,"2014"
"8","Wajir",1.2,20.5,76.5,0,21.7,"2014"
"9","Mandera",20,18.8,57.9,0.2,38.7,"2014"
"10","Marsabit",4.4,21.4,64,7.3,25.8,"2014"
"11","Isiolo",14.4,29.4,45.8,6.8,43.8,"2014"
"12","Meru",28,54.7,1.3,10,82.8,"2014"
"13","Tharaka-Nithi",37.6,39,2.5,14.8,76.6,"2014"
"14","Embu",34.1,47.4,0.3,16.4,81.5,"2014"
"15","Kitui",16.6,29.6,24.3,25.9,46.2,"2014"
"16","Machakos",22.3,41,26.1,6.6,63.4,"2014"
"17","Makueni",13.6,41,32.7,5.6,54.6,"2014"
"18","Nyandarua",47.7,37.6,0.7,9.1,85.3,"2014"
"19","Nyeri",56.1,32,0.2,4.8,88.1,"2014"
"20","Kirinyaga",41.3,50.9,1.6,4.9,92.3,"2014"
"21","Muranga",64.9,20.6,0.5,10.4,85.5,"2014"
"22","Kiambu",57.4,35.2,1.2,3.5,92.6,"2014"
"23","Turkana",0.8,22,7.4,49.9,22.8,"2014"
"24","West Pokot",8.2,18.7,69.4,2.6,27,"2014"
"25","Samburu",3.8,25.3,5.7,52.7,29,"2014"
"26","Trans-Nzoia",26.5,15.3,34.3,13.6,41.8,"2014"
"27","Uasin Gishu",29.7,29.3,30.6,7.4,59,"2014"
"28","Elgeyo Marakwet",12.3,52.8,31.9,2.6,65,"2014"
"29","Nandi",5.6,41.1,44.9,6,46.8,"2014"
"30","Baringo",9.5,44.3,16.4,25.7,53.8,"2014"
"31","Laikipia",22.8,26.7,5.5,37.4,49.5,"2014"
"32","Nakuru",34.1,35.3,7.3,18.8,69.5,"2014"
"33","Narok",12.9,27.4,17.8,34.4,40.3,"2014"
"34","Kajiado",40.2,23,13.7,21.4,63.2,"2014"
"35","Kericho",35.6,28.7,18.7,7.3,64.4,"2014"
"36","Bomet",24.6,27.6,3.8,33.8,52.2,"2014"
"37","Kakamega",15.3,33.4,30.1,11.2,48.6,"2014"
"38","Vihiga",16.6,33.7,27.5,8.7,50.3,"2014"
"39","Bungoma",6.6,34.8,35.4,8.5,41.4,"2014"
"40","Busia",10.7,47.8,24.4,7.2,58.5,"2014"
"41","Siaya",3.7,66.7,11.2,4.3,70.4,"2014"
"42","Kisumu",20,49.2,25,1.8,69.2,"2014"
