"","county","category","proportion","proportion_groups"
"1","Mombasa","Neonatal mortality",32,">26-38"
"2","Mombasa","Post neonatal mortality",10,">8-17"
"3","Mombasa","Infant mortality",43,">38"
"4","Mombasa","Child mortality",8,"≤ 8"
"5","Mombasa","Under 5 mortality",50,">38"
"6","Kwale","Neonatal mortality",19,">17-26"
"7","Kwale","Post neonatal mortality",4,"≤ 8"
"8","Kwale","Infant mortality",23,">17-26"
"9","Kwale","Child mortality",7,"≤ 8"
"10","Kwale","Under 5 mortality",30,">26-38"
"11","Kilifi","Neonatal mortality",24,">17-26"
"12","Kilifi","Post neonatal mortality",10,">8-17"
"13","Kilifi","Infant mortality",34,">26-38"
"14","Kilifi","Child mortality",6,"≤ 8"
"15","Kilifi","Under 5 mortality",40,">38"
"16","Tana River","Neonatal mortality",23,">17-26"
"17","Tana River","Post neonatal mortality",14,">8-17"
"18","Tana River","Infant mortality",38,">26-38"
"19","Tana River","Child mortality",8,"≤ 8"
"20","Tana River","Under 5 mortality",45,">38"
"21","Lamu","Neonatal mortality",26,">17-26"
"22","Lamu","Post neonatal mortality",15,">8-17"
"23","Lamu","Infant mortality",41,">38"
"24","Lamu","Child mortality",9,">8-17"
"25","Lamu","Under 5 mortality",50,">38"
"26","Taita Taveta","Neonatal mortality",19,">17-26"
"27","Taita Taveta","Post neonatal mortality",5,"≤ 8"
"28","Taita Taveta","Infant mortality",24,">17-26"
"29","Taita Taveta","Child mortality",6,"≤ 8"
"30","Taita Taveta","Under 5 mortality",29,">26-38"
"31","Garissa","Neonatal mortality",28,">26-38"
"32","Garissa","Post neonatal mortality",13,">8-17"
"33","Garissa","Infant mortality",41,">38"
"34","Garissa","Child mortality",3,"≤ 8"
"35","Garissa","Under 5 mortality",44,">38"
"36","Wajir","Neonatal mortality",37,">26-38"
"37","Wajir","Post neonatal mortality",6,"≤ 8"
"38","Wajir","Infant mortality",43,">38"
"39","Wajir","Child mortality",15,">8-17"
"40","Wajir","Under 5 mortality",57,">38"
"41","Mandera","Neonatal mortality",16,">8-17"
"42","Mandera","Post neonatal mortality",4,"≤ 8"
"43","Mandera","Infant mortality",20,">17-26"
"44","Mandera","Child mortality",1,"≤ 8"
"45","Mandera","Under 5 mortality",21,">17-26"
"46","Marsabit","Neonatal mortality",4,"≤ 8"
"47","Marsabit","Post neonatal mortality",5,"≤ 8"
"48","Marsabit","Infant mortality",9,">8-17"
"49","Marsabit","Child mortality",6,"≤ 8"
"50","Marsabit","Under 5 mortality",15,">8-17"
"51","Isiolo","Neonatal mortality",22,">17-26"
"52","Isiolo","Post neonatal mortality",2,"≤ 8"
"53","Isiolo","Infant mortality",24,">17-26"
"54","Isiolo","Child mortality",9,">8-17"
"55","Isiolo","Under 5 mortality",33,">26-38"
"56","Meru","Neonatal mortality",20,">17-26"
"57","Meru","Post neonatal mortality",9,">8-17"
"58","Meru","Infant mortality",29,">26-38"
"59","Meru","Child mortality",6,"≤ 8"
"60","Meru","Under 5 mortality",35,">26-38"
"61","Tharaka Nithi","Neonatal mortality",12,">8-17"
"62","Tharaka Nithi","Post neonatal mortality",7,"≤ 8"
"63","Tharaka Nithi","Infant mortality",19,">17-26"
"64","Tharaka Nithi","Child mortality",6,"≤ 8"
"65","Tharaka Nithi","Under 5 mortality",25,">17-26"
"66","Embu","Neonatal mortality",24,">17-26"
"67","Embu","Post neonatal mortality",11,">8-17"
"68","Embu","Infant mortality",36,">26-38"
"69","Embu","Child mortality",8,"≤ 8"
"70","Embu","Under 5 mortality",44,">38"
"71","Kitui","Neonatal mortality",13,">8-17"
"72","Kitui","Post neonatal mortality",9,">8-17"
"73","Kitui","Infant mortality",23,">17-26"
"74","Kitui","Child mortality",4,"≤ 8"
"75","Kitui","Under 5 mortality",27,">26-38"
"76","Machakos","Neonatal mortality",26,">17-26"
"77","Machakos","Post neonatal mortality",8,"≤ 8"
"78","Machakos","Infant mortality",34,">26-38"
"79","Machakos","Child mortality",7,"≤ 8"
"80","Machakos","Under 5 mortality",41,">38"
"81","Makueni","Neonatal mortality",26,">17-26"
"82","Makueni","Post neonatal mortality",9,">8-17"
"83","Makueni","Infant mortality",35,">26-38"
"84","Makueni","Child mortality",3,"≤ 8"
"85","Makueni","Under 5 mortality",38,">26-38"
"86","Nyandarua","Neonatal mortality",20,">17-26"
"87","Nyandarua","Post neonatal mortality",16,">8-17"
"88","Nyandarua","Infant mortality",36,">26-38"
"89","Nyandarua","Child mortality",10,">8-17"
"90","Nyandarua","Under 5 mortality",45,">38"
"91","Nyeri","Neonatal mortality",27,">26-38"
"92","Nyeri","Post neonatal mortality",21,">17-26"
"93","Nyeri","Infant mortality",48,">38"
"94","Nyeri","Child mortality",5,"≤ 8"
"95","Nyeri","Under 5 mortality",52,">38"
"96","Kirinyaga","Neonatal mortality",37,">26-38"
"97","Kirinyaga","Post neonatal mortality",17,">8-17"
"98","Kirinyaga","Infant mortality",55,">38"
"99","Kirinyaga","Child mortality",2,"≤ 8"
"100","Kirinyaga","Under 5 mortality",56,">38"
"101","Muranga","Neonatal mortality",36,">26-38"
"102","Muranga","Post neonatal mortality",7,"≤ 8"
"103","Muranga","Infant mortality",43,">38"
"104","Muranga","Child mortality",5,"≤ 8"
"105","Muranga","Under 5 mortality",47,">38"
"106","Kiambu","Neonatal mortality",28,">26-38"
"107","Kiambu","Post neonatal mortality",7,"≤ 8"
"108","Kiambu","Infant mortality",35,">26-38"
"109","Kiambu","Child mortality",5,"≤ 8"
"110","Kiambu","Under 5 mortality",40,">38"
"111","Turkana","Neonatal mortality",21,">17-26"
"112","Turkana","Post neonatal mortality",7,"≤ 8"
"113","Turkana","Infant mortality",29,">26-38"
"114","Turkana","Child mortality",27,">26-38"
"115","Turkana","Under 5 mortality",55,">38"
"116","West Pokot","Neonatal mortality",27,">26-38"
"117","West Pokot","Post neonatal mortality",11,">8-17"
"118","West Pokot","Infant mortality",38,">26-38"
"119","West Pokot","Child mortality",9,">8-17"
"120","West Pokot","Under 5 mortality",46,">38"
"121","Samburu","Neonatal mortality",19,">17-26"
"122","Samburu","Post neonatal mortality",10,">8-17"
"123","Samburu","Infant mortality",29,">26-38"
"124","Samburu","Child mortality",9,">8-17"
"125","Samburu","Under 5 mortality",38,">26-38"
"126","Trans Nzoia","Neonatal mortality",23,">17-26"
"127","Trans Nzoia","Post neonatal mortality",14,">8-17"
"128","Trans Nzoia","Infant mortality",36,">26-38"
"129","Trans Nzoia","Child mortality",6,"≤ 8"
"130","Trans Nzoia","Under 5 mortality",42,">38"
"131","Uasin Gishu","Neonatal mortality",17,">8-17"
"132","Uasin Gishu","Post neonatal mortality",14,">8-17"
"133","Uasin Gishu","Infant mortality",31,">26-38"
"134","Uasin Gishu","Child mortality",6,"≤ 8"
"135","Uasin Gishu","Under 5 mortality",37,">26-38"
"136","Elgeyo Marakwet","Neonatal mortality",27,">26-38"
"137","Elgeyo Marakwet","Post neonatal mortality",5,"≤ 8"
