"","County","Category","Proportion","proportion_groups"
"1","Mombasa","Total thin",4.3,"≤ 9"
"2","Mombasa","Total normal",48.8,">43"
"3","Mombasa","Over-weight",23.6,">18-26"
"4","Mombasa","Obese",23.3,">18-26"
"5","Kwale","Total thin",10.2,">9-18"
"6","Kwale","Total normal",51.2,">43"
"7","Kwale","Over-weight",23.3,">18-26"
"8","Kwale","Obese",15.4,">9-18"
"9","Kilifi","Total thin",5.7,"≤ 9"
"10","Kilifi","Total normal",56,">43"
"11","Kilifi","Over-weight",28.3,">26-43"
"12","Kilifi","Obese",10,">9-18"
"13","Tana River","Total thin",24.8,">18-26"
"14","Tana River","Total normal",53.4,">43"
"15","Tana River","Over-weight",15.7,">9-18"
"16","Tana River","Obese",6.2,"≤ 9"
"17","Lamu","Total thin",12.4,">9-18"
"18","Lamu","Total normal",38.4,">26-43"
"19","Lamu","Over-weight",23.3,">18-26"
"20","Lamu","Obese",26,">18-26"
"21","Taita Taveta","Total thin",5,"≤ 9"
"22","Taita Taveta","Total normal",49.2,">43"
"23","Taita Taveta","Over-weight",27.5,">26-43"
"24","Taita Taveta","Obese",18.3,">18-26"
"25","Garissa","Total thin",14.8,">9-18"
"26","Garissa","Total normal",42.3,">26-43"
"27","Garissa","Over-weight",28.4,">26-43"
"28","Garissa","Obese",14.5,">9-18"
"29","Wajir","Total thin",22.6,">18-26"
"30","Wajir","Total normal",44.6,">43"
"31","Wajir","Over-weight",19.6,">18-26"
"32","Wajir","Obese",13.2,">9-18"
"33","Mandera","Total thin",18,">9-18"
"34","Mandera","Total normal",57.8,">43"
"35","Mandera","Over-weight",20.4,">18-26"
"36","Mandera","Obese",3.8,"≤ 9"
"37","Marsabit","Total thin",36.5,">26-43"
"38","Marsabit","Total normal",47.2,">43"
"39","Marsabit","Over-weight",12.3,">9-18"
"40","Marsabit","Obese",3.9,"≤ 9"
"41","Isiolo","Total thin",21.7,">18-26"
"42","Isiolo","Total normal",44.3,">43"
"43","Isiolo","Over-weight",22.5,">18-26"
"44","Isiolo","Obese",11.5,">9-18"
"45","Meru","Total thin",10.5,">9-18"
"46","Meru","Total normal",52.5,">43"
"47","Meru","Over-weight",22.3,">18-26"
"48","Meru","Obese",14.7,">9-18"
"49","Tharaka Nithi","Total thin",7.3,"≤ 9"
"50","Tharaka Nithi","Total normal",50.3,">43"
"51","Tharaka Nithi","Over-weight",28.3,">26-43"
"52","Tharaka Nithi","Obese",14,">9-18"
"53","Embu","Total thin",6.1,"≤ 9"
"54","Embu","Total normal",38.8,">26-43"
"55","Embu","Over-weight",36,">26-43"
"56","Embu","Obese",19.2,">18-26"
"57","Kitui","Total thin",8.7,"≤ 9"
