County,Category,Proportion,Names,proportion_groups
Mombasa,MDD-W,38.2,"Mombasa, 38.2%",>34-43
Mombasa,Sweet Beverage Consumption,23.8,"Mombasa, 23.8%",>18-34
Mombasa,Unhealthy food consumption,44.9,"Mombasa, 44.9%",>43
Kwale,MDD-W,14.6,"Kwale, 14.6%",>10-18
Kwale,Sweet Beverage Consumption,3.9,"Kwale, 3.9%",≤ 10
Kwale,Unhealthy food consumption,40.5,"Kwale, 40.5%",>34-43
Kilifi,MDD-W,22.3,"Kilifi, 22.3%",>18-34
Kilifi,Sweet Beverage Consumption,7.9,"Kilifi, 7.9%",≤ 10
Kilifi,Unhealthy food consumption,36.7,"Kilifi, 36.7%",>34-43
Tana River,MDD-W,16.7,"Tana River, 16.7%",>10-18
Tana River,Sweet Beverage Consumption,7.3,"Tana River, 7.3%",≤ 10
Tana River,Unhealthy food consumption,12.6,"Tana River, 12.6%",>10-18
Lamu,MDD-W,34.2,"Lamu, 34.2%",>34-43
Lamu,Sweet Beverage Consumption,25.4,"Lamu, 25.4%",>18-34
Lamu,Unhealthy food consumption,41.6,"Lamu, 41.6%",>34-43
Taita Taveta,MDD-W,32.1,"Taita Taveta, 32.1%",>18-34
Taita Taveta,Sweet Beverage Consumption,8.7,"Taita Taveta, 8.7%",≤ 10
Taita Taveta,Unhealthy food consumption,24.5,"Taita Taveta, 24.5%",>18-34
Garissa,MDD-W,66.4,"Garissa, 66.4%",>43
Garissa,Sweet Beverage Consumption,25.7,"Garissa, 25.7%",>18-34
Garissa,Unhealthy food consumption,20,"Garissa, 20%",>18-34
Wajir,MDD-W,31.2,"Wajir, 31.2%",>18-34
Wajir,Sweet Beverage Consumption,21.3,"Wajir, 21.3%",>18-34
Wajir,Unhealthy food consumption,15.1,"Wajir, 15.1%",>10-18
Mandera,MDD-W,17.5,"Mandera, 17.5%",>10-18
Mandera,Sweet Beverage Consumption,9.3,"Mandera, 9.3%",≤ 10
Mandera,Unhealthy food consumption,5.7,"Mandera, 5.7%",≤ 10
Marsabit,MDD-W,11.2,"Marsabit, 11.2%",>10-18
