County,Category,Proportion
Mombasa,Households with 1/+ ITN,63.3
Mombasa,Households with 1/+ ITN per 2 persons,45.5
Kwale,Households with 1/+ ITN,74
Kwale,Households with 1/+ ITN per 2 persons,47.5
Kilifi,Households with 1/+ ITN,74.4
Kilifi,Households with 1/+ ITN per 2 persons,48.2
Tana River,Households with 1/+ ITN,71.3
Tana River,Households with 1/+ ITN per 2 persons,34.3
Lamu,Households with 1/+ ITN,65.9
Lamu,Households with 1/+ ITN per 2 persons,43.3
Taita Taveta,Households with 1/+ ITN,87.3
Taita Taveta,Households with 1/+ ITN per 2 persons,74.3
Garissa,Households with 1/+ ITN,19.7
Garissa,Households with 1/+ ITN per 2 persons,6.8
Wajir,Households with 1/+ ITN,43.6
Wajir,Households with 1/+ ITN per 2 persons,15.5
Mandera,Households with 1/+ ITN,15.7
Mandera,Households with 1/+ ITN per 2 persons,4.8
Marsabit,Households with 1/+ ITN,27.1
Marsabit,Households with 1/+ ITN per 2 persons,7.4
Isiolo,Households with 1/+ ITN,51.7
Isiolo,Households with 1/+ ITN per 2 persons,23.4
Meru,Households with 1/+ ITN,36.2
Meru,Households with 1/+ ITN per 2 persons,16.8
Tharaka Nithi,Households with 1/+ ITN,52.8
Tharaka Nithi,Households with 1/+ ITN per 2 persons,34.7
Embu,Households with 1/+ ITN,40.1
Embu,Households with 1/+ ITN per 2 persons,24.1
Kitui,Households with 1/+ ITN,33
Kitui,Households with 1/+ ITN per 2 persons,15.1
Machakos,Households with 1/+ ITN,55.9
Machakos,Households with 1/+ ITN per 2 persons,38.8
Makueni,Households with 1/+ ITN,48.1
Makueni,Households with 1/+ ITN per 2 persons,25.8
Nyandarua,Households with 1/+ ITN,9.9
Nyandarua,Households with 1/+ ITN per 2 persons,5.8
Nyeri,Households with 1/+ ITN,18.1
Nyeri,Households with 1/+ ITN per 2 persons,12.1
Kirinyaga,Households with 1/+ ITN,57.3
Kirinyaga,Households with 1/+ ITN per 2 persons,47.4
Muranga,Households with 1/+ ITN,35.9
Muranga,Households with 1/+ ITN per 2 persons,22
Kiambu,Households with 1/+ ITN,27.8
Kiambu,Households with 1/+ ITN per 2 persons,16
Turkana,Households with 1/+ ITN,49.4
Turkana,Households with 1/+ ITN per 2 persons,18.8
West Pokot,Households with 1/+ ITN,78.8
West Pokot,Households with 1/+ ITN per 2 persons,41.5
Samburu,Households with 1/+ ITN,19.9
Samburu,Households with 1/+ ITN per 2 persons,7.4
Trans Nzoia,Households with 1/+ ITN,86
Trans Nzoia,Households with 1/+ ITN per 2 persons,69.3
Uasin Gishu,Households with 1/+ ITN,69.3
Uasin Gishu,Households with 1/+ ITN per 2 persons,56.8
Elgeyo Marakwet,Households with 1/+ ITN,25.3
Elgeyo Marakwet,Households with 1/+ ITN per 2 persons,10.1
Nandi,Households with 1/+ ITN,84
Nandi,Households with 1/+ ITN per 2 persons,69
Baringo,Households with 1/+ ITN,63.8
Baringo,Households with 1/+ ITN per 2 persons,37.6
Laikipia,Households with 1/+ ITN,24.9
Laikipia,Households with 1/+ ITN per 2 persons,15.9
Nakuru,Households with 1/+ ITN,27.5
Nakuru,Households with 1/+ ITN per 2 persons,15.3
Narok,Households with 1/+ ITN,76
Narok,Households with 1/+ ITN per 2 persons,54
Kajiado,Households with 1/+ ITN,38.8
Kajiado,Households with 1/+ ITN per 2 persons,20.9
Kericho,Households with 1/+ ITN,84.1
Kericho,Households with 1/+ ITN per 2 persons,65.9
Bomet,Households with 1/+ ITN,92.3
Bomet,Households with 1/+ ITN per 2 persons,77.3
Kakamega,Households with 1/+ ITN,89.1
Kakamega,Households with 1/+ ITN per 2 persons,66.9
Vihiga,Households with 1/+ ITN,92.5
Vihiga,Households with 1/+ ITN per 2 persons,75.8
Bungoma,Households with 1/+ ITN,89.4
Bungoma,Households with 1/+ ITN per 2 persons,70.6
Busia,Households with 1/+ ITN,93.5
Busia,Households with 1/+ ITN per 2 persons,67.4
Siaya,Households with 1/+ ITN,86.7
Siaya,Households with 1/+ ITN per 2 persons,58.6
Kisumu,Households with 1/+ ITN,76
Kisumu,Households with 1/+ ITN per 2 persons,47
Homa Bay,Households with 1/+ ITN,89.2
Homa Bay,Households with 1/+ ITN per 2 persons,60.2
Migori,Households with 1/+ ITN,87.7
Migori,Households with 1/+ ITN per 2 persons,54.2
Kisii,Households with 1/+ ITN,85
Kisii,Households with 1/+ ITN per 2 persons,67.4
Nyamira,Households with 1/+ ITN,93.6
Nyamira,Households with 1/+ ITN per 2 persons,80
Nairobi,Households with 1/+ ITN,23.4
Nairobi,Households with 1/+ ITN per 2 persons,14.3
