County,Category,Proportion,proportion_groups
Mombasa,Mass distribution campaign,81.1,>3
Mombasa,ANC visit,8.5,>3
Mombasa,Immunization visit,1.2,>1-3
Mombasa,Govt Health Facility,1.2,>1-3
Mombasa,Private Health Facility,0,≤ 1
Mombasa,Pharmacy,0.2,≤ 1
Mombasa,Shop/market,5.2,>3
Mombasa,Community Health Worker,0,≤ 1
Mombasa,Religious institution,0.5,≤ 1
Mombasa,School,0,≤ 1
Mombasa,Other,1.9,>1-3
Kwale,Mass distribution campaign,85.8,>3
Kwale,ANC visit,5.4,>3
Kwale,Immunization visit,2.4,>1-3
Kwale,Govt Health Facility,0.1,≤ 1
Kwale,Private Health Facility,0,≤ 1
Kwale,Pharmacy,0,≤ 1
Kwale,Shop/market,5.8,>3
Kwale,Community Health Worker,0,≤ 1
Kwale,Religious institution,0,≤ 1
Kwale,School,0,≤ 1
Kwale,Other,0.5,≤ 1
Kilifi,Mass distribution campaign,90.5,>3
Kilifi,ANC visit,6.6,>3
Kilifi,Immunization visit,0,≤ 1
Kilifi,Govt Health Facility,0.7,≤ 1
Kilifi,Private Health Facility,0,≤ 1
Kilifi,Pharmacy,0,≤ 1
Kilifi,Shop/market,1.6,>1-3
Kilifi,Community Health Worker,0,≤ 1
Kilifi,Religious institution,0,≤ 1
Kilifi,School,0,≤ 1
Kilifi,Other,0.5,≤ 1
Tana River,Mass distribution campaign,65.3,>3
Tana River,ANC visit,15.9,>3
Tana River,Immunization visit,6.5,>3
Tana River,Govt Health Facility,0.1,≤ 1
Tana River,Private Health Facility,0,≤ 1
Tana River,Pharmacy,0,≤ 1
Tana River,Shop/market,10.4,>3
Tana River,Community Health Worker,0,≤ 1
Tana River,Religious institution,0,≤ 1
Tana River,School,0,≤ 1
Tana River,Other,1.7,>1-3
Lamu,Mass distribution campaign,77.4,>3
Lamu,ANC visit,14.3,>3
Lamu,Immunization visit,2.1,>1-3
Lamu,Govt Health Facility,0.4,≤ 1
Lamu,Private Health Facility,0,≤ 1
Lamu,Pharmacy,0,≤ 1
Lamu,Shop/market,3.4,>3
Lamu,Community Health Worker,0,≤ 1
Lamu,Religious institution,0,≤ 1
Lamu,School,0.1,≤ 1
Lamu,Other,2.2,>1-3
Taita Taveta,Mass distribution campaign,93.8,>3
Taita Taveta,ANC visit,3,>1-3
Taita Taveta,Immunization visit,0.4,≤ 1
Taita Taveta,Govt Health Facility,0.1,≤ 1
Taita Taveta,Private Health Facility,0,≤ 1
Taita Taveta,Pharmacy,0.1,≤ 1
Taita Taveta,Shop/market,2.1,>1-3
Taita Taveta,Community Health Worker,0,≤ 1
Taita Taveta,Religious institution,0,≤ 1
Taita Taveta,School,0,≤ 1
Taita Taveta,Other,0.5,≤ 1
Garissa,Mass distribution campaign,23.1,>3
Garissa,ANC visit,5.9,>3
Garissa,Immunization visit,0,≤ 1
Garissa,Govt Health Facility,0,≤ 1
Garissa,Private Health Facility,0,≤ 1
Garissa,Pharmacy,2.2,>1-3
Garissa,Shop/market,68.3,>3
Garissa,Community Health Worker,0,≤ 1
Garissa,Religious institution,0,≤ 1
Garissa,School,0,≤ 1
Garissa,Other,0.4,≤ 1
Wajir,Mass distribution campaign,4.2,>3
Wajir,ANC visit,2.4,>1-3
Wajir,Immunization visit,0.2,≤ 1
Wajir,Govt Health Facility,0.1,≤ 1
Wajir,Private Health Facility,0,≤ 1
Wajir,Pharmacy,0.6,≤ 1
Wajir,Shop/market,88.8,>3
Wajir,Community Health Worker,0,≤ 1
Wajir,Religious institution,0,≤ 1
Wajir,School,0,≤ 1
Wajir,Other,3.8,>3
Mandera,Mass distribution campaign,0.4,≤ 1
Mandera,ANC visit,1,≤ 1
Mandera,Immunization visit,0.3,≤ 1
Mandera,Govt Health Facility,0.4,≤ 1
Mandera,Private Health Facility,0,≤ 1
Mandera,Pharmacy,0,≤ 1
Mandera,Shop/market,98,>3
Mandera,Community Health Worker,0,≤ 1
Mandera,Religious institution,0,≤ 1
Mandera,School,0,≤ 1
Mandera,Other,0,≤ 1
Marsabit,Mass distribution campaign,72.2,>3
Marsabit,ANC visit,4.8,>3
Marsabit,Immunization visit,2.1,>1-3
Marsabit,Govt Health Facility,0.3,≤ 1
Marsabit,Private Health Facility,0,≤ 1
Marsabit,Pharmacy,0,≤ 1
Marsabit,Shop/market,17.3,>3
Marsabit,Community Health Worker,0,≤ 1
Marsabit,Religious institution,0,≤ 1
Marsabit,School,1,≤ 1
Marsabit,Other,2,>1-3
Isiolo,Mass distribution campaign,12,>3
Isiolo,ANC visit,41.6,>3
Isiolo,Immunization visit,0.6,≤ 1
Isiolo,Govt Health Facility,5.8,>3
Isiolo,Private Health Facility,0.3,≤ 1
Isiolo,Pharmacy,0.3,≤ 1
Isiolo,Shop/market,33.4,>3
Isiolo,Community Health Worker,0.2,≤ 1
Isiolo,Religious institution,0,≤ 1
Isiolo,School,0,≤ 1
Isiolo,Other,5.8,>3
Meru,Mass distribution campaign,6.4,>3
Meru,ANC visit,30.4,>3
Meru,Immunization visit,28.9,>3
Meru,Govt Health Facility,5.5,>3
Meru,Private Health Facility,0.6,≤ 1
Meru,Pharmacy,0.3,≤ 1
Meru,Shop/market,16,>3
Meru,Community Health Worker,0,≤ 1
Meru,Religious institution,0,≤ 1
Meru,School,0.2,≤ 1
Meru,Other,9.8,>3
Tharaka Nithi,Mass distribution campaign,8.3,>3
Tharaka Nithi,ANC visit,29.1,>3
Tharaka Nithi,Immunization visit,11.5,>3
Tharaka Nithi,Govt Health Facility,7.4,>3
Tharaka Nithi,Private Health Facility,2.4,>1-3
Tharaka Nithi,Pharmacy,2.8,>1-3
Tharaka Nithi,Shop/market,27.2,>3
Tharaka Nithi,Community Health Worker,0,≤ 1
Tharaka Nithi,Religious institution,0.2,≤ 1
Tharaka Nithi,School,3.4,>3
Tharaka Nithi,Other,6.6,>3
