County,Category,Proportion
Mombasa,Mass distribution campaign,81.1
Mombasa,ANC visit,8.5
Mombasa,Immunization visit,1.2
Mombasa,Govt Health Facility,1.2
Mombasa,Private Health Facility,0
Mombasa,Pharmacy,0.2
Mombasa,Shop/market,5.2
Mombasa,Community Health Worker,0
Mombasa,Religious institution,0.5
Mombasa,School,0
Mombasa,Other,1.9
Kwale,Mass distribution campaign,85.8
Kwale,ANC visit,5.4
Kwale,Immunization visit,2.4
Kwale,Govt Health Facility,0.1
Kwale,Private Health Facility,0
Kwale,Pharmacy,0
Kwale,Shop/market,5.8
Kwale,Community Health Worker,0
Kwale,Religious institution,0
Kwale,School,0
Kwale,Other,0.5
Kilifi,Mass distribution campaign,90.5
Kilifi,ANC visit,6.6
Kilifi,Immunization visit,0
Kilifi,Govt Health Facility,0.7
Kilifi,Private Health Facility,0
Kilifi,Pharmacy,0
Kilifi,Shop/market,1.6
Kilifi,Community Health Worker,0
Kilifi,Religious institution,0
Kilifi,School,0
Kilifi,Other,0.5
Tana River,Mass distribution campaign,65.3
Tana River,ANC visit,15.9
Tana River,Immunization visit,6.5
Tana River,Govt Health Facility,0.1
Tana River,Private Health Facility,0
Tana River,Pharmacy,0
Tana River,Shop/market,10.4
Tana River,Community Health Worker,0
Tana River,Religious institution,0
Tana River,School,0
Tana River,Other,1.7
Lamu,Mass distribution campaign,77.4
Lamu,ANC visit,14.3
Lamu,Immunization visit,2.1
Lamu,Govt Health Facility,0.4
Lamu,Private Health Facility,0
Lamu,Pharmacy,0
Lamu,Shop/market,3.4
Lamu,Community Health Worker,0
Lamu,Religious institution,0
Lamu,School,0.1
Lamu,Other,2.2
Taita Taveta,Mass distribution campaign,93.8
Taita Taveta,ANC visit,3
Taita Taveta,Immunization visit,0.4
Taita Taveta,Govt Health Facility,0.1
Taita Taveta,Private Health Facility,0
Taita Taveta,Pharmacy,0.1
Taita Taveta,Shop/market,2.1
Taita Taveta,Community Health Worker,0
Taita Taveta,Religious institution,0
Taita Taveta,School,0
Taita Taveta,Other,0.5
Garissa,Mass distribution campaign,23.1
Garissa,ANC visit,5.9
Garissa,Immunization visit,0
Garissa,Govt Health Facility,0
Garissa,Private Health Facility,0
Garissa,Pharmacy,2.2
Garissa,Shop/market,68.3
Garissa,Community Health Worker,0
Garissa,Religious institution,0
Garissa,School,0
Garissa,Other,0.4
Wajir,Mass distribution campaign,4.2
Wajir,ANC visit,2.4
Wajir,Immunization visit,0.2
Wajir,Govt Health Facility,0.1
Wajir,Private Health Facility,0
Wajir,Pharmacy,0.6
Wajir,Shop/market,88.8
Wajir,Community Health Worker,0
Wajir,Religious institution,0
Wajir,School,0
Wajir,Other,3.8
Mandera,Mass distribution campaign,0.4
Mandera,ANC visit,1
Mandera,Immunization visit,0.3
Mandera,Govt Health Facility,0.4
Mandera,Private Health Facility,0
Mandera,Pharmacy,0
Mandera,Shop/market,98
Mandera,Community Health Worker,0
Mandera,Religious institution,0
Mandera,School,0
Mandera,Other,0
Marsabit,Mass distribution campaign,72.2
Marsabit,ANC visit,4.8
Marsabit,Immunization visit,2.1
Marsabit,Govt Health Facility,0.3
Marsabit,Private Health Facility,0
Marsabit,Pharmacy,0
Marsabit,Shop/market,17.3
Marsabit,Community Health Worker,0
Marsabit,Religious institution,0
Marsabit,School,1
Marsabit,Other,2
Isiolo,Mass distribution campaign,12
Isiolo,ANC visit,41.6
Isiolo,Immunization visit,0.6
Isiolo,Govt Health Facility,5.8
Isiolo,Private Health Facility,0.3
Isiolo,Pharmacy,0.3
Isiolo,Shop/market,33.4
Isiolo,Community Health Worker,0.2
Isiolo,Religious institution,0
Isiolo,School,0
Isiolo,Other,5.8
Meru,Mass distribution campaign,6.4
Meru,ANC visit,30.4
Meru,Immunization visit,28.9
Meru,Govt Health Facility,5.5
Meru,Private Health Facility,0.6
Meru,Pharmacy,0.3
Meru,Shop/market,16
Meru,Community Health Worker,0
Meru,Religious institution,0
Meru,School,0.2
Meru,Other,9.8
