County,Proportion,proportion_groups
Mombasa,55.6,>37-61
Kwale,62.9,>61-80
Kilifi,66,>61-80
Tana River,53.8,>37-61
Lamu,54.4,>37-61
Taita Taveta,82.7,>80
Garissa,10.8,≤ 22
Wajir,27.9,>22-37
Mandera,9.7,≤ 22
Marsabit,17.1,≤ 22
Isiolo,37.7,>37-61
Meru,25.9,>22-37
Tharaka Nithi,43.9,>37-61
Embu,35.9,>22-37
Kitui,23.6,>22-37
Machakos,48.5,>37-61
Makueni,35.9,>22-37
Nyandarua,7.1,≤ 22
Nyeri,14.8,≤ 22
Kirinyaga,57.8,>37-61
Muranga,30.5,>22-37
Kiambu,22.9,>22-37
Turkana,31.5,>22-37
West Pokot,60.9,>37-61
Samburu,12,≤ 22
Trans Nzoia,82.6,>80
Uasin Gishu,73.8,>61-80
Elgeyo Marakwet,15.3,≤ 22
Nandi,81.2,>80
Baringo,48.5,>37-61
Laikipia,19.7,≤ 22
Nakuru,21.2,≤ 22
Narok,69,>61-80
Kajiado,31.9,>22-37
Kericho,79.6,>61-80
Bomet,88.7,>80
Kakamega,79.8,>61-80
Vihiga,86,>80
Bungoma,82.5,>80
Busia,81,>80
Siaya,72.3,>61-80
Kisumu,61.5,>61-80
Homa Bay,74,>61-80
Migori,72.9,>61-80
Kisii,79.2,>61-80
Nyamira,88.2,>80
Nairobi,19.3,≤ 22
