County,Category,Proportion
Mombasa,Use in households with 1/+ ITN,47.6
Mombasa,Use in households with 1/+ ITN per 2 persons,71.6
Kwale,Use in households with 1/+ ITN,62.3
Kwale,Use in households with 1/+ ITN per 2 persons,81.5
Kilifi,Use in households with 1/+ ITN,65.4
Kilifi,Use in households with 1/+ ITN per 2 persons,79.5
Tana River,Use in households with 1/+ ITN,58.5
Tana River,Use in households with 1/+ ITN per 2 persons,80.4
Lamu,Use in households with 1/+ ITN,49.6
Lamu,Use in households with 1/+ ITN per 2 persons,73.2
Taita Taveta,Use in households with 1/+ ITN,74.8
Taita Taveta,Use in households with 1/+ ITN per 2 persons,82.8
Garissa,Use in households with 1/+ ITN,9
Garissa,Use in households with 1/+ ITN per 2 persons,44.4
Wajir,Use in households with 1/+ ITN,22.2
Wajir,Use in households with 1/+ ITN per 2 persons,47.8
Mandera,Use in households with 1/+ ITN,8.4
Mandera,Use in households with 1/+ ITN per 2 persons,48.7
Marsabit,Use in households with 1/+ ITN,7.2
Marsabit,Use in households with 1/+ ITN per 2 persons,24.4
Isiolo,Use in households with 1/+ ITN,35.4
Isiolo,Use in households with 1/+ ITN per 2 persons,64.2
Meru,Use in households with 1/+ ITN,23.3
Meru,Use in households with 1/+ ITN per 2 persons,59.1
Tharaka Nithi,Use in households with 1/+ ITN,36.7
Tharaka Nithi,Use in households with 1/+ ITN per 2 persons,67
Embu,Use in households with 1/+ ITN,32.5
Embu,Use in households with 1/+ ITN per 2 persons,70.9
Kitui,Use in households with 1/+ ITN,22.3
Kitui,Use in households with 1/+ ITN per 2 persons,63.1
Machakos,Use in households with 1/+ ITN,43.3
Machakos,Use in households with 1/+ ITN per 2 persons,72.5
Makueni,Use in households with 1/+ ITN,29.1
Makueni,Use in households with 1/+ ITN per 2 persons,57.6
Nyandarua,Use in households with 1/+ ITN,5.4
Nyandarua,Use in households with 1/+ ITN per 2 persons,53.6
Nyeri,Use in households with 1/+ ITN,10.5
Nyeri,Use in households with 1/+ ITN per 2 persons,55.2
Kirinyaga,Use in households with 1/+ ITN,51.3
Kirinyaga,Use in households with 1/+ ITN per 2 persons,80.9
Muranga,Use in households with 1/+ ITN,21.9
Muranga,Use in households with 1/+ ITN per 2 persons,53.3
Kiambu,Use in households with 1/+ ITN,17.5
Kiambu,Use in households with 1/+ ITN per 2 persons,55.9
Turkana,Use in households with 1/+ ITN,24.7
Turkana,Use in households with 1/+ ITN per 2 persons,47.1
West Pokot,Use in households with 1/+ ITN,50
West Pokot,Use in households with 1/+ ITN per 2 persons,61.5
Samburu,Use in households with 1/+ ITN,8.3
Samburu,Use in households with 1/+ ITN per 2 persons,44.3
Trans Nzoia,Use in households with 1/+ ITN,72.6
Trans Nzoia,Use in households with 1/+ ITN per 2 persons,79.7
Uasin Gishu,Use in households with 1/+ ITN,57.5
Uasin Gishu,Use in households with 1/+ ITN per 2 persons,70.4
Elgeyo Marakwet,Use in households with 1/+ ITN,9.9
Elgeyo Marakwet,Use in households with 1/+ ITN per 2 persons,39.9
Nandi,Use in households with 1/+ ITN,69
Nandi,Use in households with 1/+ ITN per 2 persons,76.5
Baringo,Use in households with 1/+ ITN,43.4
Baringo,Use in households with 1/+ ITN per 2 persons,66.7
Laikipia,Use in households with 1/+ ITN,15.1
Laikipia,Use in households with 1/+ ITN per 2 persons,57.6
Nakuru,Use in households with 1/+ ITN,16
Nakuru,Use in households with 1/+ ITN per 2 persons,55.2
Narok,Use in households with 1/+ ITN,49.4
Narok,Use in households with 1/+ ITN per 2 persons,61.1
Kajiado,Use in households with 1/+ ITN,26.9
Kajiado,Use in households with 1/+ ITN per 2 persons,59.6
Kericho,Use in households with 1/+ ITN,69.1
Kericho,Use in households with 1/+ ITN per 2 persons,79
Bomet,Use in households with 1/+ ITN,73.4
Bomet,Use in households with 1/+ ITN per 2 persons,77.1
Kakamega,Use in households with 1/+ ITN,66.6
Kakamega,Use in households with 1/+ ITN per 2 persons,73.7
Vihiga,Use in households with 1/+ ITN,74.2
Vihiga,Use in households with 1/+ ITN per 2 persons,78.2
Bungoma,Use in households with 1/+ ITN,64.9
Bungoma,Use in households with 1/+ ITN per 2 persons,70.2
Busia,Use in households with 1/+ ITN,74.5
Busia,Use in households with 1/+ ITN per 2 persons,77.7
Siaya,Use in households with 1/+ ITN,68
Siaya,Use in households with 1/+ ITN per 2 persons,75.9
Kisumu,Use in households with 1/+ ITN,61.8
Kisumu,Use in households with 1/+ ITN per 2 persons,78.6
Homa Bay,Use in households with 1/+ ITN,61.4
Homa Bay,Use in households with 1/+ ITN per 2 persons,67.4
Migori,Use in households with 1/+ ITN,69.5
Migori,Use in households with 1/+ ITN per 2 persons,76.7
Kisii,Use in households with 1/+ ITN,71.2
Kisii,Use in households with 1/+ ITN per 2 persons,79.8
Nyamira,Use in households with 1/+ ITN,78.5
Nyamira,Use in households with 1/+ ITN per 2 persons,82.3
Nairobi,Use in households with 1/+ ITN,16.9
Nairobi,Use in households with 1/+ ITN per 2 persons,66.8
