County,Category,Proportion,proportion_groups
Mombasa,Use in households with 1/+ ITN,47.6,>31-55
Mombasa,Use in households with 1/+ ITN per 2 persons,71.6,>68-74
Kwale,Use in households with 1/+ ITN,62.3,>55-68
Kwale,Use in households with 1/+ ITN per 2 persons,81.5,>74
Kilifi,Use in households with 1/+ ITN,65.4,>55-68
Kilifi,Use in households with 1/+ ITN per 2 persons,79.5,>74
Tana River,Use in households with 1/+ ITN,58.5,>55-68
Tana River,Use in households with 1/+ ITN per 2 persons,80.4,>74
Lamu,Use in households with 1/+ ITN,49.6,>31-55
Lamu,Use in households with 1/+ ITN per 2 persons,73.2,>68-74
Taita Taveta,Use in households with 1/+ ITN,74.8,>74
Taita Taveta,Use in households with 1/+ ITN per 2 persons,82.8,>74
Garissa,Use in households with 1/+ ITN,9,≤ 31
Garissa,Use in households with 1/+ ITN per 2 persons,44.4,>31-55
Wajir,Use in households with 1/+ ITN,22.2,≤ 31
Wajir,Use in households with 1/+ ITN per 2 persons,47.8,>31-55
Mandera,Use in households with 1/+ ITN,8.4,≤ 31
Mandera,Use in households with 1/+ ITN per 2 persons,48.7,>31-55
Marsabit,Use in households with 1/+ ITN,7.2,≤ 31
Marsabit,Use in households with 1/+ ITN per 2 persons,24.4,≤ 31
Isiolo,Use in households with 1/+ ITN,35.4,>31-55
Isiolo,Use in households with 1/+ ITN per 2 persons,64.2,>55-68
Meru,Use in households with 1/+ ITN,23.3,≤ 31
Meru,Use in households with 1/+ ITN per 2 persons,59.1,>55-68
Tharaka Nithi,Use in households with 1/+ ITN,36.7,>31-55
Tharaka Nithi,Use in households with 1/+ ITN per 2 persons,67,>55-68
Embu,Use in households with 1/+ ITN,32.5,>31-55
Embu,Use in households with 1/+ ITN per 2 persons,70.9,>68-74
Kitui,Use in households with 1/+ ITN,22.3,≤ 31
Kitui,Use in households with 1/+ ITN per 2 persons,63.1,>55-68
Machakos,Use in households with 1/+ ITN,43.3,>31-55
Machakos,Use in households with 1/+ ITN per 2 persons,72.5,>68-74
Makueni,Use in households with 1/+ ITN,29.1,≤ 31
Makueni,Use in households with 1/+ ITN per 2 persons,57.6,>55-68
Nyandarua,Use in households with 1/+ ITN,5.4,≤ 31
Nyandarua,Use in households with 1/+ ITN per 2 persons,53.6,>31-55
Nyeri,Use in households with 1/+ ITN,10.5,≤ 31
Nyeri,Use in households with 1/+ ITN per 2 persons,55.2,>55-68
Kirinyaga,Use in households with 1/+ ITN,51.3,>31-55
Kirinyaga,Use in households with 1/+ ITN per 2 persons,80.9,>74
Muranga,Use in households with 1/+ ITN,21.9,≤ 31
Muranga,Use in households with 1/+ ITN per 2 persons,53.3,>31-55
Kiambu,Use in households with 1/+ ITN,17.5,≤ 31
Kiambu,Use in households with 1/+ ITN per 2 persons,55.9,>55-68
Turkana,Use in households with 1/+ ITN,24.7,≤ 31
Turkana,Use in households with 1/+ ITN per 2 persons,47.1,>31-55
West Pokot,Use in households with 1/+ ITN,50,>31-55
West Pokot,Use in households with 1/+ ITN per 2 persons,61.5,>55-68
Samburu,Use in households with 1/+ ITN,8.3,≤ 31
Samburu,Use in households with 1/+ ITN per 2 persons,44.3,>31-55
Trans Nzoia,Use in households with 1/+ ITN,72.6,>68-74
Trans Nzoia,Use in households with 1/+ ITN per 2 persons,79.7,>74
Uasin Gishu,Use in households with 1/+ ITN,57.5,>55-68
Uasin Gishu,Use in households with 1/+ ITN per 2 persons,70.4,>68-74
Elgeyo Marakwet,Use in households with 1/+ ITN,9.9,≤ 31
