County,Proportion,Names,proportion_groups
Mombasa,68.2,"Mombasa, 68.2%",>64-71
Kwale,84.6,"Kwale, 84.6%",>80
Kilifi,79.5,"Kilifi, 79.5%",>76-80
Tana River,87.9,"Tana River, 87.9%",>80
Lamu,77.6,"Lamu, 77.6%",>76-80
Taita Taveta,74.7,"Taita Taveta, 74.7%",>71-76
Garissa,79.2,"Garissa, 79.2%",>76-80
Wajir,78.2,"Wajir, 78.2%",>76-80
Mandera,88.8,"Mandera, 88.8%",>80
Marsabit,38.3,"Marsabit, 38.3%",≤ 64
Isiolo,86.3,"Isiolo, 86.3%",>80
Meru,74.1,"Meru, 74.1%",>71-76
Tharaka Nithi,73.2,"Tharaka Nithi, 73.2%",>71-76
Embu,85.3,"Embu, 85.3%",>80
Kitui,87.1,"Kitui, 87.1%",>80
Machakos,82.6,"Machakos, 82.6%",>80
Makueni,72.6,"Makueni, 72.6%",>71-76
Nyandarua,63.2,"Nyandarua, 63.2%",≤ 64
Nyeri,66.1,"Nyeri, 66.1%",>64-71
Kirinyaga,76.1,"Kirinyaga, 76.1%",>76-80
Muranga,66.9,"Muranga, 66.9%",>64-71
Kiambu,67.7,"Kiambu, 67.7%",>64-71
Turkana,61.5,"Turkana, 61.5%",≤ 64
West Pokot,62.4,"West Pokot, 62.4%",≤ 64
Samburu,61.6,"Samburu, 61.6%",≤ 64
Trans Nzoia,67.3,"Trans Nzoia, 67.3%",>64-71
Uasin Gishu,60.7,"Uasin Gishu, 60.7%",≤ 64
Elgeyo Marakwet,61.9,"Elgeyo Marakwet, 61.9%",≤ 64
Nandi,71.8,"Nandi, 71.8%",>71-76
Baringo,73.1,"Baringo, 73.1%",>71-76
Laikipia,66.8,"Laikipia, 66.8%",>64-71
Nakuru,65.5,"Nakuru, 65.5%",>64-71
Narok,53.8,"Narok, 53.8%",≤ 64
Kajiado,73.6,"Kajiado, 73.6%",>71-76
Kericho,76.5,"Kericho, 76.5%",>76-80
Bomet,62.4,"Bomet, 62.4%",≤ 64
Kakamega,70.2,"Kakamega, 70.2%",>64-71
Vihiga,76.4,"Vihiga, 76.4%",>76-80
Bungoma,58.9,"Bungoma, 58.9%",≤ 64
Busia,78.4,"Busia, 78.4%",>76-80
Siaya,80.6,"Siaya, 80.6%",>80
Kisumu,85.6,"Kisumu, 85.6%",>80
Homa Bay,66,"Homa Bay, 66%",>64-71
Migori,78.2,"Migori, 78.2%",>76-80
Kisii,73,"Kisii, 73%",>71-76
Nyamira,73.9,"Nyamira, 73.9%",>71-76
Nairobi,79.6,"Nairobi, 79.6%",>76-80
