County,Category,Proportion
Mombasa,Use in all households,54.9
Mombasa,Use in households with 1/+ ITN,76.7
Kwale,Use in all households,66.4
Kwale,Use in households with 1/+ ITN,82.7
Kilifi,Use in all households,72.4
Kilifi,Use in households with 1/+ ITN,82.5
Tana River,Use in all households,65.5
Tana River,Use in households with 1/+ ITN,84.3
Lamu,Use in all households,60.9
Lamu,Use in households with 1/+ ITN,83
Taita Taveta,Use in all households,83.3
Taita Taveta,Use in households with 1/+ ITN,90.2
Garissa,Use in all households,12.8
Garissa,Use in households with 1/+ ITN,58.5
Wajir,Use in all households,21.7
Wajir,Use in households with 1/+ ITN,51.3
Mandera,Use in all households,9.3
Mandera,Use in households with 1/+ ITN,54.8
Marsabit,Use in all households,8.9
Marsabit,Use in households with 1/+ ITN,31.2
Isiolo,Use in all households,49.2
Isiolo,Use in households with 1/+ ITN,79.2
Meru,Use in all households,45.7
Meru,Use in households with 1/+ ITN,75
Tharaka Nithi,Use in all households,57.3
Tharaka Nithi,Use in households with 1/+ ITN,82.8
Embu,Use in all households,58.2
Embu,Use in households with 1/+ ITN,85.4
Kitui,Use in all households,42.3
Kitui,Use in households with 1/+ ITN,77.3
Machakos,Use in all households,64.7
Machakos,Use in households with 1/+ ITN,85.5
Makueni,Use in all households,46.9
Makueni,Use in households with 1/+ ITN,74.9
Nyandarua,Use in all households,8.6
Nyandarua,Use in households with 1/+ ITN,NA
Nyeri,Use in all households,19
Nyeri,Use in households with 1/+ ITN,66.6
Kirinyaga,Use in all households,67.2
Kirinyaga,Use in households with 1/+ ITN,86.1
Muranga,Use in all households,45.1
Muranga,Use in households with 1/+ ITN,68.7
Kiambu,Use in all households,28.9
Kiambu,Use in households with 1/+ ITN,70.2
Turkana,Use in all households,33.3
Turkana,Use in households with 1/+ ITN,65.1
West Pokot,Use in all households,57.6
West Pokot,Use in households with 1/+ ITN,70.9
Samburu,Use in all households,9.9
Samburu,Use in households with 1/+ ITN,51.5
Trans Nzoia,Use in all households,75.7
Trans Nzoia,Use in households with 1/+ ITN,84
Uasin Gishu,Use in all households,65.8
Uasin Gishu,Use in households with 1/+ ITN,74.5
Elgeyo Marakwet,Use in all households,16.6
Elgeyo Marakwet,Use in households with 1/+ ITN,41.3
Nandi,Use in all households,71.7
Nandi,Use in households with 1/+ ITN,78.5
Baringo,Use in all households,53.8
Baringo,Use in households with 1/+ ITN,76.8
Laikipia,Use in all households,23.7
Laikipia,Use in households with 1/+ ITN,71.6
Nakuru,Use in all households,22.9
Nakuru,Use in households with 1/+ ITN,67.7
Narok,Use in all households,56.6
Narok,Use in households with 1/+ ITN,67.1
Kajiado,Use in all households,39.9
Kajiado,Use in households with 1/+ ITN,73.5
Kericho,Use in all households,73.6
Kericho,Use in households with 1/+ ITN,81.3
Bomet,Use in all households,75.8
Bomet,Use in households with 1/+ ITN,79.5
Kakamega,Use in all households,71.8
Kakamega,Use in households with 1/+ ITN,77.5
Vihiga,Use in all households,79.3
Vihiga,Use in households with 1/+ ITN,82.2
Bungoma,Use in all households,74.2
Bungoma,Use in households with 1/+ ITN,77.8
Busia,Use in all households,83.8
Busia,Use in households with 1/+ ITN,85.6
Siaya,Use in all households,77
Siaya,Use in households with 1/+ ITN,82.3
Kisumu,Use in all households,68.9
Kisumu,Use in households with 1/+ ITN,81.1
Homa Bay,Use in all households,69.7
Homa Bay,Use in households with 1/+ ITN,75
Migori,Use in all households,75.5
Migori,Use in households with 1/+ ITN,81.4
Kisii,Use in all households,75.4
Kisii,Use in households with 1/+ ITN,82.7
Nyamira,Use in all households,81.1
Nyamira,Use in households with 1/+ ITN,83.3
Nairobi,Use in all households,23.9
Nairobi,Use in households with 1/+ ITN,72.9
