County,Reason,Proportion,Names,proportion_groups
Mombasa,Too hot,18.1,"Mombasa, 18.1%",>10
Mombasa,Don't like net,0.3,"Mombasa, 0.3%",< 1
Mombasa,Don't like smell,0.3,"Mombasa, 0.3%",< 1
Mombasa,Unable to hang net,2.7,"Mombasa, 2.7%",>2-10
Mombasa,Slept outdoors,0.4,"Mombasa, 0.4%",< 1
Mombasa,User didn't sleep in household,10.1,"Mombasa, 10.1%",>10
Mombasa,No mosquitoes/malaria,6,"Mombasa, 6%",>2-10
Mombasa,Extra net/saving for later,53,"Mombasa, 53%",>10
Mombasa,Net too small,1.5,"Mombasa, 1.5%",1-2
Mombasa,Net brought bedbugs,0.6,"Mombasa, 0.6%",< 1
Mombasa,Other,7.1,"Mombasa, 7.1%",>2-10
Kwale,Too hot,8.6,"Kwale, 8.6%",>2-10
Kwale,Don't like net,0,"Kwale, 0%",< 1
Kwale,Don't like smell,0,"Kwale, 0%",< 1
Kwale,Unable to hang net,2.1,"Kwale, 2.1%",>2-10
Kwale,Slept outdoors,0.6,"Kwale, 0.6%",< 1
Kwale,User didn't sleep in household,15.8,"Kwale, 15.8%",>10
Kwale,No mosquitoes/malaria,1.8,"Kwale, 1.8%",1-2
Kwale,Extra net/saving for later,64.5,"Kwale, 64.5%",>10
Kwale,Net too small,0.5,"Kwale, 0.5%",< 1
Kwale,Net brought bedbugs,3.6,"Kwale, 3.6%",>2-10
Kwale,Other,2.4,"Kwale, 2.4%",>2-10
Kilifi,Too hot,11.9,"Kilifi, 11.9%",>10
Kilifi,Don't like net,0.3,"Kilifi, 0.3%",< 1
Kilifi,Don't like smell,0.3,"Kilifi, 0.3%",< 1
Kilifi,Unable to hang net,0,"Kilifi, 0%",< 1
Kilifi,Slept outdoors,0.4,"Kilifi, 0.4%",< 1
Kilifi,User didn't sleep in household,16.2,"Kilifi, 16.2%",>10
Kilifi,No mosquitoes/malaria,2.1,"Kilifi, 2.1%",>2-10
Kilifi,Extra net/saving for later,64.4,"Kilifi, 64.4%",>10
Kilifi,Net too small,0,"Kilifi, 0%",< 1
Kilifi,Net brought bedbugs,1.4,"Kilifi, 1.4%",1-2
Kilifi,Other,3,"Kilifi, 3%",>2-10
Tana River,Too hot,6.7,"Tana River, 6.7%",>2-10
Tana River,Don't like net,0.9,"Tana River, 0.9%",< 1
Tana River,Don't like smell,0,"Tana River, 0%",< 1
Tana River,Unable to hang net,0,"Tana River, 0%",< 1
Tana River,Slept outdoors,1.3,"Tana River, 1.3%",1-2
Tana River,User didn't sleep in household,14.1,"Tana River, 14.1%",>10
Tana River,No mosquitoes/malaria,21.9,"Tana River, 21.9%",>10
Tana River,Extra net/saving for later,52.5,"Tana River, 52.5%",>10
Tana River,Net too small,0,"Tana River, 0%",< 1
Tana River,Net brought bedbugs,0,"Tana River, 0%",< 1
Tana River,Other,2.7,"Tana River, 2.7%",>2-10
Lamu,Too hot,13.3,"Lamu, 13.3%",>10
Lamu,Don't like net,0,"Lamu, 0%",< 1
Lamu,Don't like smell,0.4,"Lamu, 0.4%",< 1
Lamu,Unable to hang net,1.3,"Lamu, 1.3%",1-2
Lamu,Slept outdoors,1,"Lamu, 1%",1-2
Lamu,User didn't sleep in household,14.8,"Lamu, 14.8%",>10
Lamu,No mosquitoes/malaria,3.6,"Lamu, 3.6%",>2-10
Lamu,Extra net/saving for later,57.2,"Lamu, 57.2%",>10
Lamu,Net too small,0.4,"Lamu, 0.4%",< 1
Lamu,Net brought bedbugs,1,"Lamu, 1%",1-2
Lamu,Other,7.1,"Lamu, 7.1%",>2-10
Taita Taveta,Too hot,6,"Taita Taveta, 6%",>2-10
Taita Taveta,Don't like net,0,"Taita Taveta, 0%",< 1
Taita Taveta,Don't like smell,0,"Taita Taveta, 0%",< 1
Taita Taveta,Unable to hang net,2.1,"Taita Taveta, 2.1%",>2-10
Taita Taveta,Slept outdoors,0.3,"Taita Taveta, 0.3%",< 1
Taita Taveta,User didn't sleep in household,28.1,"Taita Taveta, 28.1%",>10
Taita Taveta,No mosquitoes/malaria,12.4,"Taita Taveta, 12.4%",>10
Taita Taveta,Extra net/saving for later,47.1,"Taita Taveta, 47.1%",>10
Taita Taveta,Net too small,0.3,"Taita Taveta, 0.3%",< 1
Taita Taveta,Net brought bedbugs,0,"Taita Taveta, 0%",< 1
Taita Taveta,Other,3.7,"Taita Taveta, 3.7%",>2-10
Garissa,Too hot,27.4,"Garissa, 27.4%",>10
Garissa,Don't like net,0,"Garissa, 0%",< 1
Garissa,Don't like smell,0,"Garissa, 0%",< 1
Garissa,Unable to hang net,0,"Garissa, 0%",< 1
Garissa,Slept outdoors,10.5,"Garissa, 10.5%",>10
Garissa,User didn't sleep in household,12.1,"Garissa, 12.1%",>10
Garissa,No mosquitoes/malaria,33,"Garissa, 33%",>10
Garissa,Extra net/saving for later,13.9,"Garissa, 13.9%",>10
Garissa,Net too small,0,"Garissa, 0%",< 1
Garissa,Net brought bedbugs,0,"Garissa, 0%",< 1
Garissa,Other,3.1,"Garissa, 3.1%",>2-10
Wajir,Too hot,61,"Wajir, 61%",>10
Wajir,Don't like net,0,"Wajir, 0%",< 1
Wajir,Don't like smell,0,"Wajir, 0%",< 1
Wajir,Unable to hang net,0,"Wajir, 0%",< 1
Wajir,Slept outdoors,0.9,"Wajir, 0.9%",< 1
Wajir,User didn't sleep in household,13.8,"Wajir, 13.8%",>10
Wajir,No mosquitoes/malaria,21.9,"Wajir, 21.9%",>10
Wajir,Extra net/saving for later,2.4,"Wajir, 2.4%",>2-10
Wajir,Net too small,0,"Wajir, 0%",< 1
Wajir,Net brought bedbugs,0,"Wajir, 0%",< 1
Wajir,Other,0,"Wajir, 0%",< 1
Mandera,Too hot,NA,"Mandera, NA%",NA
Mandera,Don't like net,NA,"Mandera, NA%",NA
Mandera,Don't like smell,NA,"Mandera, NA%",NA
Mandera,Unable to hang net,NA,"Mandera, NA%",NA
Mandera,Slept outdoors,NA,"Mandera, NA%",NA
Mandera,User didn't sleep in household,NA,"Mandera, NA%",NA
Mandera,No mosquitoes/malaria,NA,"Mandera, NA%",NA
Mandera,Extra net/saving for later,NA,"Mandera, NA%",NA
