County,Category,Proportion,Participants,Names
Mombasa,Diagnosed with HBP/Hypertension,10.7,Women,"Mombasa, 10.7%"
Mombasa,Taking meds to control BP,40,Women,"Mombasa, 40%"
Kwale,Diagnosed with HBP/Hypertension,4.4,Women,"Kwale, 4.4%"
Kwale,Taking meds to control BP,NA,Women,"Kwale, NA%"
Kilifi,Diagnosed with HBP/Hypertension,6.3,Women,"Kilifi, 6.3%"
Kilifi,Taking meds to control BP,37.9,Women,"Kilifi, 37.9%"
Tana River,Diagnosed with HBP/Hypertension,3.6,Women,"Tana River, 3.6%"
Tana River,Taking meds to control BP,NA,Women,"Tana River, NA%"
Lamu,Diagnosed with HBP/Hypertension,10.2,Women,"Lamu, 10.2%"
Lamu,Taking meds to control BP,46.9,Women,"Lamu, 46.9%"
Taita Taveta,Diagnosed with HBP/Hypertension,18.1,Women,"Taita Taveta, 18.1%"
Taita Taveta,Taking meds to control BP,12.9,Women,"Taita Taveta, 12.9%"
Garissa,Diagnosed with HBP/Hypertension,2.3,Women,"Garissa, 2.3%"
Garissa,Taking meds to control BP,NA,Women,"Garissa, NA%"
Wajir,Diagnosed with HBP/Hypertension,5.9,Women,"Wajir, 5.9%"
Wajir,Taking meds to control BP,NA,Women,"Wajir, NA%"
Mandera,Diagnosed with HBP/Hypertension,2.9,Women,"Mandera, 2.9%"
Mandera,Taking meds to control BP,NA,Women,"Mandera, NA%"
Marsabit,Diagnosed with HBP/Hypertension,2.8,Women,"Marsabit, 2.8%"
Marsabit,Taking meds to control BP,NA,Women,"Marsabit, NA%"
Isiolo,Diagnosed with HBP/Hypertension,5.3,Women,"Isiolo, 5.3%"
Isiolo,Taking meds to control BP,NA,Women,"Isiolo, NA%"
Meru,Diagnosed with HBP/Hypertension,11,Women,"Meru, 11%"
Meru,Taking meds to control BP,24.3,Women,"Meru, 24.3%"
Tharaka Nithi,Diagnosed with HBP/Hypertension,14.7,Women,"Tharaka Nithi, 14.7%"
Tharaka Nithi,Taking meds to control BP,22.7,Women,"Tharaka Nithi, 22.7%"
Embu,Diagnosed with HBP/Hypertension,10.2,Women,"Embu, 10.2%"
Embu,Taking meds to control BP,40.5,Women,"Embu, 40.5%"
Kitui,Diagnosed with HBP/Hypertension,4.3,Women,"Kitui, 4.3%"
Kitui,Taking meds to control BP,NA,Women,"Kitui, NA%"
Machakos,Diagnosed with HBP/Hypertension,11.1,Women,"Machakos, 11.1%"
Machakos,Taking meds to control BP,26.9,Women,"Machakos, 26.9%"
Makueni,Diagnosed with HBP/Hypertension,3.7,Women,"Makueni, 3.7%"
Makueni,Taking meds to control BP,NA,Women,"Makueni, NA%"
Nyandarua,Diagnosed with HBP/Hypertension,11.7,Women,"Nyandarua, 11.7%"
Nyandarua,Taking meds to control BP,21.9,Women,"Nyandarua, 21.9%"
Nyeri,Diagnosed with HBP/Hypertension,14.3,Women,"Nyeri, 14.3%"
Nyeri,Taking meds to control BP,26.6,Women,"Nyeri, 26.6%"
Kirinyaga,Diagnosed with HBP/Hypertension,20,Women,"Kirinyaga, 20%"
Kirinyaga,Taking meds to control BP,16.7,Women,"Kirinyaga, 16.7%"
Muranga,Diagnosed with HBP/Hypertension,11.6,Women,"Muranga, 11.6%"
Muranga,Taking meds to control BP,28.5,Women,"Muranga, 28.5%"
Kiambu,Diagnosed with HBP/Hypertension,7.2,Women,"Kiambu, 7.2%"
Kiambu,Taking meds to control BP,20.5,Women,"Kiambu, 20.5%"
Turkana,Diagnosed with HBP/Hypertension,3.3,Women,"Turkana, 3.3%"
Turkana,Taking meds to control BP,NA,Women,"Turkana, NA%"
West Pokot,Diagnosed with HBP/Hypertension,2.6,Women,"West Pokot, 2.6%"
West Pokot,Taking meds to control BP,NA,Women,"West Pokot, NA%"
Samburu,Diagnosed with HBP/Hypertension,1.7,Women,"Samburu, 1.7%"
Samburu,Taking meds to control BP,NA,Women,"Samburu, NA%"
Trans Nzoia,Diagnosed with HBP/Hypertension,8.3,Women,"Trans Nzoia, 8.3%"
Trans Nzoia,Taking meds to control BP,29.4,Women,"Trans Nzoia, 29.4%"
Uasin Gishu,Diagnosed with HBP/Hypertension,11.3,Women,"Uasin Gishu, 11.3%"
