County,Category,Proportion,Participants,Names,proportion_groups
Mombasa,Diagnosed with HBP/Hypertension,10.7,Women,"Mombasa, 10.7%",>8-20
Mombasa,Taking meds to control BP,40,Women,"Mombasa, 40%",>20
Kwale,Diagnosed with HBP/Hypertension,4.4,Women,"Kwale, 4.4%",>3-5
Kwale,Taking meds to control BP,NA,Women,"Kwale, NA%",NA
Kilifi,Diagnosed with HBP/Hypertension,6.3,Women,"Kilifi, 6.3%",>5-8
Kilifi,Taking meds to control BP,37.9,Women,"Kilifi, 37.9%",>20
Tana River,Diagnosed with HBP/Hypertension,3.6,Women,"Tana River, 3.6%",>3-5
Tana River,Taking meds to control BP,NA,Women,"Tana River, NA%",NA
Lamu,Diagnosed with HBP/Hypertension,10.2,Women,"Lamu, 10.2%",>8-20
Lamu,Taking meds to control BP,46.9,Women,"Lamu, 46.9%",>20
Taita Taveta,Diagnosed with HBP/Hypertension,18.1,Women,"Taita Taveta, 18.1%",>8-20
Taita Taveta,Taking meds to control BP,12.9,Women,"Taita Taveta, 12.9%",>8-20
Garissa,Diagnosed with HBP/Hypertension,2.3,Women,"Garissa, 2.3%",≤ 3
Garissa,Taking meds to control BP,NA,Women,"Garissa, NA%",NA
Wajir,Diagnosed with HBP/Hypertension,5.9,Women,"Wajir, 5.9%",>5-8
Wajir,Taking meds to control BP,NA,Women,"Wajir, NA%",NA
Mandera,Diagnosed with HBP/Hypertension,2.9,Women,"Mandera, 2.9%",≤ 3
Mandera,Taking meds to control BP,NA,Women,"Mandera, NA%",NA
Marsabit,Diagnosed with HBP/Hypertension,2.8,Women,"Marsabit, 2.8%",≤ 3
Marsabit,Taking meds to control BP,NA,Women,"Marsabit, NA%",NA
Isiolo,Diagnosed with HBP/Hypertension,5.3,Women,"Isiolo, 5.3%",>5-8
Isiolo,Taking meds to control BP,NA,Women,"Isiolo, NA%",NA
Meru,Diagnosed with HBP/Hypertension,11,Women,"Meru, 11%",>8-20
Meru,Taking meds to control BP,24.3,Women,"Meru, 24.3%",>20
Tharaka Nithi,Diagnosed with HBP/Hypertension,14.7,Women,"Tharaka Nithi, 14.7%",>8-20
Tharaka Nithi,Taking meds to control BP,22.7,Women,"Tharaka Nithi, 22.7%",>20
Embu,Diagnosed with HBP/Hypertension,10.2,Women,"Embu, 10.2%",>8-20
Embu,Taking meds to control BP,40.5,Women,"Embu, 40.5%",>20
Kitui,Diagnosed with HBP/Hypertension,4.3,Women,"Kitui, 4.3%",>3-5
Kitui,Taking meds to control BP,NA,Women,"Kitui, NA%",NA
Machakos,Diagnosed with HBP/Hypertension,11.1,Women,"Machakos, 11.1%",>8-20
Machakos,Taking meds to control BP,26.9,Women,"Machakos, 26.9%",>20
Makueni,Diagnosed with HBP/Hypertension,3.7,Women,"Makueni, 3.7%",>3-5
Makueni,Taking meds to control BP,NA,Women,"Makueni, NA%",NA
Nyandarua,Diagnosed with HBP/Hypertension,11.7,Women,"Nyandarua, 11.7%",>8-20
Nyandarua,Taking meds to control BP,21.9,Women,"Nyandarua, 21.9%",>20
