County,Category,Proportion,Participants,Names
Mombasa,Diagnosed with Depression,5.3,Women,"Mombasa, 5.3%"
Mombasa,Receiving treatment,NA,Women,"Mombasa, NA%"
Kwale,Diagnosed with Depression,1.2,Women,"Kwale, 1.2%"
Kwale,Receiving treatment,NA,Women,"Kwale, NA%"
Kilifi,Diagnosed with Depression,1.7,Women,"Kilifi, 1.7%"
Kilifi,Receiving treatment,NA,Women,"Kilifi, NA%"
Tana River,Diagnosed with Depression,0.7,Women,"Tana River, 0.7%"
Tana River,Receiving treatment,NA,Women,"Tana River, NA%"
Lamu,Diagnosed with Depression,5.9,Women,"Lamu, 5.9%"
Lamu,Receiving treatment,NA,Women,"Lamu, NA%"
Taita Taveta,Diagnosed with Depression,3.3,Women,"Taita Taveta, 3.3%"
Taita Taveta,Receiving treatment,NA,Women,"Taita Taveta, NA%"
Garissa,Diagnosed with Depression,7.1,Women,"Garissa, 7.1%"
Garissa,Receiving treatment,NA,Women,"Garissa, NA%"
Wajir,Diagnosed with Depression,0.8,Women,"Wajir, 0.8%"
Wajir,Receiving treatment,NA,Women,"Wajir, NA%"
Mandera,Diagnosed with Depression,0.6,Women,"Mandera, 0.6%"
Mandera,Receiving treatment,NA,Women,"Mandera, NA%"
Marsabit,Diagnosed with Depression,1.4,Women,"Marsabit, 1.4%"
Marsabit,Receiving treatment,NA,Women,"Marsabit, NA%"
Isiolo,Diagnosed with Depression,3.9,Women,"Isiolo, 3.9%"
Isiolo,Receiving treatment,NA,Women,"Isiolo, NA%"
Meru,Diagnosed with Depression,10,Women,"Meru, 10%"
Meru,Receiving treatment,10,Women,"Meru, 10%"
Tharaka Nithi,Diagnosed with Depression,3.1,Women,"Tharaka Nithi, 3.1%"
Tharaka Nithi,Receiving treatment,NA,Women,"Tharaka Nithi, NA%"
Embu,Diagnosed with Depression,2,Women,"Embu, 2%"
Embu,Receiving treatment,NA,Women,"Embu, NA%"
Kitui,Diagnosed with Depression,1.4,Women,"Kitui, 1.4%"
Kitui,Receiving treatment,NA,Women,"Kitui, NA%"
Machakos,Diagnosed with Depression,3.3,Women,"Machakos, 3.3%"
Machakos,Receiving treatment,NA,Women,"Machakos, NA%"
Makueni,Diagnosed with Depression,0.4,Women,"Makueni, 0.4%"
Makueni,Receiving treatment,NA,Women,"Makueni, NA%"
Nyandarua,Diagnosed with Depression,2.9,Women,"Nyandarua, 2.9%"
Nyandarua,Receiving treatment,NA,Women,"Nyandarua, NA%"
Nyeri,Diagnosed with Depression,5.6,Women,"Nyeri, 5.6%"
Nyeri,Receiving treatment,NA,Women,"Nyeri, NA%"
Kirinyaga,Diagnosed with Depression,2.7,Women,"Kirinyaga, 2.7%"
Kirinyaga,Receiving treatment,NA,Women,"Kirinyaga, NA%"
Muranga,Diagnosed with Depression,5.9,Women,"Muranga, 5.9%"
Muranga,Receiving treatment,NA,Women,"Muranga, NA%"
Kiambu,Diagnosed with Depression,4.2,Women,"Kiambu, 4.2%"
Kiambu,Receiving treatment,NA,Women,"Kiambu, NA%"
Turkana,Diagnosed with Depression,3.9,Women,"Turkana, 3.9%"
Turkana,Receiving treatment,NA,Women,"Turkana, NA%"
West Pokot,Diagnosed with Depression,4.2,Women,"West Pokot, 4.2%"
West Pokot,Receiving treatment,NA,Women,"West Pokot, NA%"
Samburu,Diagnosed with Depression,0.4,Women,"Samburu, 0.4%"
Samburu,Receiving treatment,NA,Women,"Samburu, NA%"
Trans Nzoia,Diagnosed with Depression,2.8,Women,"Trans Nzoia, 2.8%"
Trans Nzoia,Receiving treatment,NA,Women,"Trans Nzoia, NA%"
Uasin Gishu,Diagnosed with Depression,7.8,Women,"Uasin Gishu, 7.8%"
Uasin Gishu,Receiving treatment,22.4,Women,"Uasin Gishu, 22.4%"
Elgeyo Marakwet,Diagnosed with Depression,0.9,Women,"Elgeyo Marakwet, 0.9%"
Elgeyo Marakwet,Receiving treatment,NA,Women,"Elgeyo Marakwet, NA%"
Nandi,Diagnosed with Depression,3.4,Women,"Nandi, 3.4%"
Nandi,Receiving treatment,NA,Women,"Nandi, NA%"
Baringo,Diagnosed with Depression,1.5,Women,"Baringo, 1.5%"
Baringo,Receiving treatment,NA,Women,"Baringo, NA%"
