County,Category,Proportion
Mombasa,Tested for cervical cancer,15.9
Mombasa,Diagnosed with cervical cancer,0.4
Kwale,Tested for cervical cancer,2.9
Kwale,Diagnosed with cervical cancer,0.0
Kilifi,Tested for cervical cancer,7.0
Kilifi,Diagnosed with cervical cancer,0.0
Tana River,Tested for cervical cancer,6.9
Tana River,Diagnosed with cervical cancer,0.0
Lamu,Tested for cervical cancer,6.9
Lamu,Diagnosed with cervical cancer,0.0
Taita Taveta,Tested for cervical cancer,10.6
Taita Taveta,Diagnosed with cervical cancer,0.0
Garissa,Tested for cervical cancer,2.0
Garissa,Diagnosed with cervical cancer,0.0
Wajir,Tested for cervical cancer,2.0
Wajir,Diagnosed with cervical cancer,0.0
Mandera,Tested for cervical cancer,0.5
Mandera,Diagnosed with cervical cancer,0.0
Marsabit,Tested for cervical cancer,0.5
Marsabit,Diagnosed with cervical cancer,0.2
Isiolo,Tested for cervical cancer,5.1
Isiolo,Diagnosed with cervical cancer,0.0
Meru,Tested for cervical cancer,20.5
Meru,Diagnosed with cervical cancer,0.0
Tharaka-Nithi,Tested for cervical cancer,20.1
Tharaka-Nithi,Diagnosed with cervical cancer,0.3
Embu,Tested for cervical cancer,18.0
Embu,Diagnosed with cervical cancer,0.2
Kitui,Tested for cervical cancer,4.7
Kitui,Diagnosed with cervical cancer,0.0
Machakos,Tested for cervical cancer,18.8
Machakos,Diagnosed with cervical cancer,0.0
Makueni,Tested for cervical cancer,5.9
Makueni,Diagnosed with cervical cancer,0.0
Nyandarua,Tested for cervical cancer,21.3
Nyandarua,Diagnosed with cervical cancer,0.1
Nyeri,Tested for cervical cancer,31.6
Nyeri,Diagnosed with cervical cancer,0.0
Kirinyaga,Tested for cervical cancer,23.1
Kirinyaga,Diagnosed with cervical cancer,0.3
Murang'a,Tested for cervical cancer,22.1
Murang'a,Diagnosed with cervical cancer,0.3
Kiambu,Tested for cervical cancer,19.6
Kiambu,Diagnosed with cervical cancer,0.6
Turkana,Tested for cervical cancer,8.2
Turkana,Diagnosed with cervical cancer,0.0
West Pokot,Tested for cervical cancer,3.1
West Pokot,Diagnosed with cervical cancer,0.0
Samburu,Tested for cervical cancer,9.4
Samburu,Diagnosed with cervical cancer,0.0
Trans Nzoia,Tested for cervical cancer,17.1
Trans Nzoia,Diagnosed with cervical cancer,0.3
Uasin Gishu,Tested for cervical cancer,21.4
Uasin Gishu,Diagnosed with cervical cancer,0.3
Elgeyo-Marakwet,Tested for cervical cancer,13.6
Elgeyo-Marakwet,Diagnosed with cervical cancer,0.0
Nandi,Tested for cervical cancer,8.0
Nandi,Diagnosed with cervical cancer,0.1
Baringo,Tested for cervical cancer,10.0
Baringo,Diagnosed with cervical cancer,0.4
Laikipia,Tested for cervical cancer,18.6
Laikipia,Diagnosed with cervical cancer,0.0
Nakuru,Tested for cervical cancer,22.9
Nakuru,Diagnosed with cervical cancer,0.0
Narok,Tested for cervical cancer,7.1
Narok,Diagnosed with cervical cancer,0.3
Kajiado,Tested for cervical cancer,16.2
Kajiado,Diagnosed with cervical cancer,0.0
Kericho,Tested for cervical cancer,27.2
Kericho,Diagnosed with cervical cancer,0.4
Bomet,Tested for cervical cancer,7.6
Bomet,Diagnosed with cervical cancer,0.0
Kakamega,Tested for cervical cancer,11.1
Kakamega,Diagnosed with cervical cancer,0.0
Vihiga,Tested for cervical cancer,8.7
Vihiga,Diagnosed with cervical cancer,0.2
Bungoma,Tested for cervical cancer,16.4
Bungoma,Diagnosed with cervical cancer,0.3
Busia,Tested for cervical cancer,12.3
Busia,Diagnosed with cervical cancer,0.3
Siaya,Tested for cervical cancer,17.3
Siaya,Diagnosed with cervical cancer,0.4
Kisumu,Tested for cervical cancer,23.4
Kisumu,Diagnosed with cervical cancer,0.8
Homa Bay,Tested for cervical cancer,23.8
Homa Bay,Diagnosed with cervical cancer,0.7
Migori,Tested for cervical cancer,16.0
Migori,Diagnosed with cervical cancer,0.0
Kisii,Tested for cervical cancer,17.0
Kisii,Diagnosed with cervical cancer,0.0
Nyamira,Tested for cervical cancer,17.8
Nyamira,Diagnosed with cervical cancer,0.0
Nairobi,Tested for cervical cancer,25.4
Nairobi,Diagnosed with cervical cancer,0.2
