"","County","Category","Proportion","proportion_groups"
"1","Mombasa","<60 days",37.8,">35"
"2","Mombasa","60-89 days",8.7,"≤ 11"
"3","Mombasa","90-179 days",34.7,">23-35"
"4","Mombasa","180+ days",11.2,">11-16"
"5","Kwale","<60 days",13.4,">11-16"
"6","Kwale","60-89 days",10.6,"≤ 11"
"7","Kwale","90-179 days",54.1,">35"
"8","Kwale","180+ days",18.1,">16-23"
"9","Kilifi","<60 days",18.9,">16-23"
"10","Kilifi","60-89 days",9.5,"≤ 11"
"11","Kilifi","90-179 days",47.4,">35"
"12","Kilifi","180+ days",19.3,">16-23"
"13","Tana River","<60 days",21.9,">16-23"
"14","Tana River","60-89 days",15.1,">11-16"
"15","Tana River","90-179 days",26.9,">23-35"
"16","Tana River","180+ days",22.2,">16-23"
"17","Lamu","<60 days",18.5,">16-23"
"18","Lamu","60-89 days",13.7,">11-16"
"19","Lamu","90-179 days",40.9,">35"
"20","Lamu","180+ days",13.8,">11-16"
"21","Taita Taveta","<60 days",23.4,">23-35"
"22","Taita Taveta","60-89 days",3.2,"≤ 11"
"23","Taita Taveta","90-179 days",39.4,">35"
"24","Taita Taveta","180+ days",26.8,">23-35"
"25","Garissa","<60 days",21.2,">16-23"
"26","Garissa","60-89 days",17,">16-23"
"27","Garissa","90-179 days",9.7,"≤ 11"
"28","Garissa","180+ days",0,"≤ 11"
"29","Wajir","<60 days",54.2,">35"
"30","Wajir","60-89 days",5.2,"≤ 11"
"31","Wajir","90-179 days",11.6,">11-16"
"32","Wajir","180+ days",0.5,"≤ 11"
"33","Mandera","<60 days",41.5,">35"
"34","Mandera","60-89 days",5,"≤ 11"
"35","Mandera","90-179 days",4.3,"≤ 11"
"36","Mandera","180+ days",10,"≤ 11"
"37","Marsabit","<60 days",27.1,">23-35"
"38","Marsabit","60-89 days",17.1,">16-23"
"39","Marsabit","90-179 days",35.8,">35"
"40","Marsabit","180+ days",7.1,"≤ 11"
"41","Isiolo","<60 days",14.6,">11-16"
"42","Isiolo","60-89 days",8.2,"≤ 11"
"43","Isiolo","90-179 days",28.7,">23-35"
"44","Isiolo","180+ days",25,">23-35"
"45","Meru","<60 days",43,">35"
"46","Meru","60-89 days",12.4,">11-16"
"47","Meru","90-179 days",20.7,">16-23"
"48","Meru","180+ days",7.3,"≤ 11"
"49","Tharaka Nithi","<60 days",30.4,">23-35"
"50","Tharaka Nithi","60-89 days",3.7,"≤ 11"
"51","Tharaka Nithi","90-179 days",47.7,">35"
"52","Tharaka Nithi","180+ days",11.6,">11-16"
"53","Embu","<60 days",9.6,"≤ 11"
"54","Embu","60-89 days",11,"≤ 11"
"55","Embu","90-179 days",54.6,">35"
"56","Embu","180+ days",12.5,">11-16"
"57","Kitui","<60 days",10.1,"≤ 11"
"58","Kitui","60-89 days",12.3,">11-16"
"59","Kitui","90-179 days",41,">35"
"60","Kitui","180+ days",25.2,">23-35"
"61","Machakos","<60 days",21,">16-23"
"62","Machakos","60-89 days",9.1,"≤ 11"
"63","Machakos","90-179 days",39.1,">35"
"64","Machakos","180+ days",22.5,">16-23"
"65","Makueni","<60 days",12.1,">11-16"
"66","Makueni","60-89 days",8.4,"≤ 11"
"67","Makueni","90-179 days",55.4,">35"
