County,indicator,indicator1,values
Mombasa,HFA,HFA_perc_below3sd,3.5
Mombasa,HFA,HFA_perc_below2sd,13.5
Kwale,HFA,HFA_perc_below3sd,6.9
Kwale,HFA,HFA_perc_below2sd,22.7
Kilifi,HFA,HFA_perc_below3sd,13.4
Kilifi,HFA,HFA_perc_below2sd,37
Tana River,HFA,HFA_perc_below3sd,5.6
Tana River,HFA,HFA_perc_below2sd,21.1
Lamu,HFA,HFA_perc_below3sd,2.5
Lamu,HFA,HFA_perc_below2sd,16.1
Taita Taveta,HFA,HFA_perc_below3sd,4.9
Taita Taveta,HFA,HFA_perc_below2sd,19.2
Garissa,HFA,HFA_perc_below3sd,0.6
Garissa,HFA,HFA_perc_below2sd,9
Wajir,HFA,HFA_perc_below3sd,3.2
Wajir,HFA,HFA_perc_below2sd,12.4
Mandera,HFA,HFA_perc_below3sd,6.3
Mandera,HFA,HFA_perc_below2sd,20.5
Marsabit,HFA,HFA_perc_below3sd,4.9
Marsabit,HFA,HFA_perc_below2sd,18.9
Isiolo,HFA,HFA_perc_below3sd,4.3
Isiolo,HFA,HFA_perc_below2sd,14.1
Meru,HFA,HFA_perc_below3sd,4.6
Meru,HFA,HFA_perc_below2sd,25.2
Tharaka Nithi,HFA,HFA_perc_below3sd,3.4
Tharaka Nithi,HFA,HFA_perc_below2sd,20.5
Embu,HFA,HFA_perc_below3sd,5.3
Embu,HFA,HFA_perc_below2sd,19.9
Kitui,HFA,HFA_perc_below3sd,8.8
Kitui,HFA,HFA_perc_below2sd,25.1
Machakos,HFA,HFA_perc_below3sd,3.8
Machakos,HFA,HFA_perc_below2sd,16.2
Makueni,HFA,HFA_perc_below3sd,4.2
Makueni,HFA,HFA_perc_below2sd,19.8
Nyandarua,HFA,HFA_perc_below3sd,3.2
Nyandarua,HFA,HFA_perc_below2sd,17.8
Nyeri,HFA,HFA_perc_below3sd,2.2
Nyeri,HFA,HFA_perc_below2sd,12.5
Kirinyaga,HFA,HFA_perc_below3sd,1.9
Kirinyaga,HFA,HFA_perc_below2sd,11.2
Muranga,HFA,HFA_perc_below3sd,1.1
Muranga,HFA,HFA_perc_below2sd,10.1
Kiambu,HFA,HFA_perc_below3sd,3.8
Kiambu,HFA,HFA_perc_below2sd,15.3
Turkana,HFA,HFA_perc_below3sd,7.3
Turkana,HFA,HFA_perc_below2sd,23
West Pokot,HFA,HFA_perc_below3sd,10.4
West Pokot,HFA,HFA_perc_below2sd,33.5
Samburu,HFA,HFA_perc_below3sd,8.9
Samburu,HFA,HFA_perc_below2sd,31.4
Trans Nzoia,HFA,HFA_perc_below3sd,4.8
Trans Nzoia,HFA,HFA_perc_below2sd,21.3
Uasin Gishu,HFA,HFA_perc_below3sd,2.7
Uasin Gishu,HFA,HFA_perc_below2sd,14.2
Elgeyo Marakwet,HFA,HFA_perc_below3sd,3.1
Elgeyo Marakwet,HFA,HFA_perc_below2sd,21.8
Nandi,HFA,HFA_perc_below3sd,2.6
Nandi,HFA,HFA_perc_below2sd,15.1
Baringo,HFA,HFA_perc_below3sd,4.7
Baringo,HFA,HFA_perc_below2sd,21.2
Laikipia,HFA,HFA_perc_below3sd,2.5
Laikipia,HFA,HFA_perc_below2sd,12.6
Nakuru,HFA,HFA_perc_below3sd,5.3
