Years,Category,n_per1000
1989,U5_mortality,90
1989,Infant_mortality,61
1989,Neonatal_mortality,28
1993,U5_mortality,96
1993,Infant_mortality,62
1993,Neonatal_mortality,26
1998,U5_mortality,111
1998,Infant_mortality,74
1998,Neonatal_mortality,28
2003,U5_mortality,115
2003,Infant_mortality,77
2003,Neonatal_mortality,33
1999,U5_mortality,74
1999,Infant_mortality,52
1999,Neonatal_mortality,31
2014,U5_mortality,52
2014,Infant_mortality,39
2014,Neonatal_mortality,22
2022,U5_mortality,41
2022,Infant_mortality,32
2022,Neonatal_mortality,21
