Residence,category,proportion
Urban,ANC from skilled provider,98.9
Urban,At least 4 ANC visits,74.1
Urban,Took iron supplements,91.1
Urban,Protected against neonatal tetanus,77.0
Urban,Delivered by skilled provider,97.3
Urban,Delivered in health facility,91.7
Urban,PNC 2 days after birth,79.0
Rural,ANC from skilled provider,97.3
Rural,At least 4 ANC visits,61.5
Rural,Took iron supplements,89.7
Rural,Protected against neonatal tetanus,73.9
Rural,Delivered by skilled provider,84.8
Rural,Delivered in health facility,77.0
Rural,PNC 2 days after birth,68.8
