Indicator,Proportion
Percentage of children age 0-23 months who were ever breastfed,98.1
Percentage of children age 0-23 months who were put to the breast within 1 hour of birth,60.1
Percentage of children age 0-23 months who were fed exclusively with breastmilk for the first 2 days after birth,82.9
Percentage of children age 0-5 months who were fed exclusively with breastmilk during the previous day,59.9
Percentage of children age 0-5 months who were fed both breastmilk and formula or animal milk during the previous day,13.6
Percentage of children age 12-23 months who were fed breastmilk during the previous day,65.2
"Percentage of children age 6-8 months who were fed solid, semi-solid or soft foods during the previous day",86.8
Percentage of children age 6-23 months who were fed foods and beverages from at least 5 out of 8 defined food groups during the previous day,36.9
"Percentage of children age 6-23 months who were fed solid, semi-solid, or soft foods (...) the minimum number of times or more during the previous day",70.9
Percentage of non-breastfed children age 6-23 months who were given at least two milk feeds during the previous day,51.0
Percentage of children age 6-23 months who were fed a minimum acceptable diet during the previous day,30.6
Percentage of children age 6-23 months who were fed egg and/or flesh food during the previous day,27.8
Percentage of children age 6-23 months who were given a sweet beverage during the previous day,49.1
Percentage of children age 6-23 months who were fed selected sentinel unhealthy foods during the previous day,26.4
Percentage of children age 6-23 months who were not fed any vegetables or fruits during the previous day,25.4
Percentage of children age 0-23 months who were fed from a bottle with a nipple during the previous day,33.6
