Value,Age_category,Category,Proportion,Background characteristics
6-8,6-59 months,Iron tablets/syrups last 12 months,14.8,Age
6-8,6-59 months,Micronutrient powders last 12 months,9.2,Age
6-8,6-59 months,Iron supplements last 6 months,16,Age
6-8,6-59 months,Vit. A last 6 months,69.2,Age
6-8,12-59 months,Deworming last 6 months,NA,Age
9-11,6-59 months,Iron tablets/syrups last 12 months,13.7,Age
9-11,6-59 months,Micronutrient powders last 12 months,11,Age
9-11,6-59 months,Iron supplements last 6 months,16.8,Age
9-11,6-59 months,Vit. A last 6 months,81.6,Age
9-11,12-59 months,Deworming last 6 months,NA,Age
12-17,6-59 months,Iron tablets/syrups last 12 months,22,Age
12-17,6-59 months,Micronutrient powders last 12 months,15.3,Age
12-17,6-59 months,Iron supplements last 6 months,25.5,Age
12-17,6-59 months,Vit. A last 6 months,79.6,Age
12-17,12-59 months,Deworming last 6 months,50.3,Age
18-23,6-59 months,Iron tablets/syrups last 12 months,23.8,Age
18-23,6-59 months,Micronutrient powders last 12 months,15.8,Age
18-23,6-59 months,Iron supplements last 6 months,27.6,Age
18-23,6-59 months,Vit. A last 6 months,79,Age
18-23,12-59 months,Deworming last 6 months,68.1,Age
24-35,6-59 months,Iron tablets/syrups last 12 months,22.2,Age
24-35,6-59 months,Micronutrient powders last 12 months,16.7,Age
24-35,6-59 months,Iron supplements last 6 months,25.9,Age
24-35,6-59 months,Vit. A last 6 months,67.7,Age
24-35,12-59 months,Deworming last 6 months,68.4,Age
36-47,6-59 months,Iron tablets/syrups last 12 months,20.7,Age
36-47,6-59 months,Micronutrient powders last 12 months,14.4,Age
36-47,6-59 months,Iron supplements last 6 months,23.9,Age
36-47,6-59 months,Vit. A last 6 months,55.8,Age
36-47,12-59 months,Deworming last 6 months,70.1,Age
48-59,6-59 months,Iron tablets/syrups last 12 months,17.2,Age
48-59,6-59 months,Micronutrient powders last 12 months,11.7,Age
48-59,6-59 months,Iron supplements last 6 months,19.2,Age
48-59,6-59 months,Vit. A last 6 months,45.6,Age
48-59,12-59 months,Deworming last 6 months,64.4,Age
Male,6-59 months,Iron tablets/syrups last 12 months,19.9,Sex
Male,6-59 months,Micronutrient powders last 12 months,13.9,Sex
Male,6-59 months,Iron supplements last 6 months,22.9,Sex
Male,6-59 months,Vit. A last 6 months,63.9,Sex
Male,12-59 months,Deworming last 6 months,65.4,Sex
Female,6-59 months,Iron tablets/syrups last 12 months,20,Sex
Female,6-59 months,Micronutrient powders last 12 months,14.2,Sex
Female,6-59 months,Iron supplements last 6 months,23.1,Sex
Female,6-59 months,Vit. A last 6 months,63.2,Sex
Female,12-59 months,Deworming last 6 months,65.5,Sex
Breastfeeding,6-59 months,Iron tablets/syrups last 12 months,18.3,Breastfeeding status
Breastfeeding,6-59 months,Micronutrient powders last 12 months,12.6,Breastfeeding status
Breastfeeding,6-59 months,Iron supplements last 6 months,20.9,Breastfeeding status
Breastfeeding,6-59 months,Vit. A last 6 months,77.3,Breastfeeding status
Breastfeeding,12-59 months,Deworming last 6 months,57.2,Breastfeeding status
