wealth.quintile,Vaccines,Percent
Lowest,BCG,94.9
Lowest,DTP1,95.4
Lowest,DTP2,90.9
Lowest,DTP3,85.1
Lowest,OPV,69.3
Lowest,OPV1,94.8
Lowest,OPV2,91.1
Lowest,OPV3,76.5
Lowest,IPV,82.6
Lowest,Pneumococcal1,95.0
Lowest,Pneumococcal2,92.2
Lowest,Pneumococcal3,86.8
Lowest,Rotavirus1,93.7
Lowest,Rotavirus2,87.7
Lowest,MR 1,79.6
Lowest,Fully.vaccinated ,71.1
Lowest,Fully.vaccinated.national schedule ,42.3
Lowest,No.vaccinations,3.5
Second,BCG,97.3
Second,DTP1,97.6
Second,DTP2,96.2
Second,DTP3,92.3
Second,OPV,90.1
Second,OPV1,97.5
Second,OPV2,96.2
Second,OPV3,81.3
Second,IPV,86.8
Second,Pneumococcal1,97.2
Second,Pneumococcal2,96.7
Second,Pneumococcal3,93.1
Second,Rotavirus1,96.9
Second,Rotavirus2,94.0
Second,MR 1,90.5
Second,Fully.vaccinated ,82.6
Second,Fully.vaccinated.national schedule ,59.6
Second,No.vaccinations,1.2
Middle,BCG,96.8
Middle,DTP1,96.9
Middle,DTP2,94.2
Middle,DTP3,88.8
Middle,OPV,87.9
Middle,OPV1,96.3
Middle,OPV2,93.4
Middle,OPV3,79.9
Middle,IPV,89.6
Middle,Pneumococcal1,95.7
Middle,Pneumococcal2,95.1
Middle,Pneumococcal3,90.1
Middle,Rotavirus1,95.3
Middle,Rotavirus2,91.3
Middle,MR 1,91.5
Middle,Fully.vaccinated ,82.5
Middle,Fully.vaccinated.national schedule ,58.4
Middle,No.vaccinations,2.6
Fourth,BCG,97.7
Fourth,DTP1,97.6
Fourth,DTP2,93.9
Fourth,DTP3,90.0
Fourth,OPV,92.4
Fourth,OPV1,96.9
Fourth,OPV2,94.9
Fourth,OPV3,77.0
Fourth,IPV,88.2
Fourth,Pneumococcal1,97.1
Fourth,Pneumococcal2,96.1
Fourth,Pneumococcal3,92.1
Fourth,Rotavirus1,97.5
Fourth,Rotavirus2,93.8
Fourth,MR 1,92.4
Fourth,Fully.vaccinated ,82.7
Fourth,Fully.vaccinated.national schedule ,59.3
Fourth,No.vaccinations,1.8
Highest,BCG,98.0
Highest,DTP1,98.2
Highest,DTP2,95.0
Highest,DTP3,90.4
Highest,OPV,93.4
Highest,OPV1,97.0
Highest,OPV2,95.8
Highest,OPV3,77.1
Highest,IPV,90.4
Highest,Pneumococcal1,97.5
Highest,Pneumococcal2,97.4
Highest,Pneumococcal3,94.3
Highest,Rotavirus1,96.7
Highest,Rotavirus2,95.0
Highest,MR 1,92.7
Highest,Fully.vaccinated ,83.1
Highest,Fully.vaccinated.national schedule ,59.1
Highest,No.vaccinations,1.4
