"","Value","Category","Proportion","Background.characteristics"
"1","Urban","Mass distribution campaign",50,"Residence"
"2","Urban","ANC visit",13,"Residence"
"3","Urban","Immunization visit",4,"Residence"
"4","Urban","Shop/market",27,"Residence"
"5","Rural","Mass distribution campaign",79,"Residence"
"6","Rural","ANC visit",9,"Residence"
"7","Rural","Immunization visit",2,"Residence"
"8","Rural","Shop/market",6,"Residence"
"9","Highland epidemic prone","Mass distribution campaign",92,"Endemicity zone"
"10","Highland epidemic prone","ANC visit",4,"Endemicity zone"
"11","Highland epidemic prone","Immunization visit",1,"Endemicity zone"
"12","Highland epidemic prone","Shop/market",2,"Endemicity zone"
"13","Lake endemic","Mass distribution campaign",89,"Endemicity zone"
"14","Lake endemic","ANC visit",6,"Endemicity zone"
"15","Lake endemic","Immunization visit",2,"Endemicity zone"
"16","Lake endemic","Shop/market",2,"Endemicity zone"
"17","Coast endemic","Mass distribution campaign",87,"Endemicity zone"
"18","Coast endemic","ANC visit",7,"Endemicity zone"
"19","Coast endemic","Immunization visit",1,"Endemicity zone"
"20","Coast endemic","Shop/market",4,"Endemicity zone"
"21","Seasonal","Mass distribution campaign",31,"Endemicity zone"
"22","Seasonal","ANC visit",26,"Endemicity zone"
"23","Seasonal","Immunization visit",6,"Endemicity zone"
"24","Seasonal","Shop/market",26,"Endemicity zone"
"25","Low risk","Mass distribution campaign",18,"Endemicity zone"
"26","Low risk","ANC visit",22,"Endemicity zone"
"27","Low risk","Immunization visit",8,"Endemicity zone"
"28","Low risk","Shop/market",40,"Endemicity zone"
"29","Lowest","Mass distribution campaign",82,"Wealth quintile"
"30","Lowest","ANC visit",10,"Wealth quintile"
"31","Lowest","Immunization visit",2,"Wealth quintile"
"32","Lowest","Shop/market",3,"Wealth quintile"
"33","Second","Mass distribution campaign",85,"Wealth quintile"
"34","Second","ANC visit",8,"Wealth quintile"
"35","Second","Immunization visit",2,"Wealth quintile"
"36","Second","Shop/market",3,"Wealth quintile"
"37","Middle","Mass distribution campaign",77,"Wealth quintile"
"38","Middle","ANC visit",9,"Wealth quintile"
"39","Middle","Immunization visit",2,"Wealth quintile"
"40","Middle","Shop/market",7,"Wealth quintile"
"41","Fourth","Mass distribution campaign",66,"Wealth quintile"
"42","Fourth","ANC visit",11,"Wealth quintile"
"43","Fourth","Immunization visit",4,"Wealth quintile"
"44","Fourth","Shop/market",13,"Wealth quintile"
"45","Highest","Mass distribution campaign",42,"Wealth quintile"
"46","Highest","ANC visit",14,"Wealth quintile"
"47","Highest","Immunization visit",3,"Wealth quintile"
"48","Highest","Shop/market",35,"Wealth quintile"
