County,Proportion,Names
Mombasa,68.2,"Mombasa, 68.2%"
Kwale,84.6,"Kwale, 84.6%"
Kilifi,79.5,"Kilifi, 79.5%"
Tana River,87.9,"Tana River, 87.9%"
Lamu,77.6,"Lamu, 77.6%"
Taita Taveta,74.7,"Taita Taveta, 74.7%"
Garissa,79.2,"Garissa, 79.2%"
Wajir,78.2,"Wajir, 78.2%"
Mandera,88.8,"Mandera, 88.8%"
Marsabit,38.3,"Marsabit, 38.3%"
Isiolo,86.3,"Isiolo, 86.3%"
Meru,74.1,"Meru, 74.1%"
Tharaka Nithi,73.2,"Tharaka Nithi, 73.2%"
Embu,85.3,"Embu, 85.3%"
Kitui,87.1,"Kitui, 87.1%"
Machakos,82.6,"Machakos, 82.6%"
Makueni,72.6,"Makueni, 72.6%"
Nyandarua,63.2,"Nyandarua, 63.2%"
Nyeri,66.1,"Nyeri, 66.1%"
Kirinyaga,76.1,"Kirinyaga, 76.1%"
Muranga,66.9,"Muranga, 66.9%"
Kiambu,67.7,"Kiambu, 67.7%"
Turkana,61.5,"Turkana, 61.5%"
West Pokot,62.4,"West Pokot, 62.4%"
Samburu,61.6,"Samburu, 61.6%"
Trans Nzoia,67.3,"Trans Nzoia, 67.3%"
Uasin Gishu,60.7,"Uasin Gishu, 60.7%"
Elgeyo Marakwet,61.9,"Elgeyo Marakwet, 61.9%"
Nandi,71.8,"Nandi, 71.8%"
Baringo,73.1,"Baringo, 73.1%"
Laikipia,66.8,"Laikipia, 66.8%"
Nakuru,65.5,"Nakuru, 65.5%"
Narok,53.8,"Narok, 53.8%"
Kajiado,73.6,"Kajiado, 73.6%"
Kericho,76.5,"Kericho, 76.5%"
Bomet,62.4,"Bomet, 62.4%"
Kakamega,70.2,"Kakamega, 70.2%"
Vihiga,76.4,"Vihiga, 76.4%"
Bungoma,58.9,"Bungoma, 58.9%"
Busia,78.4,"Busia, 78.4%"
Siaya,80.6,"Siaya, 80.6%"
Kisumu,85.6,"Kisumu, 85.6%"
Homa Bay,66,"Homa Bay, 66%"
Migori,78.2,"Migori, 78.2%"
Kisii,73,"Kisii, 73%"
Nyamira,73.9,"Nyamira, 73.9%"
Nairobi,79.6,"Nairobi, 79.6%"
