Value,Category,Proportion,Background characteristics
Urban,Use in all households,29,Residence
Urban,Use in households with 1/+ ITN,70.3,Residence
Rural,Use in all households,56.7,Residence
Rural,Use in households with 1/+ ITN,77,Residence
Highland epidemic prone,Use in all households,64.3,Endemicity zone
Highland epidemic prone,Use in households with 1/+ ITN,78.2,Endemicity zone
Lake endemic,Use in all households,75.3,Endemicity zone
Lake endemic,Use in households with 1/+ ITN,82.2,Endemicity zone
Coast endemic,Use in all households,61.1,Endemicity zone
Coast endemic,Use in households with 1/+ ITN,82.3,Endemicity zone
Seasonal,Use in all households,35.2,Endemicity zone
Seasonal,Use in households with 1/+ ITN,69.8,Endemicity zone
Low risk,Use in all households,20.2,Endemicity zone
Low risk,Use in households with 1/+ ITN,60.7,Endemicity zone
Lowest,Use in all households,50.9,Wealth quintile
Lowest,Use in households with 1/+ ITN,74.8,Wealth quintile
Second,Use in all households,59.3,Wealth quintile
Second,Use in households with 1/+ ITN,73.3,Wealth quintile
Middle,Use in all households,56.5,Wealth quintile
Middle,Use in households with 1/+ ITN,82,Wealth quintile
Fourth,Use in all households,41,Wealth quintile
Fourth,Use in households with 1/+ ITN,75.7,Wealth quintile
Highest,Use in all households,25.4,Wealth quintile
Highest,Use in households with 1/+ ITN,67.8,Wealth quintile
