"","County","Reason","Proportion","Names","proportion_groups"
"1","Mombasa","Too hot",18.1,"Mombasa, 18.1%",">10"
"2","Mombasa","User didn't sleep in household",10.1,"Mombasa, 10.1%",">10"
"3","Mombasa","No mosquitoes/malaria",6,"Mombasa, 6%",">2-10"
"4","Mombasa","Extra net/saving for later",53,"Mombasa, 53%",">10"
"5","Kwale","Too hot",8.6,"Kwale, 8.6%",">2-10"
"6","Kwale","User didn't sleep in household",15.8,"Kwale, 15.8%",">10"
"7","Kwale","No mosquitoes/malaria",1.8,"Kwale, 1.8%","1-2"
"8","Kwale","Extra net/saving for later",64.5,"Kwale, 64.5%",">10"
"9","Kilifi","Too hot",11.9,"Kilifi, 11.9%",">10"
"10","Kilifi","User didn't sleep in household",16.2,"Kilifi, 16.2%",">10"
"11","Kilifi","No mosquitoes/malaria",2.1,"Kilifi, 2.1%",">2-10"
"12","Kilifi","Extra net/saving for later",64.4,"Kilifi, 64.4%",">10"
"13","Tana River","Too hot",6.7,"Tana River, 6.7%",">2-10"
"14","Tana River","User didn't sleep in household",14.1,"Tana River, 14.1%",">10"
"15","Tana River","No mosquitoes/malaria",21.9,"Tana River, 21.9%",">10"
"16","Tana River","Extra net/saving for later",52.5,"Tana River, 52.5%",">10"
"17","Lamu","Too hot",13.3,"Lamu, 13.3%",">10"
"18","Lamu","User didn't sleep in household",14.8,"Lamu, 14.8%",">10"
"19","Lamu","No mosquitoes/malaria",3.6,"Lamu, 3.6%",">2-10"
"20","Lamu","Extra net/saving for later",57.2,"Lamu, 57.2%",">10"
"21","Taita Taveta","Too hot",6,"Taita Taveta, 6%",">2-10"
"22","Taita Taveta","User didn't sleep in household",28.1,"Taita Taveta, 28.1%",">10"
"23","Taita Taveta","No mosquitoes/malaria",12.4,"Taita Taveta, 12.4%",">10"
"24","Taita Taveta","Extra net/saving for later",47.1,"Taita Taveta, 47.1%",">10"
"25","Garissa","Too hot",27.4,"Garissa, 27.4%",">10"
"26","Garissa","User didn't sleep in household",12.1,"Garissa, 12.1%",">10"
"27","Garissa","No mosquitoes/malaria",33,"Garissa, 33%",">10"
"28","Garissa","Extra net/saving for later",13.9,"Garissa, 13.9%",">10"
"29","Wajir","Too hot",61,"Wajir, 61%",">10"
"30","Wajir","User didn't sleep in household",13.8,"Wajir, 13.8%",">10"
"31","Wajir","No mosquitoes/malaria",21.9,"Wajir, 21.9%",">10"
"32","Wajir","Extra net/saving for later",2.4,"Wajir, 2.4%",">2-10"
"33","Mandera","Too hot",NA,"Mandera, NA%",NA
"34","Mandera","User didn't sleep in household",NA,"Mandera, NA%",NA
