Value,Reason,Proportion,Background characteristics
Urban,Too hot,8.6,Residence
Urban,Don't like net,0.8,Residence
Urban,Don't like smell,1,Residence
Urban,Unable to hang net,5.5,Residence
Urban,Slept outdoors,0.9,Residence
Urban,User didn't sleep in household,12.9,Residence
Urban,No mosquitoes/malaria,15.4,Residence
Urban,Extra net/saving for later,48.9,Residence
Urban,Net too small,0.4,Residence
Urban,Net brought bedbugs,0.2,Residence
Urban,Other,5.4,Residence
Rural,Too hot,3,Residence
Rural,Don't like net,0.8,Residence
Rural,Don't like smell,1.1,Residence
Rural,Unable to hang net,4,Residence
Rural,Slept outdoors,1,Residence
Rural,User didn't sleep in household,11.9,Residence
Rural,No mosquitoes/malaria,8.7,Residence
Rural,Extra net/saving for later,62.7,Residence
Rural,Net too small,0.3,Residence
Rural,Net brought bedbugs,0.9,Residence
Rural,Other,5.7,Residence
Highland epidemic prone,Too hot,1.5,Endemicity zone
Highland epidemic prone,Don't like net,0.7,Endemicity zone
Highland epidemic prone,Don't like smell,1.7,Endemicity zone
Highland epidemic prone,Unable to hang net,4.1,Endemicity zone
Highland epidemic prone,Slept outdoors,1.1,Endemicity zone
Highland epidemic prone,User didn't sleep in household,10.8,Endemicity zone
Highland epidemic prone,No mosquitoes/malaria,7.5,Endemicity zone
Highland epidemic prone,Extra net/saving for later,67.9,Endemicity zone
Highland epidemic prone,Net too small,0.2,Endemicity zone
Highland epidemic prone,Net brought bedbugs,0.1,Endemicity zone
Highland epidemic prone,Other,4.4,Endemicity zone
Lake endemic,Too hot,1.5,Endemicity zone
Lake endemic,Don't like net,0.9,Endemicity zone
Lake endemic,Don't like smell,0.7,Endemicity zone
Lake endemic,Unable to hang net,4.5,Endemicity zone
Lake endemic,Slept outdoors,0.6,Endemicity zone
Lake endemic,User didn't sleep in household,9.8,Endemicity zone
Lake endemic,No mosquitoes/malaria,1.9,Endemicity zone
Lake endemic,Extra net/saving for later,72,Endemicity zone
Lake endemic,Net too small,0.3,Endemicity zone
Lake endemic,Net brought bedbugs,1.9,Endemicity zone
Lake endemic,Other,5.8,Endemicity zone
Coast endemic,Too hot,13,Endemicity zone
Coast endemic,Don't like net,0.2,Endemicity zone
Coast endemic,Don't like smell,0.2,Endemicity zone
Coast endemic,Unable to hang net,1.6,Endemicity zone
Coast endemic,Slept outdoors,0.4,Endemicity zone
Coast endemic,User didn't sleep in household,15.6,Endemicity zone
Coast endemic,No mosquitoes/malaria,5.1,Endemicity zone
Coast endemic,Extra net/saving for later,57.4,Endemicity zone
Coast endemic,Net too small,0.7,Endemicity zone
Coast endemic,Net brought bedbugs,1.2,Endemicity zone
Coast endemic,Other,4.7,Endemicity zone
Seasonal,Too hot,14.9,Endemicity zone
Seasonal,Don't like net,1,Endemicity zone
Seasonal,Don't like smell,1.2,Endemicity zone
Seasonal,Unable to hang net,6.2,Endemicity zone
Seasonal,Slept outdoors,2.8,Endemicity zone
Seasonal,User didn't sleep in household,12.4,Endemicity zone
Seasonal,No mosquitoes/malaria,23.4,Endemicity zone
Seasonal,Extra net/saving for later,29.7,Endemicity zone
Seasonal,Net too small,0.1,Endemicity zone
Seasonal,Net brought bedbugs,0.3,Endemicity zone
Seasonal,Other,8.1,Endemicity zone
Low risk,Too hot,7.5,Endemicity zone
Low risk,Don't like net,1,Endemicity zone
Low risk,Don't like smell,0.8,Endemicity zone
Low risk,Unable to hang net,5.2,Endemicity zone
Low risk,Slept outdoors,1,Endemicity zone
Low risk,User didn't sleep in household,17.4,Endemicity zone
Low risk,No mosquitoes/malaria,29.4,Endemicity zone
Low risk,Extra net/saving for later,29.4,Endemicity zone
Low risk,Net too small,0.4,Endemicity zone
Low risk,Net brought bedbugs,0.1,Endemicity zone
Low risk,Other,7.8,Endemicity zone
Lowest,Too hot,5.4,Wealth quintile
Lowest,Don't like net,0.9,Wealth quintile
Lowest,Don't like smell,1.4,Wealth quintile
Lowest,Unable to hang net,6.4,Wealth quintile
Lowest,Slept outdoors,1.1,Wealth quintile
Lowest,User didn't sleep in household,6.1,Wealth quintile
Lowest,No mosquitoes/malaria,10.6,Wealth quintile
Lowest,Extra net/saving for later,59.5,Wealth quintile
Lowest,Net too small,0.3,Wealth quintile
Lowest,Net brought bedbugs,1.2,Wealth quintile
Lowest,Other,7.2,Wealth quintile
Second,Too hot,2.4,Wealth quintile
Second,Don't like net,0.5,Wealth quintile
Second,Don't like smell,1.7,Wealth quintile
Second,Unable to hang net,4.4,Wealth quintile
Second,Slept outdoors,0.7,Wealth quintile
Second,User didn't sleep in household,8.5,Wealth quintile
Second,No mosquitoes/malaria,6.1,Wealth quintile
Second,Extra net/saving for later,68,Wealth quintile
Second,Net too small,0.4,Wealth quintile
Second,Net brought bedbugs,1.4,Wealth quintile
Second,Other,5.9,Wealth quintile
Middle,Too hot,3.6,Wealth quintile
Middle,Don't like net,0.9,Wealth quintile
Middle,Don't like smell,0.7,Wealth quintile
Middle,Unable to hang net,3.3,Wealth quintile
Middle,Slept outdoors,1.3,Wealth quintile
Middle,User didn't sleep in household,13.7,Wealth quintile
Middle,No mosquitoes/malaria,7.9,Wealth quintile
Middle,Extra net/saving for later,62,Wealth quintile
Middle,Net too small,0.1,Wealth quintile
Middle,Net brought bedbugs,0.7,Wealth quintile
Middle,Other,5.8,Wealth quintile
Fourth,Too hot,3.8,Wealth quintile
Fourth,Don't like net,1,Wealth quintile
Fourth,Don't like smell,0.8,Wealth quintile
Fourth,Unable to hang net,3.2,Wealth quintile
Fourth,Slept outdoors,0.6,Wealth quintile
Fourth,User didn't sleep in household,16.5,Wealth quintile
Fourth,No mosquitoes/malaria,10.8,Wealth quintile
Fourth,Extra net/saving for later,57.4,Wealth quintile
Fourth,Net too small,0.3,Wealth quintile
Fourth,Net brought bedbugs,0.2,Wealth quintile
Fourth,Other,5.5,Wealth quintile
Highest,Too hot,7.5,Wealth quintile
Highest,Don't like net,0.7,Wealth quintile
Highest,Don't like smell,0.9,Wealth quintile
Highest,Unable to hang net,4.9,Wealth quintile
Highest,Slept outdoors,1.3,Wealth quintile
Highest,User didn't sleep in household,15.9,Wealth quintile
Highest,No mosquitoes/malaria,18.3,Wealth quintile
Highest,Extra net/saving for later,46.4,Wealth quintile
Highest,Net too small,0.5,Wealth quintile
Highest,Net brought bedbugs,0,Wealth quintile
Highest,Other,3.7,Wealth quintile
