characteristics,sought_treatment,condition,indicator
<6,75.1,ARI,Age
6–11,84,ARI,Age
12–23,87,ARI,Age
24–35,88.2,ARI,Age
36–47,81.8,ARI,Age
48–59,72.5,ARI,Age
<6,53.4,Fever,Age
6–11,73.5,Fever,Age
12–23,69.9,Fever,Age
24–35,67.5,Fever,Age
36–47,71.6,Fever,Age
48–59,72.6,Fever,Age
<6,36.8,Diarrhea,Age
6–11,53.9,Diarrhea,Age
12–23,61.4,Diarrhea,Age
24–35,59.7,Diarrhea,Age
36–47,60,Diarrhea,Age
48–59,57.6,Diarrhea,Age
Male,84.7,ARI,Sex
Female,79.4,ARI,Sex
Male,70.2,Fever,Sex
Female,68.7,Fever,Sex
Male,56.2,Diarrhea,Sex
Female,57.5,Diarrhea,Sex
Urban,89.5,ARI,Residence
Rural,78.1,ARI,Residence
Urban,68.9,Fever,Residence
Rural,69.8,Fever,Residence
Urban,57.9,Diarrhea,Residence
Rural,56.1,Diarrhea,Residence
No education,69.3,ARI,Mother's Education
Primary,80.7,ARI,Mother's Education
Secondary,83.1,ARI,Mother's Education
More than secondary,95.2,ARI,Mother's Education
No education,56.8,Fever,Mother's Education
Primary,67.5,Fever,Mother's Education
Secondary,73.2,Fever,Mother's Education
More than secondary,71.9,Fever,Mother's Education
No education,59.2,Diarrhea,Mother's Education
Primary,54.8,Diarrhea,Mother's Education
Secondary,54.3,Diarrhea,Mother's Education
More than secondary,67.2,Diarrhea,Mother's Education
Lowest,78.5,ARI,Wealth quintile
Second,73,ARI,Wealth quintile
Middle,82.6,ARI,Wealth quintile
Fourth,88.6,ARI,Wealth quintile
Highest,96.3,ARI,Wealth quintile
Lowest,64.2,Fever,Wealth quintile
Second,69.5,Fever,Wealth quintile
Middle,74.2,Fever,Wealth quintile
Fourth,70.2,Fever,Wealth quintile
Highest,70.4,Fever,Wealth quintile
Lowest,59.7,Diarrhea,Wealth quintile
Second,53.1,Diarrhea,Wealth quintile
Middle,53.6,Diarrhea,Wealth quintile
Fourth,55.1,Diarrhea,Wealth quintile
Highest,61.1,Diarrhea,Wealth quintile
