County,Activity time,Participants,Names
Mombasa,9.5,Women,"Mombasa, 9.5"
Kwale,209.6,Women,"Kwale, 209.6"
Kilifi,359,Women,"Kilifi, 359"
Tana River,NA,Women,"Tana River, NA"
Lamu,179.2,Women,"Lamu, 179.2"
Taita Taveta,59.5,Women,"Taita Taveta, 59.5"
Garissa,NA,Women,"Garissa, NA"
Wajir,NA,Women,"Wajir, NA"
Mandera,479.3,Women,"Mandera, 479.3"
Marsabit,59.6,Women,"Marsabit, 59.6"
Isiolo,6,Women,"Isiolo, 6"
Meru,520,Women,"Meru, 520"
Tharaka Nithi,179.9,Women,"Tharaka Nithi, 179.9"
Embu,139.3,Women,"Embu, 139.3"
Kitui,19.6,Women,"Kitui, 19.6"
Machakos,139.6,Women,"Machakos, 139.6"
Makueni,NA,Women,"Makueni, NA"
Nyandarua,179.3,Women,"Nyandarua, 179.3"
Nyeri,59.3,Women,"Nyeri, 59.3"
Kirinyaga,59.1,Women,"Kirinyaga, 59.1"
Muranga,899.4,Women,"Muranga, 899.4"
Kiambu,719.7,Women,"Kiambu, 719.7"
Turkana,299.1,Women,"Turkana, 299.1"
West Pokot,119.5,Women,"West Pokot, 119.5"
Samburu,300,Women,"Samburu, 300"
Trans Nzoia,719.6,Women,"Trans Nzoia, 719.6"
Uasin Gishu,59.7,Women,"Uasin Gishu, 59.7"
Elgeyo Marakwet,199.1,Women,"Elgeyo Marakwet, 199.1"
Nandi,749.3,Women,"Nandi, 749.3"
Baringo,29.4,Women,"Baringo, 29.4"
Laikipia,179.2,Women,"Laikipia, 179.2"
Nakuru,NA,Women,"Nakuru, NA"
Narok,119.2,Women,"Narok, 119.2"
Kajiado,149.9,Women,"Kajiado, 149.9"
Kericho,119,Women,"Kericho, 119"
Bomet,719.5,Women,"Bomet, 719.5"
Kakamega,479.7,Women,"Kakamega, 479.7"
Vihiga,99.1,Women,"Vihiga, 99.1"
Bungoma,239.4,Women,"Bungoma, 239.4"
Busia,44.5,Women,"Busia, 44.5"
Siaya,119.8,Women,"Siaya, 119.8"
Kisumu,24.1,Women,"Kisumu, 24.1"
Homa Bay,720,Women,"Homa Bay, 720"
Migori,299.5,Women,"Migori, 299.5"
Kisii,359.6,Women,"Kisii, 359.6"
Nyamira,239.6,Women,"Nyamira, 239.6"
Nairobi,69.4,Women,"Nairobi, 69.4"
Mombasa,419.5,Men,"Mombasa, 419.5"
Kwale,240,Men,"Kwale, 240"
Kilifi,629,Men,"Kilifi, 629"
Tana River,NA,Men,"Tana River, NA"
Lamu,59.5,Men,"Lamu, 59.5"
Taita Taveta,NA,Men,"Taita Taveta, NA"
Garissa,239.3,Men,"Garissa, 239.3"
Wajir,99.9,Men,"Wajir, 99.9"
Mandera,599.7,Men,"Mandera, 599.7"
Marsabit,239.7,Men,"Marsabit, 239.7"
Isiolo,179.7,Men,"Isiolo, 179.7"
Meru,719.4,Men,"Meru, 719.4"
Tharaka Nithi,NA,Men,"Tharaka Nithi, NA"
Embu,959.8,Men,"Embu, 959.8"
Kitui,719.4,Men,"Kitui, 719.4"
Machakos,420,Men,"Machakos, 420"
Makueni,NA,Men,"Makueni, NA"
Nyandarua,NA,Men,"Nyandarua, NA"
Nyeri,299.1,Men,"Nyeri, 299.1"
Kirinyaga,NA,Men,"Kirinyaga, NA"
Muranga,NA,Men,"Muranga, NA"
Kiambu,839,Men,"Kiambu, 839"
Turkana,NA,Men,"Turkana, NA"
West Pokot,899.8,Men,"West Pokot, 899.8"
Samburu,720,Men,"Samburu, 720"
Trans Nzoia,59.6,Men,"Trans Nzoia, 59.6"
Uasin Gishu,839.8,Men,"Uasin Gishu, 839.8"
Elgeyo Marakwet,719.9,Men,"Elgeyo Marakwet, 719.9"
Nandi,6.3,Men,"Nandi, 6.3"
Baringo,719.9,Men,"Baringo, 719.9"
Laikipia,NA,Men,"Laikipia, NA"
Nakuru,NA,Men,"Nakuru, NA"
Narok,600,Men,"Narok, 600"
Kajiado,180,Men,"Kajiado, 180"
Kericho,89.5,Men,"Kericho, 89.5"
Bomet,NA,Men,"Bomet, NA"
Kakamega,359.9,Men,"Kakamega, 359.9"
Vihiga,419.1,Men,"Vihiga, 419.1"
Bungoma,539.6,Men,"Bungoma, 539.6"
Busia,239.9,Men,"Busia, 239.9"
Siaya,239.2,Men,"Siaya, 239.2"
Kisumu,719.1,Men,"Kisumu, 719.1"
Homa Bay,NA,Men,"Homa Bay, NA"
Migori,NA,Men,"Migori, NA"
Kisii,239.3,Men,"Kisii, 239.3"
Nyamira,59,Men,"Nyamira, 59"
Nairobi,119.7,Men,"Nairobi, 119.7"
