Wealth quintile,perc_below3sd,perc_below2sd,zscore,no,indicator
Lowest,7.6,27.6,−1.3,"4,039",HFA
Second,5.2,21.5,−1.1,"3,343",HFA
Middle,3.7,16.2,−0.9,"3,143",HFA
Fourth,2.0,11.6,−0.7,"3,315",HFA
Highest,1.7,8.7,−0.4,"3,292",HFA
Lowest,1.3,9.5,−0.5,"4,064",WFH
Second,0.2,3.0,−0.1,"3,377",WFH
Middle,0.5,4.2,−0.1,"3,159",WFH
Fourth,0.4,3.8,−0.1,"3,326",WFH
Highest,0.6,2.7,0.1,"3,311",WFH
Lowest,4.4,19.3,−1.1,"4,052",WFA
Second,1.1,10.0,−0.7,"3,353",WFA
Middle,1.2,8.9,−0.6,"3,149",WFA
Fourth,0.8,6.3,−0.4,"3,325",WFA
Highest,0.6,4.2,−0.2,"3,301",WFA
