County,Gender,variable,value
Mombasa,Female,Alone,2.8
Kwale,Female,Alone,0.2
Kilifi,Female,Alone,0.8
Tana River,Female,Alone,0.8
Lamu,Female,Alone,0.7
Taita Taveta,Female,Alone,1.9
Garissa,Female,Alone,1.5
Wajir,Female,Alone,2.9
Mandera,Female,Alone,0
Marsabit,Female,Alone,0.4
Isiolo,Female,Alone,1.3
Meru,Female,Alone,2
Tharaka Nithi,Female,Alone,1.1
Embu,Female,Alone,0.1
Kitui,Female,Alone,0.3
Machakos,Female,Alone,1.6
Makueni,Female,Alone,1
Nyandarua,Female,Alone,1
Nyeri,Female,Alone,1.3
Kirinyaga,Female,Alone,1.2
Murang'a,Female,Alone,1.1
Kiambu,Female,Alone,2.6
Turkana,Female,Alone,2.7
West Pokot,Female,Alone,0.6
Samburu,Female,Alone,2.1
Trans Nzoia,Female,Alone,0.5
Uasin Gishu,Female,Alone,3.5
Elgeyo-Marakwet,Female,Alone,0.7
Nandi,Female,Alone,2.8
Baringo,Female,Alone,0.6
Laikipia,Female,Alone,2.7
Nakuru,Female,Alone,1.2
Narok,Female,Alone,4.3
Kajiado,Female,Alone,1.8
Kericho,Female,Alone,0.3
Bomet,Female,Alone,1.9
Kakamega,Female,Alone,0.6
Vihiga,Female,Alone,0.3
Bungoma,Female,Alone,1.1
Busia,Female,Alone,0.6
Siaya,Female,Alone,0
Kisumu,Female,Alone,0.6
Homa Bay,Female,Alone,0.1
Migori,Female,Alone,0.8
Kisii,Female,Alone,0.1
Nyamira,Female,Alone,0.1
Nairobi,Female,Alone,1.4
Mombasa,Male,Alone,1
Kwale,Male,Alone,3.6
Kilifi,Male,Alone,2.9
Tana River,Male,Alone,2.3
Lamu,Male,Alone,3.9
Taita Taveta,Male,Alone,3.2
Garissa,Male,Alone,0.2
Wajir,Male,Alone,0
Mandera,Male,Alone,3.4
Marsabit,Male,Alone,6.1
Isiolo,Male,Alone,18
Meru,Male,Alone,7.6
Tharaka-Nithi,Male,Alone,9.7
Embu,Male,Alone,2
Kitui,Male,Alone,4.7
Machakos,Male,Alone,13.3
Makueni,Male,Alone,0.4
Nyandarua,Male,Alone,7.7
Nyeri,Male,Alone,6.4
Kirinyaga,Male,Alone,0.2
Murang'a,Male,Alone,6.5
Kiambu,Male,Alone,8.4
Turkana,Male,Alone,2.1
West Pokot,Male,Alone,9.4
Samburu,Male,Alone,1.4
Trans Nzoia,Male,Alone,8.4
Uasin Gishu,Male,Alone,9.1
Elgeyo-Marakwet,Male,Alone,1.8
Nandi,Male,Alone,16.2
Baringo,Male,Alone,6.3
Laikipia,Male,Alone,8.5
