Background characteristics,Category,Gender,variable,value
Age,15-24,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",39.6
Age,15-19,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",37.5
Age,20-24,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",41.7
Age,25-29,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",41.9
Age,30-39,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",42.8
Age,40-49,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",41.8
Marital status,Never married,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",39.9
Marital status,Ever had sex,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",42.3
Marital status,Never had sex,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",37.2
Marital status,Married/Living together,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",41.6
Marital status,Divorced/Separated/Widowed,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",43.4
Residence,Urban,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",44
Residence,Rural,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",39.4
Education,No education,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",26.4
Education,Primary,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",39.5
Education,Secondary,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",42.7
Education,More than secondary,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",46
Wealth quintile,Lowest,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",34.5
Wealth quintile,Second,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",39.9
Wealth quintile,Middle,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",40.3
Wealth quintile,Fourth,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",42.8
Wealth quintile,Highest,Female,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",45.6
Age,15-24,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",71.3
Age,15-19,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",66.4
Age,20-24,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",77.8
Age,25-29,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",81.9
Age,30-39,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",79.7
Age,40-49,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",81.4
Marital status,Never married,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",73.2
Marital status,Ever had sex,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",78.2
Marital status,Never had sex,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",63.8
Marital status,Married/Living together,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",81.2
Marital status,Divorced/Separated/Widowed,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",74.3
Residence,Urban,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",84.5
Residence,Rural,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",72
Education,No education,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",65.6
Education,Primary,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",71.3
Education,Secondary,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",78
Education,More than secondary,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",86.4
Wealth quintile,Lowest,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",67.8
Wealth quintile,Second,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",71.1
Wealth quintile,Middle,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",72.9
Wealth quintile,Fourth,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",82.7
Wealth quintile,Highest,Male,"Refusing to have sexual intercourse with
her husband if she knows he has sex with
other women",85.9
Age,15-24,Female,"Asking that they use a condom if she
knows that her husband has an STI",40.9
Age,15-19,Female,"Asking that they use a condom if she
knows that her husband has an STI",38.2
Age,20-24,Female,"Asking that they use a condom if she
knows that her husband has an STI",43.6
Age,25-29,Female,"Asking that they use a condom if she
knows that her husband has an STI",44
Age,30-39,Female,"Asking that they use a condom if she
knows that her husband has an STI",44.8
Age,40-49,Female,"Asking that they use a condom if she
knows that her husband has an STI",45
Marital status,Never married,Female,"Asking that they use a condom if she
knows that her husband has an STI",41.2
Marital status,Ever had sex,Female,"Asking that they use a condom if she
knows that her husband has an STI",45.2
Marital status,Never had sex,Female,"Asking that they use a condom if she
knows that her husband has an STI",36.8
Marital status,Married/Living together,Female,"Asking that they use a condom if she
knows that her husband has an STI",43.8
Marital status,Divorced/Separated/Widowed,Female,"Asking that they use a condom if she
knows that her husband has an STI",46.2
Residence,Urban,Female,"Asking that they use a condom if she
knows that her husband has an STI",45.9
Residence,Rural,Female,"Asking that they use a condom if she
knows that her husband has an STI",41.4
Education,No education,Female,"Asking that they use a condom if she
knows that her husband has an STI",23.6
Education,Primary,Female,"Asking that they use a condom if she
knows that her husband has an STI",42
Education,Secondary,Female,"Asking that they use a condom if she
knows that her husband has an STI",44.6
Education,More than secondary,Female,"Asking that they use a condom if she
knows that her husband has an STI",48.4
Wealth quintile,Lowest,Female,"Asking that they use a condom if she
knows that her husband has an STI",35.1
Wealth quintile,Second,Female,"Asking that they use a condom if she
knows that her husband has an STI",42.4
Wealth quintile,Middle,Female,"Asking that they use a condom if she
knows that her husband has an STI",42
Wealth quintile,Fourth,Female,"Asking that they use a condom if she
knows that her husband has an STI",45.1
Wealth quintile,Highest,Female,"Asking that they use a condom if she
knows that her husband has an STI",48.1
Age,15-24,Male,"Asking that they use a condom if she
knows that her husband has an STI",83.8
Age,15-19,Male,"Asking that they use a condom if she
knows that her husband has an STI",78.6
Age,20-24,Male,"Asking that they use a condom if she
knows that her husband has an STI",90.7
Age,25-29,Male,"Asking that they use a condom if she
knows that her husband has an STI",93.6
Age,30-39,Male,"Asking that they use a condom if she
knows that her husband has an STI",92.8
Age,40-49,Male,"Asking that they use a condom if she
knows that her husband has an STI",91.2
Marital status,Never married,Male,"Asking that they use a condom if she
knows that her husband has an STI",85.5
Marital status,Ever had sex,Male,"Asking that they use a condom if she
knows that her husband has an STI",91.2
Marital status,Never had sex,Male,"Asking that they use a condom if she
knows that her husband has an STI",74.5
Marital status,Married/Living together,Male,"Asking that they use a condom if she
knows that her husband has an STI",92.4
Marital status,Divorced/Separated/Widowed,Male,"Asking that they use a condom if she
knows that her husband has an STI",91
Residence,Urban,Male,"Asking that they use a condom if she
knows that her husband has an STI",92.3
Residence,Rural,Male,"Asking that they use a condom if she
knows that her husband has an STI",86.8
Education,No education,Male,"Asking that they use a condom if she
knows that her husband has an STI",74.2
Education,Primary,Male,"Asking that they use a condom if she
knows that her husband has an STI",85.5
Education,Secondary,Male,"Asking that they use a condom if she
knows that her husband has an STI",89.3
Education,More than secondary,Male,"Asking that they use a condom if she
knows that her husband has an STI",96.5
Wealth quintile,Lowest,Male,"Asking that they use a condom if she
knows that her husband has an STI",82.2
Wealth quintile,Second,Male,"Asking that they use a condom if she
knows that her husband has an STI",87.8
Wealth quintile,Middle,Male,"Asking that they use a condom if she
knows that her husband has an STI",87.9
Wealth quintile,Fourth,Male,"Asking that they use a condom if she
knows that her husband has an STI",91.3
Wealth quintile,Highest,Male,"Asking that they use a condom if she
knows that her husband has an STI",93.2
