County,Gender,variable,value
Mombasa,Female,Own any mobile phone,83.2
Kwale,Female,Own any mobile phone,63.8
Kilifi,Female,Own any mobile phone,64.5
Tana River,Female,Own any mobile phone,59.5
Lamu,Female,Own any mobile phone,67.2
Taita Taveta,Female,Own any mobile phone,87
Garissa,Female,Own any mobile phone,75.4
Wajir,Female,Own any mobile phone,70.3
Mandera,Female,Own any mobile phone,76.9
Marsabit,Female,Own any mobile phone,73.3
Isiolo,Female,Own any mobile phone,79.4
Meru,Female,Own any mobile phone,74.1
Tharaka Nithi,Female,Own any mobile phone,85.5
Embu,Female,Own any mobile phone,86.8
Kitui,Female,Own any mobile phone,73.9
Machakos,Female,Own any mobile phone,85.5
Makueni,Female,Own any mobile phone,73.2
Nyandarua,Female,Own any mobile phone,82.3
Nyeri,Female,Own any mobile phone,89.8
Kirinyaga,Female,Own any mobile phone,85.3
Muranga,Female,Own any mobile phone,82
Kiambu,Female,Own any mobile phone,91
Turkana,Female,Own any mobile phone,49.9
West Pokot,Female,Own any mobile phone,52.8
Samburu,Female,Own any mobile phone,66.5
Trans Nzoia,Female,Own any mobile phone,73.3
Uasin Gishu,Female,Own any mobile phone,85.9
Elgeyo Marakwet,Female,Own any mobile phone,72.7
Nandi,Female,Own any mobile phone,73.9
Baringo,Female,Own any mobile phone,67.5
Laikipia,Female,Own any mobile phone,77.8
Nakuru,Female,Own any mobile phone,80.3
Narok,Female,Own any mobile phone,67.1
Kajiado,Female,Own any mobile phone,88
Kericho,Female,Own any mobile phone,76.4
Bomet,Female,Own any mobile phone,65.1
Kakamega,Female,Own any mobile phone,69
Vihiga,Female,Own any mobile phone,65.3
Bungoma,Female,Own any mobile phone,63.7
Busia,Female,Own any mobile phone,65
Siaya,Female,Own any mobile phone,70.7
Kisumu,Female,Own any mobile phone,71.7
Homa Bay,Female,Own any mobile phone,72
Migori,Female,Own any mobile phone,59.7
Kisii,Female,Own any mobile phone,73.6
Nyamira,Female,Own any mobile phone,73.5
Nairobi,Female,Own any mobile phone,92
Mombasa,Male,Own any mobile phone,88.9
Kwale,Male,Own any mobile phone,76.2
Kilifi,Male,Own any mobile phone,76.8
Tana River,Male,Own any mobile phone,76.3
Lamu,Male,Own any mobile phone,84.8
Taita Taveta,Male,Own any mobile phone,81.7
Garissa,Male,Own any mobile phone,88.4
Wajir,Male,Own any mobile phone,78.2
Mandera,Male,Own any mobile phone,78.8
Marsabit,Male,Own any mobile phone,81.4
Isiolo,Male,Own any mobile phone,89.8
Meru,Male,Own any mobile phone,80.7
Tharaka Nithi,Male,Own any mobile phone,79.5
Embu,Male,Own any mobile phone,83.9
Kitui,Male,Own any mobile phone,77.7
Machakos,Male,Own any mobile phone,77.1
Makueni,Male,Own any mobile phone,78.9
Nyandarua,Male,Own any mobile phone,79.7
Nyeri,Male,Own any mobile phone,90.5
Kirinyaga,Male,Own any mobile phone,87.6
Muranga,Male,Own any mobile phone,81.6
Kiambu,Male,Own any mobile phone,86.7
Turkana,Male,Own any mobile phone,66.2
West Pokot,Male,Own any mobile phone,77.5
Samburu,Male,Own any mobile phone,83.5
Trans Nzoia,Male,Own any mobile phone,72.9
Uasin Gishu,Male,Own any mobile phone,85.3
Elgeyo Marakwet,Male,Own any mobile phone,76.4
Nandi,Male,Own any mobile phone,80.2
Baringo,Male,Own any mobile phone,73.2
Laikipia,Male,Own any mobile phone,85.1
Nakuru,Male,Own any mobile phone,75.1
Narok,Male,Own any mobile phone,84.9
Kajiado,Male,Own any mobile phone,86.2
Kericho,Male,Own any mobile phone,81.3
Bomet,Male,Own any mobile phone,74.9
Kakamega,Male,Own any mobile phone,64.9
Vihiga,Male,Own any mobile phone,65.7
Bungoma,Male,Own any mobile phone,66.2
Busia,Male,Own any mobile phone,66.2
Siaya,Male,Own any mobile phone,65.2
Kisumu,Male,Own any mobile phone,77.9
Homa Bay,Male,Own any mobile phone,76.8
Migori,Male,Own any mobile phone,72.1
Kisii,Male,Own any mobile phone,75.8
Nyamira,Male,Own any mobile phone,69.2
Nairobi,Male,Own any mobile phone,94.6
Mombasa,Female,Own a smartphone,52.9
Kwale,Female,Own a smartphone,29.4
Kilifi,Female,Own a smartphone,24.1
Tana River,Female,Own a smartphone,14.5
Lamu,Female,Own a smartphone,31.8
Taita Taveta,Female,Own a smartphone,46.3
Garissa,Female,Own a smartphone,34.7
Wajir,Female,Own a smartphone,28.2
Mandera,Female,Own a smartphone,15.2
Marsabit,Female,Own a smartphone,13.1
Isiolo,Female,Own a smartphone,40.2
Meru,Female,Own a smartphone,32.5
Tharaka Nithi,Female,Own a smartphone,40.8
Embu,Female,Own a smartphone,45.5
Kitui,Female,Own a smartphone,25.9
Machakos,Female,Own a smartphone,50.7
Makueni,Female,Own a smartphone,38.9
Nyandarua,Female,Own a smartphone,38.8
Nyeri,Female,Own a smartphone,61.9
Kirinyaga,Female,Own a smartphone,50
Muranga,Female,Own a smartphone,46.4
Kiambu,Female,Own a smartphone,67.2
Turkana,Female,Own a smartphone,13
West Pokot,Female,Own a smartphone,15.5
Samburu,Female,Own a smartphone,20.4
Trans Nzoia,Female,Own a smartphone,37.3
Uasin Gishu,Female,Own a smartphone,56.5
Elgeyo Marakwet,Female,Own a smartphone,29.5
Nandi,Female,Own a smartphone,39.3
Baringo,Female,Own a smartphone,26.5
Laikipia,Female,Own a smartphone,45.2
Nakuru,Female,Own a smartphone,46.6
Narok,Female,Own a smartphone,26.5
Kajiado,Female,Own a smartphone,59.1
Kericho,Female,Own a smartphone,33.3
Bomet,Female,Own a smartphone,19.8
Kakamega,Female,Own a smartphone,32.4
Vihiga,Female,Own a smartphone,26.2
Bungoma,Female,Own a smartphone,29.1
Busia,Female,Own a smartphone,24.7
Siaya,Female,Own a smartphone,28.4
Kisumu,Female,Own a smartphone,32.1
Homa Bay,Female,Own a smartphone,26.9
Migori,Female,Own a smartphone,21.9
Kisii,Female,Own a smartphone,31.2
Nyamira,Female,Own a smartphone,25.1
Nairobi,Female,Own a smartphone,71.7
Mombasa,Male,Own a smartphone,62.5
Kwale,Male,Own a smartphone,38.4
Kilifi,Male,Own a smartphone,42.4
Tana River,Male,Own a smartphone,19.7
Lamu,Male,Own a smartphone,41.2
Taita Taveta,Male,Own a smartphone,48.6
Garissa,Male,Own a smartphone,52
Wajir,Male,Own a smartphone,50.6
Mandera,Male,Own a smartphone,38.3
Marsabit,Male,Own a smartphone,36
Isiolo,Male,Own a smartphone,58.6
Meru,Male,Own a smartphone,40.1
Tharaka Nithi,Male,Own a smartphone,36.7
Embu,Male,Own a smartphone,42.8
Kitui,Male,Own a smartphone,29.5
Machakos,Male,Own a smartphone,45.1
Makueni,Male,Own a smartphone,35.8
Nyandarua,Male,Own a smartphone,50.9
Nyeri,Male,Own a smartphone,56.1
Kirinyaga,Male,Own a smartphone,60.1
Muranga,Male,Own a smartphone,44.1
Kiambu,Male,Own a smartphone,60.2
Turkana,Male,Own a smartphone,19.5
West Pokot,Male,Own a smartphone,26.1
Samburu,Male,Own a smartphone,44.4
Trans Nzoia,Male,Own a smartphone,46.3
Uasin Gishu,Male,Own a smartphone,61.9
Elgeyo Marakwet,Male,Own a smartphone,38.4
Nandi,Male,Own a smartphone,42.9
Baringo,Male,Own a smartphone,36.2
Laikipia,Male,Own a smartphone,57.7
Nakuru,Male,Own a smartphone,50.8
Narok,Male,Own a smartphone,44.4
Kajiado,Male,Own a smartphone,63
Kericho,Male,Own a smartphone,37.8
Bomet,Male,Own a smartphone,34.6
Kakamega,Male,Own a smartphone,34
Vihiga,Male,Own a smartphone,34.3
Bungoma,Male,Own a smartphone,34.6
Busia,Male,Own a smartphone,33.9
Siaya,Male,Own a smartphone,34.6
Kisumu,Male,Own a smartphone,33.3
Homa Bay,Male,Own a smartphone,37.3
Migori,Male,Own a smartphone,36.9
Kisii,Male,Own a smartphone,41.5
Nyamira,Male,Own a smartphone,31
Nairobi,Male,Own a smartphone,81.5
Mombasa,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",79.8
Kwale,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",66.9
Kilifi,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",72.8
Tana River,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",52.2
Lamu,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",69.3
Taita Taveta,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",82
Garissa,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",69.4
Wajir,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",57.6
Mandera,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",43.8
Marsabit,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",42.7
Isiolo,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",74.9
Meru,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",76.8
Tharaka Nithi,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",79
Embu,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",85.5
Kitui,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",73.7
Machakos,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",87
Makueni,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",74.8
Nyandarua,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",77.5
Nyeri,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",85.9
Kirinyaga,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",85.4
Muranga,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",80.8
Kiambu,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",89.6
Turkana,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",41.5
West Pokot,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",42
Samburu,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",63
Trans Nzoia,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",79
Uasin Gishu,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",84.1
Elgeyo Marakwet,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",77.8
Nandi,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",75.3
Baringo,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",66.1
Laikipia,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",77.8
Nakuru,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",82.5
Narok,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",70.6
Kajiado,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",85
Kericho,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",74.7
Bomet,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",68.8
Kakamega,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",74.2
Vihiga,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",68.1
Bungoma,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",78.4
Busia,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",74.3
Siaya,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",78.3
Kisumu,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",88.6
Homa Bay,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",80.9
Migori,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",63.2
Kisii,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",76
Nyamira,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",79.8
Nairobi,Female,"Used a mobile phone for 
financial transactions 
(last 12 months)",90.6
Mombasa,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",96.3
Kwale,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",73.2
Kilifi,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",86.7
Tana River,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",48.3
Lamu,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",82.4
Taita Taveta,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",87
Garissa,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",83.5
Wajir,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",71.1
Mandera,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",57.7
Marsabit,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",72.7
Isiolo,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",92.9
Meru,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",74.1
Tharaka Nithi,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",79.7
Embu,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",85.8
Kitui,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",78.3
Machakos,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",80.3
Makueni,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",81.5
Nyandarua,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",76.1
Nyeri,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",87.9
Kirinyaga,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",91.1
Muranga,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",82.6
Kiambu,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",85.9
Turkana,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",63.3
West Pokot,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",82.4
Samburu,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",88.8
Trans Nzoia,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",76.2
Uasin Gishu,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",93.2
Elgeyo Marakwet,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",76.9
Nandi,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",77
Baringo,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",70.8
Laikipia,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",82.2
Nakuru,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",78.9
Narok,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",84.8
Kajiado,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",86.8
Kericho,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",82.5
Bomet,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",54.8
Kakamega,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",59.1
Vihiga,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",87
Bungoma,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",69.1
Busia,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",78.1
Siaya,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",66.8
Kisumu,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",77.4
Homa Bay,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",84.9
Migori,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",77.5
Kisii,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",79
Nyamira,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",65
Nairobi,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",95.4
Mombasa,Female,Have & use a bank account,29.6
Kwale,Female,Have & use a bank account,10.7
Kilifi,Female,Have & use a bank account,13.7
Tana River,Female,Have & use a bank account,7.9
Lamu,Female,Have & use a bank account,19
Taita Taveta,Female,Have & use a bank account,24.3
Garissa,Female,Have & use a bank account,9.7
Wajir,Female,Have & use a bank account,6.5
Mandera,Female,Have & use a bank account,3
Marsabit,Female,Have & use a bank account,5.7
Isiolo,Female,Have & use a bank account,32
Meru,Female,Have & use a bank account,32
Tharaka Nithi,Female,Have & use a bank account,34.4
Embu,Female,Have & use a bank account,36.6
Kitui,Female,Have & use a bank account,18.9
Machakos,Female,Have & use a bank account,26.3
Makueni,Female,Have & use a bank account,19.6
Nyandarua,Female,Have & use a bank account,28.9
Nyeri,Female,Have & use a bank account,48.5
Kirinyaga,Female,Have & use a bank account,42.1
Muranga,Female,Have & use a bank account,39.1
Kiambu,Female,Have & use a bank account,47.6
Turkana,Female,Have & use a bank account,33.6
West Pokot,Female,Have & use a bank account,12.8
Samburu,Female,Have & use a bank account,18.9
Trans Nzoia,Female,Have & use a bank account,20.5
Uasin Gishu,Female,Have & use a bank account,35.1
Elgeyo Marakwet,Female,Have & use a bank account,23.1
Nandi,Female,Have & use a bank account,27.4
Baringo,Female,Have & use a bank account,24.3
Laikipia,Female,Have & use a bank account,33.2
Nakuru,Female,Have & use a bank account,30.2
Narok,Female,Have & use a bank account,14
Kajiado,Female,Have & use a bank account,38.5
Kericho,Female,Have & use a bank account,35.5
Bomet,Female,Have & use a bank account,27.1
Kakamega,Female,Have & use a bank account,17.4
Vihiga,Female,Have & use a bank account,12
Bungoma,Female,Have & use a bank account,19.2
Busia,Female,Have & use a bank account,14.4
Siaya,Female,Have & use a bank account,13.8
Kisumu,Female,Have & use a bank account,17.5
Homa Bay,Female,Have & use a bank account,16.2
Migori,Female,Have & use a bank account,11.2
Kisii,Female,Have & use a bank account,17.4
Nyamira,Female,Have & use a bank account,23
Nairobi,Female,Have & use a bank account,45.9
Mombasa,Male,Have & use a bank account,46.8
Kwale,Male,Have & use a bank account,22.9
Kilifi,Male,Have & use a bank account,25.3
Tana River,Male,Have & use a bank account,10.3
Lamu,Male,Have & use a bank account,34.4
Taita Taveta,Male,Have & use a bank account,35.2
Garissa,Male,Have & use a bank account,24.9
Wajir,Male,Have & use a bank account,19.5
Mandera,Male,Have & use a bank account,13.6
Marsabit,Male,Have & use a bank account,17.1
Isiolo,Male,Have & use a bank account,36.6
Meru,Male,Have & use a bank account,40.2
Tharaka Nithi,Male,Have & use a bank account,40.9
Embu,Male,Have & use a bank account,34.8
Kitui,Male,Have & use a bank account,22.3
Machakos,Male,Have & use a bank account,38.6
Makueni,Male,Have & use a bank account,21.9
Nyandarua,Male,Have & use a bank account,39.1
Nyeri,Male,Have & use a bank account,53
Kirinyaga,Male,Have & use a bank account,55.9
Muranga,Male,Have & use a bank account,39.3
Kiambu,Male,Have & use a bank account,60.2
Turkana,Male,Have & use a bank account,17.3
West Pokot,Male,Have & use a bank account,16.4
Samburu,Male,Have & use a bank account,43.4
Trans Nzoia,Male,Have & use a bank account,26
Uasin Gishu,Male,Have & use a bank account,51.3
Elgeyo Marakwet,Male,Have & use a bank account,26.3
Nandi,Male,Have & use a bank account,36.2
Baringo,Male,Have & use a bank account,24.2
Laikipia,Male,Have & use a bank account,58.6
Nakuru,Male,Have & use a bank account,40.7
Narok,Male,Have & use a bank account,31.5
Kajiado,Male,Have & use a bank account,54.6
Kericho,Male,Have & use a bank account,35.8
Bomet,Male,Have & use a bank account,33.2
