"Background characteristics","Category","variable","value"
"Age","15-19","Woman's own health care","72.2"
"Age","20-24","Woman's own health care","80.4"
"Age","25-29","Woman's own health care","85.7"
"Age","30-34","Woman's own health care","87.0"
"Age","35-39","Woman's own health care","86.3"
"Age","40-44","Woman's own health care","88.1"
"Age","45-49","Woman's own health care","90.2"
"Employment (last 12 months)","Not employed","Woman's own health care","79.9"
"Employment (last 12 months)","Employed for cash","Woman's own health care","89.8"
"Employment (last 12 months)","Employed not for cash","Woman's own health care","82.5"
"Number of living children","0","Woman's own health care","84.3"
"Number of living children","1-2","Woman's own health care","86.5"
"Number of living children","3-4","Woman's own health care","86.6"
"Number of living children","5+","Woman's own health care","82.5"
"Residence","Urban","Woman's own health care","89.3"
"Residence","Rural","Woman's own health care","83.3"
"Education","No education","Woman's own health care","72.6"
"Education","Primary","Woman's own health care","83.7"
"Education","Secondary","Woman's own health care","86.8"
"Education","More than secondary","Woman's own health care","93.2"
"Wealth quintile","Lowest","Woman's own health care","77.2"
"Wealth quintile","Second","Woman's own health care","82.8"
"Wealth quintile","Middle","Woman's own health care","85.7"
"Wealth quintile","Fourth","Woman's own health care","88.2"
"Wealth quintile","Highest","Woman's own health care","91.0"
"Age","15-19","Making major household purchases","64.7"
"Age","20-24","Making major household purchases","73.3"
"Age","25-29","Making major household purchases","77.9"
"Age","30-34","Making major household purchases","79.6"
"Age","35-39","Making major household purchases","79.3"
"Age","40-44","Making major household purchases","80.1"
"Age","45-49","Making major household purchases","82.3"
"Employment (last 12 months)","Not employed","Making major household purchases","72.4"
"Employment (last 12 months)","Employed for cash","Making major household purchases","82.2"
"Employment (last 12 months)","Employed not for cash","Making major household purchases","75.7"
"Number of living children","0","Making major household purchases","78.4"
"Number of living children","1-2","Making major household purchases","78.1"
"Number of living children","3-4","Making major household purchases","79.1"
"Number of living children","5+","Making major household purchases","76.7"
"Residence","Urban","Making major household purchases","81.0"
"Residence","Rural","Making major household purchases","76.4"
"Education","No education","Making major household purchases","68.9"
"Education","Primary","Making major household purchases","76.9"
"Education","Secondary","Making major household purchases","77.7"
"Education","More than secondary","Making major household purchases","85.6"
"Wealth quintile","Lowest","Making major household purchases","71.8"
"Wealth quintile","Second","Making major household purchases","76.2"
"Wealth quintile","Middle","Making major household purchases","77.1"
"Wealth quintile","Fourth","Making major household purchases","78.7"
"Wealth quintile","Highest","Making major household purchases","84.2"
"Age","15-19","Visits to her family or relatives","67.6"
"Age","20-24","Visits to her family or relatives","76.2"
"Age","25-29","Visits to her family or relatives","80.6"
"Age","30-34","Visits to her family or relatives","81.9"
"Age","35-39","Visits to her family or relatives","82.5"
"Age","40-44","Visits to her family or relatives","86.2"
"Age","45-49","Visits to her family or relatives","87.8"
"Employment (last 12 months)","Not employed","Visits to her family or relatives","77.1"
"Employment (last 12 months)","Employed for cash","Visits to her family or relatives","84.9"
"Employment (last 12 months)","Employed not for cash","Visits to her family or relatives","79.4"
"Number of living children","0","Visits to her family or relatives","81.0"
"Number of living children","1-2","Visits to her family or relatives","81.8"
