Background characteristics,Category,variable,value,Gender
Age,15-19,Own's health,72.2,Female
Age,20-24,Own's health,80.4,Female
Age,25-29,Own's health,85.7,Female
Age,30-34,Own's health,87,Female
Age,35-39,Own's health,86.3,Female
Age,40-44,Own's health,88.1,Female
Age,45-49,Own's health,90.2,Female
Employment (last 12 months),Not employed,Own's health,79.9,Female
Employment (last 12 months),Employed for cash,Own's health,89.8,Female
Employment (last 12 months),Employed not for cash,Own's health,82.5,Female
Number of living children,0,Own's health,84.3,Female
Number of living children,1-2,Own's health,86.5,Female
Number of living children,3-4,Own's health,86.6,Female
Number of living children,5+,Own's health,82.5,Female
Residence,Urban,Own's health,89.3,Female
Residence,Rural,Own's health,83.3,Female
Education,No education,Own's health,72.6,Female
Education,Primary,Own's health,83.7,Female
Education,Secondary,Own's health,86.8,Female
Education,More than secondary,Own's health,93.2,Female
Wealth quintile,Lowest,Own's health,77.2,Female
Wealth quintile,Second,Own's health,82.8,Female
Wealth quintile,Middle,Own's health,85.7,Female
Wealth quintile,Fourth,Own's health,88.2,Female
Wealth quintile,Highest,Own's health,91,Female
Age,15-19,Making major household purchases,64.7,Female
Age,20-24,Making major household purchases,73.3,Female
Age,25-29,Making major household purchases,77.9,Female
Age,30-34,Making major household purchases,79.6,Female
Age,35-39,Making major household purchases,79.3,Female
Age,40-44,Making major household purchases,80.1,Female
Age,45-49,Making major household purchases,82.3,Female
Employment (last 12 months),Not employed,Making major household purchases,72.4,Female
Employment (last 12 months),Employed for cash,Making major household purchases,82.2,Female
Employment (last 12 months),Employed not for cash,Making major household purchases,75.7,Female
Number of living children,0,Making major household purchases,78.4,Female
Number of living children,1-2,Making major household purchases,78.1,Female
Number of living children,3-4,Making major household purchases,79.1,Female
Number of living children,5+,Making major household purchases,76.7,Female
Residence,Urban,Making major household purchases,81,Female
Residence,Rural,Making major household purchases,76.4,Female
Education,No education,Making major household purchases,68.9,Female
Education,Primary,Making major household purchases,76.9,Female
Education,Secondary,Making major household purchases,77.7,Female
Education,More than secondary,Making major household purchases,85.6,Female
Wealth quintile,Lowest,Making major household purchases,71.8,Female
Wealth quintile,Second,Making major household purchases,76.2,Female
Wealth quintile,Middle,Making major household purchases,77.1,Female
Wealth quintile,Fourth,Making major household purchases,78.7,Female
Wealth quintile,Highest,Making major household purchases,84.2,Female
Age,15-19,Visits to her family or relatives,67.6,Female
Age,20-24,Visits to her family or relatives,76.2,Female
Age,25-29,Visits to her family or relatives,80.6,Female
Age,30-34,Visits to her family or relatives,81.9,Female
