Background characteristics,Category,Gender,variable,value
Age,15-19,Female,Alone,0.3
Age,20-24,Female,Alone,0.9
Age,25-29,Female,Alone,2
Age,30-34,Female,Alone,3.4
Age,35-39,Female,Alone,4.8
Age,40-44,Female,Alone,7.1
Age,45-49,Female,Alone,9.5
Residence,Urban,Female,Alone,2.1
Residence,Rural,Female,Alone,3.8
Education,No education,Female,Alone,3.8
Education,Primary,Female,Alone,3.2
Education,Secondary,Female,Alone,3.2
Education,More than secondary,Female,Alone,2.6
Wealth quintile,Lowest,Female,Alone,4
Wealth quintile,Second,Female,Alone,4.1
Wealth quintile,Middle,Female,Alone,3.1
Wealth quintile,Fourth,Female,Alone,2.2
Wealth quintile,Highest,Female,Alone,2.6
Age,15-19,Male,Alone,2.2
Age,20-24,Male,Alone,8.6
Age,25-29,Male,Alone,21.8
Age,30-34,Male,Alone,36.9
Age,35-39,Male,Alone,43.6
Age,40-44,Male,Alone,46.4
Age,45-49,Male,Alone,51.9
Residence,Urban,Male,Alone,16.7
Residence,Rural,Male,Alone,29.2
Education,No education,Male,Alone,19.1
Education,Primary,Male,Alone,32.9
Education,Secondary,Male,Alone,19.3
Education,More than secondary,Male,Alone,28.7
Wealth quintile,Lowest,Male,Alone,26.1
Wealth quintile,Second,Male,Alone,29.2
Wealth quintile,Middle,Male,Alone,26.8
Wealth quintile,Fourth,Male,Alone,20
Wealth quintile,Highest,Male,Alone,21
Age,15-19,Female,Jointly,1.8
Age,20-24,Female,Jointly,12.8
Age,25-29,Female,Jointly,23.3
Age,30-34,Female,Jointly,28.4
Age,35-39,Female,Jointly,31.6
Age,40-44,Female,Jointly,36.1
Age,45-49,Female,Jointly,38.4
Residence,Urban,Female,Jointly,11.9
Residence,Rural,Female,Jointly,28.2
Education,No education,Female,Jointly,21.5
Education,Primary,Female,Jointly,24.7
Education,Secondary,Female,Jointly,21.3
Education,More than secondary,Female,Jointly,16.7
Wealth quintile,Lowest,Female,Jointly,25.1
Wealth quintile,Second,Female,Jointly,29.1
Wealth quintile,Middle,Female,Jointly,26
Wealth quintile,Fourth,Female,Jointly,16.7
Wealth quintile,Highest,Female,Jointly,15.1
Age,15-19,Male,Jointly,1.6
Age,20-24,Male,Jointly,3.9
Age,25-29,Male,Jointly,6.7
Age,30-34,Male,Jointly,7
Age,35-39,Male,Jointly,11.1
Age,40-44,Male,Jointly,12.7
Age,45-49,Male,Jointly,14.1
Residence,Urban,Male,Jointly,5.2
Residence,Rural,Male,Jointly,7.8
Education,No education,Male,Jointly,15.8
Education,Primary,Male,Jointly,9
Education,Secondary,Male,Jointly,5.3
Education,More than secondary,Male,Jointly,6.7
Wealth quintile,Lowest,Male,Jointly,9.7
Wealth quintile,Second,Male,Jointly,6.6
Wealth quintile,Middle,Male,Jointly,7.6
Wealth quintile,Fourth,Male,Jointly,6.1
Wealth quintile,Highest,Male,Jointly,4.8
Age,15-19,Female,"Both alone 
and jointly",0
Age,20-24,Female,"Both alone 
and jointly",0.1
Age,25-29,Female,"Both alone 
and jointly",0
Age,30-34,Female,"Both alone 
and jointly",0.1
Age,35-39,Female,"Both alone 
and jointly",0.5
Age,40-44,Female,"Both alone 
and jointly",0.2
Age,45-49,Female,"Both alone 
and jointly",0.2
Residence,Urban,Female,"Both alone 
and jointly",0.1
Residence,Rural,Female,"Both alone 
and jointly",0.2
Education,No education,Female,"Both alone 
and jointly",0.1
Education,Primary,Female,"Both alone 
and jointly",0.1
Education,Secondary,Female,"Both alone 
and jointly",0.1
Education,More than secondary,Female,"Both alone 
and jointly",0.1
Wealth quintile,Lowest,Female,"Both alone 
and jointly",0.1
Wealth quintile,Second,Female,"Both alone 
and jointly",0
Wealth quintile,Middle,Female,"Both alone 
and jointly",0.2
Wealth quintile,Fourth,Female,"Both alone 
and jointly",0.2
Wealth quintile,Highest,Female,"Both alone 
and jointly",0.1
Age,15-19,Male,"Both alone 
and jointly",0.2
