"County","Gender","variable","value"
"Mombasa","Female","Mainly wife","11.8"
"Kwale","Female","Mainly wife","7.9"
"Kilifi","Female","Mainly wife","12.4"
"Tana River","Female","Mainly wife","9.8"
"Lamu","Female","Mainly wife","4.8"
"Taita Taveta","Female","Mainly wife","15.8"
"Garissa","Female","Mainly wife","5.5"
"Wajir","Female","Mainly wife","8.5"
"Mandera","Female","Mainly wife","27.5"
"Marsabit","Female","Mainly wife","4.0"
"Isiolo","Female","Mainly wife","6.5"
"Meru","Female","Mainly wife","8.3"
"Tharaka-Nithi","Female","Mainly wife","4.5"
"Embu","Female","Mainly wife","13.9"
"Kitui","Female","Mainly wife","4.7"
"Machakos","Female","Mainly wife","11.3"
"Makueni","Female","Mainly wife","6.7"
"Nyandarua","Female","Mainly wife","9.2"
"Nyeri","Female","Mainly wife","5.2"
"Kirinyaga","Female","Mainly wife","3.4"
"Murang'a","Female","Mainly wife","10.3"
"Kiambu","Female","Mainly wife","5.8"
"Turkana","Female","Mainly wife","10.5"
"West Pokot","Female","Mainly wife","7.5"
"Samburu","Female","Mainly wife","11.5"
"Trans Nzoia","Female","Mainly wife","6.8"
"Uasin Gishu","Female","Mainly wife","9.9"
"Elgeyo-Marakwet","Female","Mainly wife","6.5"
"Nandi","Female","Mainly wife","5.1"
"Baringo","Female","Mainly wife","13.3"
"Laikipia","Female","Mainly wife","9.0"
"Nakuru","Female","Mainly wife","6.2"
"Narok","Female","Mainly wife","6.5"
"Kajiado","Female","Mainly wife","6.1"
"Kericho","Female","Mainly wife","13.5"
"Bomet","Female","Mainly wife","6.7"
"Kakamega","Female","Mainly wife","3.6"
"Vihiga","Female","Mainly wife","2.8"
"Bungoma","Female","Mainly wife","13.0"
"Busia","Female","Mainly wife","4.4"
"Siaya","Female","Mainly wife","13.6"
"Kisumu","Female","Mainly wife","13.1"
"Homa Bay","Female","Mainly wife","7.0"
"Migori","Female","Mainly wife","9.8"
"Kisii","Female","Mainly wife","11.3"
"Nyamira","Female","Mainly wife","9.7"
"Nairobi","Female","Mainly wife","7.2"
"Mombasa","Male","Mainly wife","3.9"
"Kwale","Male","Mainly wife","2.2"
"Kilifi","Male","Mainly wife","1.4"
"Tana River","Male","Mainly wife","1.6"
"Lamu","Male","Mainly wife","0.0"
"Taita Taveta","Male","Mainly wife","6.3"
"Garissa","Male","Mainly wife","0.0"
"Wajir","Male","Mainly wife","2.1"
"Mandera","Male","Mainly wife","1.4"
"Marsabit","Male","Mainly wife","2.8"
"Isiolo","Male","Mainly wife","16.2"
"Meru","Male","Mainly wife","2.5"
"Tharaka-Nithi","Male","Mainly wife","1.7"
"Embu","Male","Mainly wife","1.0"
"Kitui","Male","Mainly wife","2.1"
"Machakos","Male","Mainly wife","0.0"
"Makueni","Male","Mainly wife","0.0"
"Nyandarua","Male","Mainly wife","1.1"
"Nyeri","Male","Mainly wife","0.4"
"Kirinyaga","Male","Mainly wife","0.0"
"Murang'a","Male","Mainly wife","6.0"
"Kiambu","Male","Mainly wife","17.4"
"Turkana","Male","Mainly wife","2.8"
"West Pokot","Male","Mainly wife","7.1"
"Samburu","Male","Mainly wife","3.1"
"Trans Nzoia","Male","Mainly wife","1.9"
"Uasin Gishu","Male","Mainly wife","2.6"
"Elgeyo-Marakwet","Male","Mainly wife","3.4"
"Nandi","Male","Mainly wife","1.2"
"Baringo","Male","Mainly wife","2.4"
"Laikipia","Male","Mainly wife","3.7"
"Nakuru","Male","Mainly wife","11.4"
"Narok","Male","Mainly wife","0.0"
"Kajiado","Male","Mainly wife","1.6"
"Kericho","Male","Mainly wife","0.0"
"Bomet","Male","Mainly wife","0.0"
"Kakamega","Male","Mainly wife","6.3"
"Vihiga","Male","Mainly wife","9.4"
"Bungoma","Male","Mainly wife","12.8"
"Busia","Male","Mainly wife","3.1"
"Siaya","Male","Mainly wife","3.8"
"Kisumu","Male","Mainly wife","1.1"
"Homa Bay","Male","Mainly wife","1.1"
"Migori","Male","Mainly wife","3.8"
"Kisii","Male","Mainly wife","0.0"
"Nyamira","Male","Mainly wife","0.0"
"Nairobi","Male","Mainly wife","26.4"
"Mombasa","Female","Wife and husband jointly","47.1"
"Kwale","Female","Wife and husband jointly","67.8"
"Kilifi","Female","Wife and husband jointly","59.6"
"Tana River","Female","Wife and husband jointly","34.9"
"Lamu","Female","Wife and husband jointly","54.2"
"Taita Taveta","Female","Wife and husband jointly","41.0"
"Garissa","Female","Wife and husband jointly","59.1"
"Wajir","Female","Wife and husband jointly","33.3"
"Mandera","Female","Wife and husband jointly","5.2"
"Marsabit","Female","Wife and husband jointly","85.1"
"Isiolo","Female","Wife and husband jointly","70.0"
"Meru","Female","Wife and husband jointly","61.0"
"Tharaka-Nithi","Female","Wife and husband jointly","57.9"
"Embu","Female","Wife and husband jointly","43.6"
"Kitui","Female","Wife and husband jointly","67.3"
"Machakos","Female","Wife and husband jointly","63.9"
"Makueni","Female","Wife and husband jointly","70.2"
"Nyandarua","Female","Wife and husband jointly","55.3"
"Nyeri","Female","Wife and husband jointly","57.7"
"Kirinyaga","Female","Wife and husband jointly","57.5"
"Murang'a","Female","Wife and husband jointly","47.9"
"Kiambu","Female","Wife and husband jointly","58.5"
"Turkana","Female","Wife and husband jointly","65.9"
"West Pokot","Female","Wife and husband jointly","47.3"
"Samburu","Female","Wife and husband jointly","44.1"
"Trans Nzoia","Female","Wife and husband jointly","55.8"
"Uasin Gishu","Female","Wife and husband jointly","43.4"
"Elgeyo-Marakwet","Female","Wife and husband jointly","56.5"
"Nandi","Female","Wife and husband jointly","59.4"
"Baringo","Female","Wife and husband jointly","32.9"
"Laikipia","Female","Wife and husband jointly","49.4"
"Nakuru","Female","Wife and husband jointly","41.0"
"Narok","Female","Wife and husband jointly","49.9"
"Kajiado","Female","Wife and husband jointly","56.0"
"Kericho","Female","Wife and husband jointly","66.6"
"Bomet","Female","Wife and husband jointly","52.4"
"Kakamega","Female","Wife and husband jointly","37.5"
"Vihiga","Female","Wife and husband jointly","29.4"
"Bungoma","Female","Wife and husband jointly","38.3"
"Busia","Female","Wife and husband jointly","27.5"
"Siaya","Female","Wife and husband jointly","44.1"
"Kisumu","Female","Wife and husband jointly","54.8"
"Homa Bay","Female","Wife and husband jointly","34.7"
"Migori","Female","Wife and husband jointly","47.5"
"Kisii","Female","Wife and husband jointly","36.0"
"Nyamira","Female","Wife and husband jointly","49.7"
"Nairobi","Female","Wife and husband jointly","57.4"
"Mombasa","Male","Wife and husband jointly","40.0"
"Kwale","Male","Wife and husband jointly","74.8"
"Kilifi","Male","Wife and husband jointly","89.8"
"Tana River","Male","Wife and husband jointly","81.3"
"Lamu","Male","Wife and husband jointly","57.2"
"Taita Taveta","Male","Wife and husband jointly","68.0"
"Garissa","Male","Wife and husband jointly","75.2"
"Wajir","Male","Wife and husband jointly","61.5"
"Mandera","Male","Wife and husband jointly","19.6"
"Marsabit","Male","Wife and husband jointly","75.8"
"Isiolo","Male","Wife and husband jointly","30.2"
"Meru","Male","Wife and husband jointly","67.1"
"Tharaka-Nithi","Male","Wife and husband jointly","42.8"
"Embu","Male","Wife and husband jointly","70.4"
"Kitui","Male","Wife and husband jointly","83.1"
"Machakos","Male","Wife and husband jointly","72.2"
"Makueni","Male","Wife and husband jointly","84.4"
"Nyandarua","Male","Wife and husband jointly","64.1"
"Nyeri","Male","Wife and husband jointly","28.9"
"Kirinyaga","Male","Wife and husband jointly","3.4"
"Murang'a","Male","Wife and husband jointly","41.0"
"Kiambu","Male","Wife and husband jointly","21.7"
"Turkana","Male","Wife and husband jointly","21.1"
"West Pokot","Male","Wife and husband jointly","59.6"
"Samburu","Male","Wife and husband jointly","61.6"
"Trans Nzoia","Male","Wife and husband jointly","74.3"
"Uasin Gishu","Male","Wife and husband jointly","47.4"
"Elgeyo-Marakwet","Male","Wife and husband jointly","44.4"
"Nandi","Male","Wife and husband jointly","44.1"
"Baringo","Male","Wife and husband jointly","51.9"
"Laikipia","Male","Wife and husband jointly","66.1"
"Nakuru","Male","Wife and husband jointly","34.2"
"Narok","Male","Wife and husband jointly","40.7"
"Kajiado","Male","Wife and husband jointly","14.7"
"Kericho","Male","Wife and husband jointly","72.8"
"Bomet","Male","Wife and husband jointly","58.8"
"Kakamega","Male","Wife and husband jointly","64.6"
"Vihiga","Male","Wife and husband jointly","64.2"
"Bungoma","Male","Wife and husband jointly","50.5"
"Busia","Male","Wife and husband jointly","47.4"
"Siaya","Male","Wife and husband jointly","34.5"
"Kisumu","Male","Wife and husband jointly","72.5"
"Homa Bay","Male","Wife and husband jointly","77.3"
"Migori","Male","Wife and husband jointly","71.4"
"Kisii","Male","Wife and husband jointly","31.5"
"Nyamira","Male","Wife and husband jointly","63.2"
"Nairobi","Male","Wife and husband jointly","33.3"
"Mombasa","Female","Mainly husband","40.7"
"Kwale","Female","Mainly husband","24.3"
"Kilifi","Female","Mainly husband","28.0"
"Tana River","Female","Mainly husband","55.3"
"Lamu","Female","Mainly husband","41.0"
"Taita Taveta","Female","Mainly husband","43.1"
"Garissa","Female","Mainly husband","35.4"
"Wajir","Female","Mainly husband","58.2"
"Mandera","Female","Mainly husband","67.3"
"Marsabit","Female","Mainly husband","10.9"
"Isiolo","Female","Mainly husband","23.4"
"Meru","Female","Mainly husband","30.7"
"Tharaka-Nithi","Female","Mainly husband","37.6"
"Embu","Female","Mainly husband","42.5"
"Kitui","Female","Mainly husband","27.9"
"Machakos","Female","Mainly husband","24.8"
"Makueni","Female","Mainly husband","23.1"
"Nyandarua","Female","Mainly husband","35.5"
"Nyeri","Female","Mainly husband","37.1"
"Kirinyaga","Female","Mainly husband","39.1"
"Murang'a","Female","Mainly husband","41.8"
"Kiambu","Female","Mainly husband","35.7"
"Turkana","Female","Mainly husband","23.6"
"West Pokot","Female","Mainly husband","45.2"
"Samburu","Female","Mainly husband","44.4"
"Trans Nzoia","Female","Mainly husband","37.5"
"Uasin Gishu","Female","Mainly husband","46.4"
"Elgeyo-Marakwet","Female","Mainly husband","37.0"
"Nandi","Female","Mainly husband","35.5"
"Baringo","Female","Mainly husband","53.8"
"Laikipia","Female","Mainly husband","41.6"
"Nakuru","Female","Mainly husband","52.7"
"Narok","Female","Mainly husband","43.6"
"Kajiado","Female","Mainly husband","37.9"
"Kericho","Female","Mainly husband","19.9"
"Bomet","Female","Mainly husband","41.0"
"Kakamega","Female","Mainly husband","58.6"
"Vihiga","Female","Mainly husband","67.8"
"Bungoma","Female","Mainly husband","48.7"
"Busia","Female","Mainly husband","67.8"
"Siaya","Female","Mainly husband","42.2"
"Kisumu","Female","Mainly husband","32.0"
"Homa Bay","Female","Mainly husband","57.3"
"Migori","Female","Mainly husband","42.7"
"Kisii","Female","Mainly husband","52.7"
"Nyamira","Female","Mainly husband","40.6"
"Nairobi","Female","Mainly husband","35.4"
"Mombasa","Male","Mainly husband","56.0"
"Kwale","Male","Mainly husband","23.0"
"Kilifi","Male","Mainly husband","8.8"
"Tana River","Male","Mainly husband","17.1"
"Lamu","Male","Mainly husband","42.8"
"Taita Taveta","Male","Mainly husband","25.7"
"Garissa","Male","Mainly husband","24.8"
"Wajir","Male","Mainly husband","36.4"
"Mandera","Male","Mainly husband","77.5"
"Marsabit","Male","Mainly husband","21.4"
"Isiolo","Male","Mainly husband","53.7"
"Meru","Male","Mainly husband","30.4"
"Tharaka-Nithi","Male","Mainly husband","55.6"
"Embu","Male","Mainly husband","28.6"
"Kitui","Male","Mainly husband","14.8"
"Machakos","Male","Mainly husband","27.8"
"Makueni","Male","Mainly husband","15.6"
"Nyandarua","Male","Mainly husband","34.8"
"Nyeri","Male","Mainly husband","70.6"
"Kirinyaga","Male","Mainly husband","96.6"
"Murang'a","Male","Mainly husband","53.0"
"Kiambu","Male","Mainly husband","60.9"
"Turkana","Male","Mainly husband","76.1"
"West Pokot","Male","Mainly husband","33.2"
"Samburu","Male","Mainly husband","35.4"
"Trans Nzoia","Male","Mainly husband","23.8"
"Uasin Gishu","Male","Mainly husband","50.0"
"Elgeyo-Marakwet","Male","Mainly husband","52.2"
"Nandi","Male","Mainly husband","54.8"
"Baringo","Male","Mainly husband","45.6"
"Laikipia","Male","Mainly husband","30.1"
"Nakuru","Male","Mainly husband","54.4"
"Narok","Male","Mainly husband","59.3"
"Kajiado","Male","Mainly husband","83.6"
"Kericho","Male","Mainly husband","27.2"
"Bomet","Male","Mainly husband","41.2"
"Kakamega","Male","Mainly husband","29.1"
"Vihiga","Male","Mainly husband","26.3"
"Bungoma","Male","Mainly husband","36.4"
"Busia","Male","Mainly husband","49.5"
"Siaya","Male","Mainly husband","61.7"
"Kisumu","Male","Mainly husband","26.4"
"Homa Bay","Male","Mainly husband","21.6"
"Migori","Male","Mainly husband","24.9"
"Kisii","Male","Mainly husband","68.5"
"Nyamira","Male","Mainly husband","36.8"
"Nairobi","Male","Mainly husband","40.3"
"Mombasa","Female","Other","0.5"
"Kwale","Female","Other","0.0"
"Kilifi","Female","Other","0.0"
"Tana River","Female","Other","0.0"
"Lamu","Female","Other","0.0"
"Taita Taveta","Female","Other","0.0"
"Garissa","Female","Other","0.0"
"Wajir","Female","Other","0.0"
"Mandera","Female","Other","0.0"
"Marsabit","Female","Other","0.0"
"Isiolo","Female","Other","0.0"
"Meru","Female","Other","0.0"
"Tharaka-Nithi","Female","Other","0.0"
"Embu","Female","Other","0.0"
"Kitui","Female","Other","0.0"
"Machakos","Female","Other","0.0"
"Makueni","Female","Other","0.0"
"Nyandarua","Female","Other","0.0"
"Nyeri","Female","Other","0.0"
"Kirinyaga","Female","Other","0.0"
"Murang'a","Female","Other","0.0"
"Kiambu","Female","Other","0.0"
"Turkana","Female","Other","0.0"
"West Pokot","Female","Other","0.0"
"Samburu","Female","Other","0.0"
"Trans Nzoia","Female","Other","0.0"
"Uasin Gishu","Female","Other","0.2"
"Elgeyo-Marakwet","Female","Other","0.0"
"Nandi","Female","Other","0.0"
"Baringo","Female","Other","0.0"
"Laikipia","Female","Other","0.0"
"Nakuru","Female","Other","0.0"
"Narok","Female","Other","0.0"
"Kajiado","Female","Other","0.0"
"Kericho","Female","Other","0.0"
"Bomet","Female","Other","0.0"
"Kakamega","Female","Other","0.3"
"Vihiga","Female","Other","0.0"
"Bungoma","Female","Other","0.0"
"Busia","Female","Other","0.3"
"Siaya","Female","Other","0.0"
"Kisumu","Female","Other","0.0"
"Homa Bay","Female","Other","0.9"
"Migori","Female","Other","0.0"
"Kisii","Female","Other","0.0"
"Nyamira","Female","Other","0.0"
"Nairobi","Female","Other","0.0"
"Mombasa","Male","Other","0.0"
"Kwale","Male","Other","0.0"
"Kilifi","Male","Other","0.0"
"Tana River","Male","Other","0.0"
"Lamu","Male","Other","0.0"
"Taita Taveta","Male","Other","0.0"
"Garissa","Male","Other","0.0"
"Wajir","Male","Other","0.0"
"Mandera","Male","Other","1.4"
"Marsabit","Male","Other","0.0"
"Isiolo","Male","Other","0.0"
"Meru","Male","Other","0.0"
"Tharaka-Nithi","Male","Other","0.0"
"Embu","Male","Other","0.0"
"Kitui","Male","Other","0.0"
"Machakos","Male","Other","0.0"
"Makueni","Male","Other","0.0"
"Nyandarua","Male","Other","0.0"
"Nyeri","Male","Other","0.0"
"Kirinyaga","Male","Other","0.0"
"Murang'a","Male","Other","0.0"
"Kiambu","Male","Other","0.0"
"Turkana","Male","Other","0.0"
"West Pokot","Male","Other","0.0"
"Samburu","Male","Other","0.0"
"Trans Nzoia","Male","Other","0.0"
"Uasin Gishu","Male","Other","0.0"
"Elgeyo-Marakwet","Male","Other","0.0"
"Nandi","Male","Other","0.0"
"Baringo","Male","Other","0.0"
"Laikipia","Male","Other","0.0"
