County,Category,Proportion,Names
Mombasa,Stool disposed of appropriately,100,"Mombasa, 100%"
Mombasa,Child used toilet,5.4,"Mombasa, 5.4%"
Mombasa,Put/rinsed into toilet,48.6,"Mombasa, 48.6%"
Mombasa,Buried,0,"Mombasa, 0%"
Mombasa,Put/rinsed into drain/ditch,3.6,"Mombasa, 3.6%"
Mombasa,Thrown into garbage,42.5,"Mombasa, 42.5%"
Mombasa,Left in the open,0,"Mombasa, 0%"
Mombasa,Other,0,"Mombasa, 0%"
Kwale,Stool disposed of appropriately,100,"Kwale, 100%"
Kwale,Child used toilet,10.4,"Kwale, 10.4%"
Kwale,Put/rinsed into toilet,48.6,"Kwale, 48.6%"
Kwale,Buried,6.2,"Kwale, 6.2%"
Kwale,Put/rinsed into drain/ditch,11.9,"Kwale, 11.9%"
Kwale,Thrown into garbage,23,"Kwale, 23%"
Kwale,Left in the open,0,"Kwale, 0%"
Kwale,Other,0,"Kwale, 0%"
Kilifi,Stool disposed of appropriately,100,"Kilifi, 100%"
Kilifi,Child used toilet,0,"Kilifi, 0%"
Kilifi,Put/rinsed into toilet,60.8,"Kilifi, 60.8%"
Kilifi,Buried,11.4,"Kilifi, 11.4%"
Kilifi,Put/rinsed into drain/ditch,1.4,"Kilifi, 1.4%"
Kilifi,Thrown into garbage,17.8,"Kilifi, 17.8%"
Kilifi,Left in the open,8.6,"Kilifi, 8.6%"
Kilifi,Other,0,"Kilifi, 0%"
Tana River,Stool disposed of appropriately,100,"Tana River, 100%"
Tana River,Child used toilet,0,"Tana River, 0%"
Tana River,Put/rinsed into toilet,31.6,"Tana River, 31.6%"
Tana River,Buried,14.7,"Tana River, 14.7%"
Tana River,Put/rinsed into drain/ditch,10.4,"Tana River, 10.4%"
Tana River,Thrown into garbage,39.8,"Tana River, 39.8%"
Tana River,Left in the open,3.5,"Tana River, 3.5%"
Tana River,Other,0,"Tana River, 0%"
Lamu,Stool disposed of appropriately,100,"Lamu, 100%"
Lamu,Child used toilet,0.8,"Lamu, 0.8%"
Lamu,Put/rinsed into toilet,50.5,"Lamu, 50.5%"
