County,Category,Proportion,Names
Mombasa,Fixed handwashing place,30.1,"Mombasa, 30.1%"
Mombasa,Mobile handwashing place,25.9,"Mombasa, 25.9%"
Mombasa,Water available,97.7,"Mombasa, 97.7%"
Mombasa,Soap available,81.7,"Mombasa, 81.7%"
Mombasa,Other cleansing agent available,0.9,"Mombasa, 0.9%"
Mombasa,Pop. with basic handwashing facility,47.9,"Mombasa, 47.9%"
Mombasa,Pop. with limited handwashing facility,11,"Mombasa, 11%"
Kwale,Fixed handwashing place,9.3,"Kwale, 9.3%"
Kwale,Mobile handwashing place,37.2,"Kwale, 37.2%"
Kwale,Water available,76.3,"Kwale, 76.3%"
Kwale,Soap available,46.1,"Kwale, 46.1%"
Kwale,Other cleansing agent available,1.3,"Kwale, 1.3%"
Kwale,Pop. with basic handwashing facility,22.7,"Kwale, 22.7%"
Kwale,Pop. with limited handwashing facility,26.6,"Kwale, 26.6%"
Kilifi,Fixed handwashing place,8.4,"Kilifi, 8.4%"
Kilifi,Mobile handwashing place,9.6,"Kilifi, 9.6%"
Kilifi,Water available,82.3,"Kilifi, 82.3%"
Kilifi,Soap available,55.6,"Kilifi, 55.6%"
Kilifi,Other cleansing agent available,0.9,"Kilifi, 0.9%"
Kilifi,Pop. with basic handwashing facility,9.7,"Kilifi, 9.7%"
Kilifi,Pop. with limited handwashing facility,8.7,"Kilifi, 8.7%"
Tana River,Fixed handwashing place,3.7,"Tana River, 3.7%"
Tana River,Mobile handwashing place,44,"Tana River, 44%"
Tana River,Water available,82.4,"Tana River, 82.4%"
Tana River,Soap available,11.7,"Tana River, 11.7%"
Tana River,Other cleansing agent available,9.7,"Tana River, 9.7%"
Tana River,Pop. with basic handwashing facility,7.3,"Tana River, 7.3%"
Tana River,Pop. with limited handwashing facility,55.4,"Tana River, 55.4%"
Lamu,Fixed handwashing place,20.7,"Lamu, 20.7%"
Lamu,Mobile handwashing place,21.1,"Lamu, 21.1%"
Lamu,Water available,87.6,"Lamu, 87.6%"
Lamu,Soap available,45.4,"Lamu, 45.4%"
Lamu,Other cleansing agent available,3.6,"Lamu, 3.6%"
Lamu,Pop. with basic handwashing facility,23.4,"Lamu, 23.4%"
Lamu,Pop. with limited handwashing facility,31.8,"Lamu, 31.8%"
Taita Taveta,Fixed handwashing place,31.5,"Taita Taveta, 31.5%"
Taita Taveta,Mobile handwashing place,44.9,"Taita Taveta, 44.9%"
Taita Taveta,Water available,91.7,"Taita Taveta, 91.7%"
Taita Taveta,Soap available,57,"Taita Taveta, 57%"
Taita Taveta,Other cleansing agent available,0,"Taita Taveta, 0%"
Taita Taveta,Pop. with basic handwashing facility,43.5,"Taita Taveta, 43.5%"
Taita Taveta,Pop. with limited handwashing facility,34,"Taita Taveta, 34%"
