County,Category,Proportion,Names
Mombasa,Population w/o water on premises,70.7,"Mombasa, 70.7%"
Mombasa,Adult female,44.2,"Mombasa, 44.2%"
Mombasa,Adult male,32.1,"Mombasa, 32.1%"
Mombasa,Female child,0.6,"Mombasa, 0.6%"
Mombasa,Male child,6.6,"Mombasa, 6.6%"
Mombasa,Person not in household,16.5,"Mombasa, 16.5%"
Kwale,Population w/o water on premises,76.5,"Kwale, 76.5%"
Kwale,Adult female,69.8,"Kwale, 69.8%"
Kwale,Adult male,19.7,"Kwale, 19.7%"
Kwale,Female child,2.4,"Kwale, 2.4%"
Kwale,Male child,3.1,"Kwale, 3.1%"
Kwale,Person not in household,5,"Kwale, 5%"
Kilifi,Population w/o water on premises,56.4,"Kilifi, 56.4%"
Kilifi,Adult female,74.3,"Kilifi, 74.3%"
Kilifi,Adult male,9.8,"Kilifi, 9.8%"
Kilifi,Female child,5.8,"Kilifi, 5.8%"
Kilifi,Male child,1.4,"Kilifi, 1.4%"
Kilifi,Person not in household,8.7,"Kilifi, 8.7%"
Tana River,Population w/o water on premises,80.4,"Tana River, 80.4%"
Tana River,Adult female,78.1,"Tana River, 78.1%"
Tana River,Adult male,6.4,"Tana River, 6.4%"
Tana River,Female child,11.1,"Tana River, 11.1%"
Tana River,Male child,1,"Tana River, 1%"
Tana River,Person not in household,3.5,"Tana River, 3.5%"
Lamu,Population w/o water on premises,59.6,"Lamu, 59.6%"
Lamu,Adult female,56.5,"Lamu, 56.5%"
Lamu,Adult male,29.5,"Lamu, 29.5%"
Lamu,Female child,4.1,"Lamu, 4.1%"
Lamu,Male child,2.1,"Lamu, 2.1%"
Lamu,Person not in household,7.9,"Lamu, 7.9%"
Taita Taveta,Population w/o water on premises,42.3,"Taita Taveta, 42.3%"
Taita Taveta,Adult female,60.2,"Taita Taveta, 60.2%"
Taita Taveta,Adult male,25.3,"Taita Taveta, 25.3%"
Taita Taveta,Female child,1.2,"Taita Taveta, 1.2%"
Taita Taveta,Male child,0,"Taita Taveta, 0%"
Taita Taveta,Person not in household,13.2,"Taita Taveta, 13.2%"
Garissa,Population w/o water on premises,56.5,"Garissa, 56.5%"
Garissa,Adult female,40,"Garissa, 40%"
Garissa,Adult male,9.9,"Garissa, 9.9%"
Garissa,Female child,11.3,"Garissa, 11.3%"
Garissa,Male child,3.4,"Garissa, 3.4%"
Garissa,Person not in household,35.4,"Garissa, 35.4%"
Wajir,Population w/o water on premises,65.6,"Wajir, 65.6%"
Wajir,Adult female,52.4,"Wajir, 52.4%"
Wajir,Adult male,14.8,"Wajir, 14.8%"
Wajir,Female child,10.7,"Wajir, 10.7%"
Wajir,Male child,7.6,"Wajir, 7.6%"
Wajir,Person not in household,14.4,"Wajir, 14.4%"
Mandera,Population w/o water on premises,83.2,"Mandera, 83.2%"
Mandera,Adult female,54.2,"Mandera, 54.2%"
Mandera,Adult male,7.1,"Mandera, 7.1%"
Mandera,Female child,7.9,"Mandera, 7.9%"
Mandera,Male child,4.5,"Mandera, 4.5%"
Mandera,Person not in household,26.3,"Mandera, 26.3%"
Marsabit,Population w/o water on premises,87.5,"Marsabit, 87.5%"
Marsabit,Adult female,64.6,"Marsabit, 64.6%"
Marsabit,Adult male,6,"Marsabit, 6%"
Marsabit,Female child,4.3,"Marsabit, 4.3%"
Marsabit,Male child,1.8,"Marsabit, 1.8%"
Marsabit,Person not in household,23.3,"Marsabit, 23.3%"
Isiolo,Population w/o water on premises,37.6,"Isiolo, 37.6%"
Isiolo,Adult female,83.4,"Isiolo, 83.4%"
Isiolo,Adult male,4.4,"Isiolo, 4.4%"
Isiolo,Female child,7.3,"Isiolo, 7.3%"
Isiolo,Male child,1.8,"Isiolo, 1.8%"
Isiolo,Person not in household,3.1,"Isiolo, 3.1%"
Meru,Population w/o water on premises,39.3,"Meru, 39.3%"
Meru,Adult female,78.3,"Meru, 78.3%"
Meru,Adult male,9.1,"Meru, 9.1%"
Meru,Female child,4.9,"Meru, 4.9%"
Meru,Male child,2.3,"Meru, 2.3%"
Meru,Person not in household,5.3,"Meru, 5.3%"
Tharaka Nithi,Population w/o water on premises,40.7,"Tharaka Nithi, 40.7%"
Tharaka Nithi,Adult female,69.1,"Tharaka Nithi, 69.1%"
Tharaka Nithi,Adult male,24.4,"Tharaka Nithi, 24.4%"
Tharaka Nithi,Female child,1.9,"Tharaka Nithi, 1.9%"
Tharaka Nithi,Male child,0.8,"Tharaka Nithi, 0.8%"
Tharaka Nithi,Person not in household,3.9,"Tharaka Nithi, 3.9%"
Embu,Population w/o water on premises,31.3,"Embu, 31.3%"
Embu,Adult female,52.7,"Embu, 52.7%"
Embu,Adult male,33.9,"Embu, 33.9%"
Embu,Female child,2.3,"Embu, 2.3%"
Embu,Male child,1.2,"Embu, 1.2%"
Embu,Person not in household,9.9,"Embu, 9.9%"
Kitui,Population w/o water on premises,87.3,"Kitui, 87.3%"
Kitui,Adult female,66,"Kitui, 66%"
Kitui,Adult male,22.1,"Kitui, 22.1%"
Kitui,Female child,3.4,"Kitui, 3.4%"
Kitui,Male child,1.7,"Kitui, 1.7%"
Kitui,Person not in household,6.7,"Kitui, 6.7%"
Machakos,Population w/o water on premises,65.7,"Machakos, 65.7%"
Machakos,Adult female,54.3,"Machakos, 54.3%"
Machakos,Adult male,27.8,"Machakos, 27.8%"
Machakos,Female child,2.1,"Machakos, 2.1%"
Machakos,Male child,3.4,"Machakos, 3.4%"
Machakos,Person not in household,12.4,"Machakos, 12.4%"
Makueni,Population w/o water on premises,74.1,"Makueni, 74.1%"
Makueni,Adult female,53,"Makueni, 53%"
Makueni,Adult male,26.3,"Makueni, 26.3%"
Makueni,Female child,3,"Makueni, 3%"
Makueni,Male child,2.5,"Makueni, 2.5%"
Makueni,Person not in household,15.2,"Makueni, 15.2%"
Nyandarua,Population w/o water on premises,16.6,"Nyandarua, 16.6%"
Nyandarua,Adult female,50.2,"Nyandarua, 50.2%"
Nyandarua,Adult male,23.7,"Nyandarua, 23.7%"
Nyandarua,Female child,6.3,"Nyandarua, 6.3%"
Nyandarua,Male child,3.1,"Nyandarua, 3.1%"
Nyandarua,Person not in household,16.8,"Nyandarua, 16.8%"
Nyeri,Population w/o water on premises,10.1,"Nyeri, 10.1%"
Nyeri,Adult female,67.7,"Nyeri, 67.7%"
Nyeri,Adult male,21.2,"Nyeri, 21.2%"
Nyeri,Female child,0,"Nyeri, 0%"
Nyeri,Male child,0,"Nyeri, 0%"
Nyeri,Person not in household,11.1,"Nyeri, 11.1%"
Kirinyaga,Population w/o water on premises,27.4,"Kirinyaga, 27.4%"
Kirinyaga,Adult female,54.8,"Kirinyaga, 54.8%"
Kirinyaga,Adult male,24.2,"Kirinyaga, 24.2%"
Kirinyaga,Female child,2.4,"Kirinyaga, 2.4%"
Kirinyaga,Male child,1.4,"Kirinyaga, 1.4%"
Kirinyaga,Person not in household,17.1,"Kirinyaga, 17.1%"
Muranga,Population w/o water on premises,28,"Muranga, 28%"
Muranga,Adult female,66.3,"Muranga, 66.3%"
Muranga,Adult male,20.6,"Muranga, 20.6%"
Muranga,Female child,2.3,"Muranga, 2.3%"
Muranga,Male child,1.2,"Muranga, 1.2%"
Muranga,Person not in household,9.5,"Muranga, 9.5%"
Kiambu,Population w/o water on premises,14,"Kiambu, 14%"
Kiambu,Adult female,65,"Kiambu, 65%"
Kiambu,Adult male,19.1,"Kiambu, 19.1%"
Kiambu,Female child,3.3,"Kiambu, 3.3%"
Kiambu,Male child,2.4,"Kiambu, 2.4%"
Kiambu,Person not in household,10.1,"Kiambu, 10.1%"
Turkana,Population w/o water on premises,80.2,"Turkana, 80.2%"
Turkana,Adult female,66.1,"Turkana, 66.1%"
Turkana,Adult male,5,"Turkana, 5%"
Turkana,Female child,22.6,"Turkana, 22.6%"
Turkana,Male child,4.6,"Turkana, 4.6%"
Turkana,Person not in household,1.7,"Turkana, 1.7%"
West Pokot,Population w/o water on premises,68.6,"West Pokot, 68.6%"
West Pokot,Adult female,75.3,"West Pokot, 75.3%"
West Pokot,Adult male,6,"West Pokot, 6%"
West Pokot,Female child,13.5,"West Pokot, 13.5%"
West Pokot,Male child,3.3,"West Pokot, 3.3%"
West Pokot,Person not in household,1.8,"West Pokot, 1.8%"
Samburu,Population w/o water on premises,86.4,"Samburu, 86.4%"
Samburu,Adult female,86.3,"Samburu, 86.3%"
Samburu,Adult male,4.2,"Samburu, 4.2%"
Samburu,Female child,3.7,"Samburu, 3.7%"
Samburu,Male child,0.1,"Samburu, 0.1%"
Samburu,Person not in household,5.7,"Samburu, 5.7%"
Trans Nzoia,Population w/o water on premises,60.5,"Trans Nzoia, 60.5%"
Trans Nzoia,Adult female,75,"Trans Nzoia, 75%"
Trans Nzoia,Adult male,12.3,"Trans Nzoia, 12.3%"
Trans Nzoia,Female child,4.8,"Trans Nzoia, 4.8%"
Trans Nzoia,Male child,3.5,"Trans Nzoia, 3.5%"
Trans Nzoia,Person not in household,4.4,"Trans Nzoia, 4.4%"
Uasin Gishu,Population w/o water on premises,28.2,"Uasin Gishu, 28.2%"
Uasin Gishu,Adult female,76.9,"Uasin Gishu, 76.9%"
Uasin Gishu,Adult male,13.3,"Uasin Gishu, 13.3%"
Uasin Gishu,Female child,5.4,"Uasin Gishu, 5.4%"
Uasin Gishu,Male child,0.8,"Uasin Gishu, 0.8%"
Uasin Gishu,Person not in household,3.7,"Uasin Gishu, 3.7%"
Elgeyo Marakwet,Population w/o water on premises,41.7,"Elgeyo Marakwet, 41.7%"
Elgeyo Marakwet,Adult female,80.9,"Elgeyo Marakwet, 80.9%"
Elgeyo Marakwet,Adult male,12,"Elgeyo Marakwet, 12%"
Elgeyo Marakwet,Female child,2.8,"Elgeyo Marakwet, 2.8%"
Elgeyo Marakwet,Male child,2.2,"Elgeyo Marakwet, 2.2%"
Elgeyo Marakwet,Person not in household,2.2,"Elgeyo Marakwet, 2.2%"
Nandi,Population w/o water on premises,68.2,"Nandi, 68.2%"
Nandi,Adult female,83,"Nandi, 83%"
Nandi,Adult male,7.7,"Nandi, 7.7%"
Nandi,Female child,4.4,"Nandi, 4.4%"
Nandi,Male child,1.7,"Nandi, 1.7%"
Nandi,Person not in household,3.2,"Nandi, 3.2%"
Baringo,Population w/o water on premises,72.8,"Baringo, 72.8%"
Baringo,Adult female,74.7,"Baringo, 74.7%"
Baringo,Adult male,9.6,"Baringo, 9.6%"
Baringo,Female child,4.3,"Baringo, 4.3%"
Baringo,Male child,1.6,"Baringo, 1.6%"
Baringo,Person not in household,9.8,"Baringo, 9.8%"
Laikipia,Population w/o water on premises,37.8,"Laikipia, 37.8%"
Laikipia,Adult female,73.9,"Laikipia, 73.9%"
Laikipia,Adult male,16.8,"Laikipia, 16.8%"
Laikipia,Female child,4,"Laikipia, 4%"
Laikipia,Male child,0.7,"Laikipia, 0.7%"
Laikipia,Person not in household,4.7,"Laikipia, 4.7%"
Nakuru,Population w/o water on premises,40.3,"Nakuru, 40.3%"
Nakuru,Adult female,69.2,"Nakuru, 69.2%"
Nakuru,Adult male,17.7,"Nakuru, 17.7%"
Nakuru,Female child,1.1,"Nakuru, 1.1%"
Nakuru,Male child,3.8,"Nakuru, 3.8%"
Nakuru,Person not in household,8.2,"Nakuru, 8.2%"
Narok,Population w/o water on premises,64.9,"Narok, 64.9%"
Narok,Adult female,80.4,"Narok, 80.4%"
Narok,Adult male,8.2,"Narok, 8.2%"
Narok,Female child,2.3,"Narok, 2.3%"
Narok,Male child,1.3,"Narok, 1.3%"
Narok,Person not in household,7.8,"Narok, 7.8%"
Kajiado,Population w/o water on premises,48.1,"Kajiado, 48.1%"
Kajiado,Adult female,63.9,"Kajiado, 63.9%"
Kajiado,Adult male,12.2,"Kajiado, 12.2%"
Kajiado,Female child,4.5,"Kajiado, 4.5%"
Kajiado,Male child,1.1,"Kajiado, 1.1%"
Kajiado,Person not in household,18.3,"Kajiado, 18.3%"
Kericho,Population w/o water on premises,61.2,"Kericho, 61.2%"
Kericho,Adult female,85.4,"Kericho, 85.4%"
Kericho,Adult male,6,"Kericho, 6%"
Kericho,Female child,2.1,"Kericho, 2.1%"
Kericho,Male child,0.5,"Kericho, 0.5%"
Kericho,Person not in household,6.1,"Kericho, 6.1%"
Bomet,Population w/o water on premises,44.1,"Bomet, 44.1%"
Bomet,Adult female,94.1,"Bomet, 94.1%"
Bomet,Adult male,2.4,"Bomet, 2.4%"
Bomet,Female child,1.6,"Bomet, 1.6%"
Bomet,Male child,0.2,"Bomet, 0.2%"
Bomet,Person not in household,1.7,"Bomet, 1.7%"
Kakamega,Population w/o water on premises,72.6,"Kakamega, 72.6%"
Kakamega,Adult female,75.2,"Kakamega, 75.2%"
Kakamega,Adult male,11.4,"Kakamega, 11.4%"
Kakamega,Female child,6.6,"Kakamega, 6.6%"
Kakamega,Male child,1.7,"Kakamega, 1.7%"
Kakamega,Person not in household,5.1,"Kakamega, 5.1%"
Vihiga,Population w/o water on premises,80.8,"Vihiga, 80.8%"
Vihiga,Adult female,64.4,"Vihiga, 64.4%"
Vihiga,Adult male,13.5,"Vihiga, 13.5%"
Vihiga,Female child,9.1,"Vihiga, 9.1%"
Vihiga,Male child,6,"Vihiga, 6%"
Vihiga,Person not in household,7,"Vihiga, 7%"
Bungoma,Population w/o water on premises,79.7,"Bungoma, 79.7%"
Bungoma,Adult female,64.4,"Bungoma, 64.4%"
Bungoma,Adult male,13.5,"Bungoma, 13.5%"
Bungoma,Female child,9.7,"Bungoma, 9.7%"
Bungoma,Male child,4.8,"Bungoma, 4.8%"
Bungoma,Person not in household,7.6,"Bungoma, 7.6%"
Busia,Population w/o water on premises,80.3,"Busia, 80.3%"
Busia,Adult female,75.5,"Busia, 75.5%"
Busia,Adult male,14.8,"Busia, 14.8%"
Busia,Female child,3.2,"Busia, 3.2%"
Busia,Male child,2.1,"Busia, 2.1%"
Busia,Person not in household,4.4,"Busia, 4.4%"
Siaya,Population w/o water on premises,71.7,"Siaya, 71.7%"
Siaya,Adult female,57.4,"Siaya, 57.4%"
Siaya,Adult male,27,"Siaya, 27%"
Siaya,Female child,3.1,"Siaya, 3.1%"
Siaya,Male child,3.7,"Siaya, 3.7%"
Siaya,Person not in household,8.7,"Siaya, 8.7%"
Kisumu,Population w/o water on premises,55.4,"Kisumu, 55.4%"
Kisumu,Adult female,78.1,"Kisumu, 78.1%"
Kisumu,Adult male,14.3,"Kisumu, 14.3%"
Kisumu,Female child,4,"Kisumu, 4%"
Kisumu,Male child,1.3,"Kisumu, 1.3%"
Kisumu,Person not in household,2.2,"Kisumu, 2.2%"
Homa Bay,Population w/o water on premises,64.1,"Homa Bay, 64.1%"
Homa Bay,Adult female,71.3,"Homa Bay, 71.3%"
Homa Bay,Adult male,12.4,"Homa Bay, 12.4%"
Homa Bay,Female child,5.9,"Homa Bay, 5.9%"
Homa Bay,Male child,3.3,"Homa Bay, 3.3%"
Homa Bay,Person not in household,7.1,"Homa Bay, 7.1%"
Migori,Population w/o water on premises,61.7,"Migori, 61.7%"
Migori,Adult female,84.1,"Migori, 84.1%"
Migori,Adult male,5.5,"Migori, 5.5%"
Migori,Female child,5.2,"Migori, 5.2%"
Migori,Male child,3,"Migori, 3%"
Migori,Person not in household,2.1,"Migori, 2.1%"
Kisii,Population w/o water on premises,88,"Kisii, 88%"
Kisii,Adult female,66.2,"Kisii, 66.2%"
Kisii,Adult male,13.7,"Kisii, 13.7%"
Kisii,Female child,10.4,"Kisii, 10.4%"
Kisii,Male child,5.2,"Kisii, 5.2%"
Kisii,Person not in household,4.4,"Kisii, 4.4%"
Nyamira,Population w/o water on premises,87.2,"Nyamira, 87.2%"
Nyamira,Adult female,56.4,"Nyamira, 56.4%"
Nyamira,Adult male,13,"Nyamira, 13%"
Nyamira,Female child,16.4,"Nyamira, 16.4%"
Nyamira,Male child,8.3,"Nyamira, 8.3%"
Nyamira,Person not in household,6,"Nyamira, 6%"
Nairobi,Population w/o water on premises,26.5,"Nairobi, 26.5%"
Nairobi,Adult female,62.1,"Nairobi, 62.1%"
Nairobi,Adult male,22.8,"Nairobi, 22.8%"
Nairobi,Female child,0.4,"Nairobi, 0.4%"
Nairobi,Male child,1.8,"Nairobi, 1.8%"
Nairobi,Person not in household,12.9,"Nairobi, 12.9%"
