County,Category,Proportion,Names
Mombasa,Use appropriate treatment method,31,"Mombasa, 31%"
Mombasa,Boil,10,"Mombasa, 10%"
Mombasa,Bleach/chlorine,24.2,"Mombasa, 24.2%"
Mombasa,Strain through cloth,0.5,"Mombasa, 0.5%"
Mombasa,Ceramic/sand/other filter,0.4,"Mombasa, 0.4%"
Mombasa,Solar disinfection,0,"Mombasa, 0%"
Mombasa,Stand & settle,0.2,"Mombasa, 0.2%"
Mombasa,Cover container,0,"Mombasa, 0%"
Mombasa,Other,0.3,"Mombasa, 0.3%"
Mombasa,Don't know,0,"Mombasa, 0%"
Mombasa,No treatment,68.4,"Mombasa, 68.4%"
Kwale,Use appropriate treatment method,16.8,"Kwale, 16.8%"
Kwale,Boil,5.2,"Kwale, 5.2%"
Kwale,Bleach/chlorine,14,"Kwale, 14%"
Kwale,Strain through cloth,0.9,"Kwale, 0.9%"
Kwale,Ceramic/sand/other filter,0.1,"Kwale, 0.1%"
Kwale,Solar disinfection,0,"Kwale, 0%"
Kwale,Stand & settle,1.2,"Kwale, 1.2%"
Kwale,Cover container,0,"Kwale, 0%"
Kwale,Other,0,"Kwale, 0%"
Kwale,Don't know,0,"Kwale, 0%"
Kwale,No treatment,81.8,"Kwale, 81.8%"
Kilifi,Use appropriate treatment method,10.3,"Kilifi, 10.3%"
Kilifi,Boil,3.8,"Kilifi, 3.8%"
Kilifi,Bleach/chlorine,6.9,"Kilifi, 6.9%"
Kilifi,Strain through cloth,0.6,"Kilifi, 0.6%"
Kilifi,Ceramic/sand/other filter,0.1,"Kilifi, 0.1%"
Kilifi,Solar disinfection,0,"Kilifi, 0%"
Kilifi,Stand & settle,0.6,"Kilifi, 0.6%"
Kilifi,Cover container,3.3,"Kilifi, 3.3%"
Kilifi,Other,0.1,"Kilifi, 0.1%"
Kilifi,Don't know,0,"Kilifi, 0%"
Kilifi,No treatment,86,"Kilifi, 86%"
Tana River,Use appropriate treatment method,12.8,"Tana River, 12.8%"
Tana River,Boil,0.9,"Tana River, 0.9%"
Tana River,Bleach/chlorine,8.5,"Tana River, 8.5%"
Tana River,Strain through cloth,0.1,"Tana River, 0.1%"
Tana River,Ceramic/sand/other filter,3.7,"Tana River, 3.7%"
Tana River,Solar disinfection,0,"Tana River, 0%"
Tana River,Stand & settle,0,"Tana River, 0%"
Tana River,Cover container,0.1,"Tana River, 0.1%"
Tana River,Other,0,"Tana River, 0%"
Tana River,Don't know,0,"Tana River, 0%"
Tana River,No treatment,87.2,"Tana River, 87.2%"
Lamu,Use appropriate treatment method,19.4,"Lamu, 19.4%"
Lamu,Boil,7.3,"Lamu, 7.3%"
Lamu,Bleach/chlorine,13.6,"Lamu, 13.6%"
Lamu,Strain through cloth,0.5,"Lamu, 0.5%"
Lamu,Ceramic/sand/other filter,0,"Lamu, 0%"
Lamu,Solar disinfection,0,"Lamu, 0%"
Lamu,Stand & settle,1.1,"Lamu, 1.1%"
Lamu,Cover container,0.7,"Lamu, 0.7%"
Lamu,Other,0.5,"Lamu, 0.5%"
Lamu,Don't know,0.2,"Lamu, 0.2%"
Lamu,No treatment,79,"Lamu, 79%"
Taita Taveta,Use appropriate treatment method,28.3,"Taita Taveta, 28.3%"
Taita Taveta,Boil,13.9,"Taita Taveta, 13.9%"
Taita Taveta,Bleach/chlorine,16.8,"Taita Taveta, 16.8%"
Taita Taveta,Strain through cloth,0.2,"Taita Taveta, 0.2%"
Taita Taveta,Ceramic/sand/other filter,0.2,"Taita Taveta, 0.2%"
Taita Taveta,Solar disinfection,0,"Taita Taveta, 0%"
Taita Taveta,Stand & settle,1.7,"Taita Taveta, 1.7%"
Taita Taveta,Cover container,0.6,"Taita Taveta, 0.6%"
Taita Taveta,Other,0.2,"Taita Taveta, 0.2%"
Taita Taveta,Don't know,0,"Taita Taveta, 0%"
Taita Taveta,No treatment,70.3,"Taita Taveta, 70.3%"
Garissa,Use appropriate treatment method,3.1,"Garissa, 3.1%"
Garissa,Boil,2,"Garissa, 2%"
Garissa,Bleach/chlorine,1.7,"Garissa, 1.7%"
Garissa,Strain through cloth,0,"Garissa, 0%"
Garissa,Ceramic/sand/other filter,0,"Garissa, 0%"
Garissa,Solar disinfection,0,"Garissa, 0%"
Garissa,Stand & settle,0,"Garissa, 0%"
