County,Category,Proportion,Names
Mombasa,Appropriate management method,93.7,"Mombasa, 93.7%"
Mombasa,Connected to sewer,16.5,"Mombasa, 16.5%"
Mombasa,Safe disposal from on-site facilities,72.2,"Mombasa, 72.2%"
Mombasa,Unsafe disposal from on-site facilities,0.1,"Mombasa, 0.1%"
Mombasa,Removal for treatment off-site,4.9,"Mombasa, 4.9%"
Mombasa,Improved facilities,0.9,"Mombasa, 0.9%"
Mombasa,Unimproved facilities,4.6,"Mombasa, 4.6%"
Mombasa,Open defecation,0.7,"Mombasa, 0.7%"
Kwale,Appropriate management method,47.8,"Kwale, 47.8%"
Kwale,Connected to sewer,0.1,"Kwale, 0.1%"
Kwale,Safe disposal from on-site facilities,47.4,"Kwale, 47.4%"
Kwale,Unsafe disposal from on-site facilities,1.3,"Kwale, 1.3%"
Kwale,Removal for treatment off-site,0.3,"Kwale, 0.3%"
Kwale,Improved facilities,0,"Kwale, 0%"
Kwale,Unimproved facilities,24.4,"Kwale, 24.4%"
Kwale,Open defecation,26.4,"Kwale, 26.4%"
Kilifi,Appropriate management method,55.4,"Kilifi, 55.4%"
Kilifi,Connected to sewer,0.5,"Kilifi, 0.5%"
Kilifi,Safe disposal from on-site facilities,54.5,"Kilifi, 54.5%"
Kilifi,Unsafe disposal from on-site facilities,0.1,"Kilifi, 0.1%"
Kilifi,Removal for treatment off-site,0.4,"Kilifi, 0.4%"
Kilifi,Improved facilities,0,"Kilifi, 0%"
Kilifi,Unimproved facilities,23.4,"Kilifi, 23.4%"
Kilifi,Open defecation,21,"Kilifi, 21%"
Tana River,Appropriate management method,33.1,"Tana River, 33.1%"
Tana River,Connected to sewer,0.4,"Tana River, 0.4%"
Tana River,Safe disposal from on-site facilities,32.5,"Tana River, 32.5%"
Tana River,Unsafe disposal from on-site facilities,0.2,"Tana River, 0.2%"
Tana River,Removal for treatment off-site,0.2,"Tana River, 0.2%"
Tana River,Improved facilities,0,"Tana River, 0%"
Tana River,Unimproved facilities,11.5,"Tana River, 11.5%"
Tana River,Open defecation,55.2,"Tana River, 55.2%"
Lamu,Appropriate management method,57.6,"Lamu, 57.6%"
Lamu,Connected to sewer,2.2,"Lamu, 2.2%"
Lamu,Safe disposal from on-site facilities,53.6,"Lamu, 53.6%"
Lamu,Unsafe disposal from on-site facilities,1.2,"Lamu, 1.2%"
Lamu,Removal for treatment off-site,1.8,"Lamu, 1.8%"
Lamu,Improved facilities,0.2,"Lamu, 0.2%"
Lamu,Unimproved facilities,25.2,"Lamu, 25.2%"
Lamu,Open defecation,15.8,"Lamu, 15.8%"
Taita Taveta,Appropriate management method,78.1,"Taita Taveta, 78.1%"
Taita Taveta,Connected to sewer,1.9,"Taita Taveta, 1.9%"
Taita Taveta,Safe disposal from on-site facilities,74.1,"Taita Taveta, 74.1%"
Taita Taveta,Unsafe disposal from on-site facilities,0.5,"Taita Taveta, 0.5%"
Taita Taveta,Removal for treatment off-site,2,"Taita Taveta, 2%"
Taita Taveta,Improved facilities,0.6,"Taita Taveta, 0.6%"
Taita Taveta,Unimproved facilities,20.4,"Taita Taveta, 20.4%"
Taita Taveta,Open defecation,0.4,"Taita Taveta, 0.4%"
Garissa,Appropriate management method,79.7,"Garissa, 79.7%"
Garissa,Connected to sewer,21.4,"Garissa, 21.4%"
Garissa,Safe disposal from on-site facilities,57.3,"Garissa, 57.3%"
Garissa,Unsafe disposal from on-site facilities,0,"Garissa, 0%"
Garissa,Removal for treatment off-site,1,"Garissa, 1%"
Garissa,Improved facilities,0,"Garissa, 0%"
Garissa,Unimproved facilities,2.8,"Garissa, 2.8%"
Garissa,Open defecation,17.5,"Garissa, 17.5%"
Wajir,Appropriate management method,31.3,"Wajir, 31.3%"
Wajir,Connected to sewer,1,"Wajir, 1%"
Wajir,Safe disposal from on-site facilities,27.9,"Wajir, 27.9%"
Wajir,Unsafe disposal from on-site facilities,0.7,"Wajir, 0.7%"
Wajir,Removal for treatment off-site,2.5,"Wajir, 2.5%"
Wajir,Improved facilities,0,"Wajir, 0%"
Wajir,Unimproved facilities,27.9,"Wajir, 27.9%"
Wajir,Open defecation,40,"Wajir, 40%"
Mandera,Appropriate management method,71,"Mandera, 71%"
Mandera,Connected to sewer,0.4,"Mandera, 0.4%"
Mandera,Safe disposal from on-site facilities,70.6,"Mandera, 70.6%"
Mandera,Unsafe disposal from on-site facilities,0,"Mandera, 0%"
Mandera,Removal for treatment off-site,0,"Mandera, 0%"
Mandera,Improved facilities,0,"Mandera, 0%"
Mandera,Unimproved facilities,1.9,"Mandera, 1.9%"
Mandera,Open defecation,27.1,"Mandera, 27.1%"
Marsabit,Appropriate management method,52.7,"Marsabit, 52.7%"
Marsabit,Connected to sewer,0,"Marsabit, 0%"
Marsabit,Safe disposal from on-site facilities,52.7,"Marsabit, 52.7%"
Marsabit,Unsafe disposal from on-site facilities,0,"Marsabit, 0%"
Marsabit,Removal for treatment off-site,0,"Marsabit, 0%"
Marsabit,Improved facilities,0,"Marsabit, 0%"
Marsabit,Unimproved facilities,5.5,"Marsabit, 5.5%"
Marsabit,Open defecation,41.8,"Marsabit, 41.8%"
Isiolo,Appropriate management method,61,"Isiolo, 61%"
Isiolo,Connected to sewer,6.3,"Isiolo, 6.3%"
Isiolo,Safe disposal from on-site facilities,52.3,"Isiolo, 52.3%"
Isiolo,Unsafe disposal from on-site facilities,0.3,"Isiolo, 0.3%"
Isiolo,Removal for treatment off-site,2.4,"Isiolo, 2.4%"
Isiolo,Improved facilities,0.3,"Isiolo, 0.3%"
Isiolo,Unimproved facilities,17.6,"Isiolo, 17.6%"
Isiolo,Open defecation,20.8,"Isiolo, 20.8%"
Meru,Appropriate management method,57.4,"Meru, 57.4%"
Meru,Connected to sewer,0.7,"Meru, 0.7%"
Meru,Safe disposal from on-site facilities,55.1,"Meru, 55.1%"
Meru,Unsafe disposal from on-site facilities,0.1,"Meru, 0.1%"
Meru,Removal for treatment off-site,1.6,"Meru, 1.6%"
Meru,Improved facilities,0.3,"Meru, 0.3%"
Meru,Unimproved facilities,41.6,"Meru, 41.6%"
Meru,Open defecation,0.6,"Meru, 0.6%"
Tharaka Nithi,Appropriate management method,62.7,"Tharaka Nithi, 62.7%"
Tharaka Nithi,Connected to sewer,0.6,"Tharaka Nithi, 0.6%"
Tharaka Nithi,Safe disposal from on-site facilities,61.7,"Tharaka Nithi, 61.7%"
Tharaka Nithi,Unsafe disposal from on-site facilities,0.2,"Tharaka Nithi, 0.2%"
Tharaka Nithi,Removal for treatment off-site,0.4,"Tharaka Nithi, 0.4%"
Tharaka Nithi,Improved facilities,0.3,"Tharaka Nithi, 0.3%"
Tharaka Nithi,Unimproved facilities,35.6,"Tharaka Nithi, 35.6%"
Tharaka Nithi,Open defecation,1.1,"Tharaka Nithi, 1.1%"
Embu,Appropriate management method,61.1,"Embu, 61.1%"
Embu,Connected to sewer,3.5,"Embu, 3.5%"
Embu,Safe disposal from on-site facilities,56.3,"Embu, 56.3%"
Embu,Unsafe disposal from on-site facilities,0,"Embu, 0%"
Embu,Removal for treatment off-site,1.4,"Embu, 1.4%"
Embu,Improved facilities,0.4,"Embu, 0.4%"
Embu,Unimproved facilities,38.2,"Embu, 38.2%"
Embu,Open defecation,0.3,"Embu, 0.3%"
Kitui,Appropriate management method,61.5,"Kitui, 61.5%"
Kitui,Connected to sewer,1.8,"Kitui, 1.8%"
Kitui,Safe disposal from on-site facilities,59.6,"Kitui, 59.6%"
Kitui,Unsafe disposal from on-site facilities,0,"Kitui, 0%"
Kitui,Removal for treatment off-site,0.1,"Kitui, 0.1%"
Kitui,Improved facilities,0,"Kitui, 0%"
Kitui,Unimproved facilities,33.3,"Kitui, 33.3%"
Kitui,Open defecation,5.1,"Kitui, 5.1%"
Machakos,Appropriate management method,83.7,"Machakos, 83.7%"
Machakos,Connected to sewer,5.2,"Machakos, 5.2%"
Machakos,Safe disposal from on-site facilities,72.1,"Machakos, 72.1%"
Machakos,Unsafe disposal from on-site facilities,0.2,"Machakos, 0.2%"
Machakos,Removal for treatment off-site,6.4,"Machakos, 6.4%"
Machakos,Improved facilities,0.1,"Machakos, 0.1%"
Machakos,Unimproved facilities,15.6,"Machakos, 15.6%"
Machakos,Open defecation,0.5,"Machakos, 0.5%"
Makueni,Appropriate management method,66.6,"Makueni, 66.6%"
