"County","variable","value"
"Mombasa","Percentage who experienced violence during pregnancy",4
"Kwale","Percentage who experienced violence during pregnancy",0.9
"Kilifi","Percentage who experienced violence during pregnancy",3
"Tana River","Percentage who experienced violence during pregnancy",2.6
"Lamu","Percentage who experienced violence during pregnancy",5.5
"Taita Taveta","Percentage who experienced violence during pregnancy",6.2
"Garissa","Percentage who experienced violence during pregnancy",6.4
"Wajir","Percentage who experienced violence during pregnancy",3.5
"Mandera","Percentage who experienced violence during pregnancy",1.4
"Marsabit","Percentage who experienced violence during pregnancy",2
"Isiolo","Percentage who experienced violence during pregnancy",7.4
"Meru","Percentage who experienced violence during pregnancy",9.1
"Tharaka Nithi","Percentage who experienced violence during pregnancy",9.4
"Embu","Percentage who experienced violence during pregnancy",6
"Kitui","Percentage who experienced violence during pregnancy",1.3
"Machakos","Percentage who experienced violence during pregnancy",4.9
"Makueni","Percentage who experienced violence during pregnancy",1.2
"Nyandarua","Percentage who experienced violence during pregnancy",6.3
"Nyeri","Percentage who experienced violence during pregnancy",6.6
"Kirinyaga","Percentage who experienced violence during pregnancy",7.3
"Muranga","Percentage who experienced violence during pregnancy",11.1
"Kiambu","Percentage who experienced violence during pregnancy",6.1
"Turkana","Percentage who experienced violence during pregnancy",8.3
"West Pokot","Percentage who experienced violence during pregnancy",4.6
"Samburu","Percentage who experienced violence during pregnancy",7.8
"Trans Nzoia","Percentage who experienced violence during pregnancy",6.1
"Uasin Gishu","Percentage who experienced violence during pregnancy",8.7
"Elgeyo Marakwet","Percentage who experienced violence during pregnancy",3.5
"Nandi","Percentage who experienced violence during pregnancy",2.8
"Baringo","Percentage who experienced violence during pregnancy",6.9
"Laikipia","Percentage who experienced violence during pregnancy",9.3
"Nakuru","Percentage who experienced violence during pregnancy",3.7
"Narok","Percentage who experienced violence during pregnancy",11.6
"Kajiado","Percentage who experienced violence during pregnancy",8.1
"Kericho","Percentage who experienced violence during pregnancy",1
"Bomet","Percentage who experienced violence during pregnancy",5.8
"Kakamega","Percentage who experienced violence during pregnancy",6.5
"Vihiga","Percentage who experienced violence during pregnancy",8.4
"Bungoma","Percentage who experienced violence during pregnancy",11.7
"Busia","Percentage who experienced violence during pregnancy",7.4
"Siaya","Percentage who experienced violence during pregnancy",2.9
"Kisumu","Percentage who experienced violence during pregnancy",7.2
"Homa Bay","Percentage who experienced violence during pregnancy",12.2
"Migori","Percentage who experienced violence during pregnancy",7.4
"Kisii","Percentage who experienced violence during pregnancy",13.7
"Nyamira","Percentage who experienced violence during pregnancy",9
"Nairobi","Percentage who experienced violence during pregnancy",6.5
