County,Gender,variable,value
Mombasa,Female,Psychological/emotional violence,19.1
Kwale,Female,Psychological/emotional violence,13.5
Kilifi,Female,Psychological/emotional violence,11.5
Tana River,Female,Psychological/emotional violence,34.4
Lamu,Female,Psychological/emotional violence,29.3
Taita Taveta,Female,Psychological/emotional violence,14.3
Garissa,Female,Psychological/emotional violence,9.2
Wajir,Female,Psychological/emotional violence,6.1
Mandera,Female,Psychological/emotional violence,8.3
Marsabit,Female,Psychological/emotional violence,14.2
Isiolo,Female,Psychological/emotional violence,22.1
Meru,Female,Psychological/emotional violence,29.9
Tharaka Nithi,Female,Psychological/emotional violence,26.6
Embu,Female,Psychological/emotional violence,37.5
Kitui,Female,Psychological/emotional violence,11.3
Machakos,Female,Psychological/emotional violence,17.6
Makueni,Female,Psychological/emotional violence,14.8
Nyandarua,Female,Psychological/emotional violence,14.4
Nyeri,Female,Psychological/emotional violence,24.4
Kirinyaga,Female,Psychological/emotional violence,31.1
Muranga,Female,Psychological/emotional violence,40.6
Kiambu,Female,Psychological/emotional violence,26.1
Turkana,Female,Psychological/emotional violence,15.7
West Pokot,Female,Psychological/emotional violence,15.3
Samburu,Female,Psychological/emotional violence,31.4
Trans Nzoia,Female,Psychological/emotional violence,23.4
Uasin Gishu,Female,Psychological/emotional violence,26
Elgeyo Marakwet,Female,Psychological/emotional violence,21.6
Nandi,Female,Psychological/emotional violence,14.1
Baringo,Female,Psychological/emotional violence,19.9
Laikipia,Female,Psychological/emotional violence,24.2
Nakuru,Female,Psychological/emotional violence,14.7
Narok,Female,Psychological/emotional violence,19.6
Kajiado,Female,Psychological/emotional violence,18.8
Kericho,Female,Psychological/emotional violence,16.9
Bomet,Female,Psychological/emotional violence,13.7
Kakamega,Female,Psychological/emotional violence,24.3
Vihiga,Female,Psychological/emotional violence,26.3
Bungoma,Female,Psychological/emotional violence,36
Busia,Female,Psychological/emotional violence,32.6
Siaya,Female,Psychological/emotional violence,8.6
Kisumu,Female,Psychological/emotional violence,22.4
Homa Bay,Female,Psychological/emotional violence,30.7
Migori,Female,Psychological/emotional violence,38.7
Kisii,Female,Psychological/emotional violence,37.3
Nyamira,Female,Psychological/emotional violence,21.2
Nairobi,Female,Psychological/emotional violence,17.7
Mombasa,Male,Psychological/emotional violence,30.5
Kwale,Male,Psychological/emotional violence,20.4
Kilifi,Male,Psychological/emotional violence,14.8
Tana River,Male,Psychological/emotional violence,2.4
Lamu,Male,Psychological/emotional violence,1.9
Taita Taveta,Male,Psychological/emotional violence,16.5
Garissa,Male,Psychological/emotional violence,0
Wajir,Male,Psychological/emotional violence,4.7
Mandera,Male,Psychological/emotional violence,0
Marsabit,Male,Psychological/emotional violence,23.4
Isiolo,Male,Psychological/emotional violence,14.4
Meru,Male,Psychological/emotional violence,16.5
Tharaka Nithi,Male,Psychological/emotional violence,37.7
Embu,Male,Psychological/emotional violence,8.3
Kitui,Male,Psychological/emotional violence,1.7
Machakos,Male,Psychological/emotional violence,6.8
Makueni,Male,Psychological/emotional violence,9.3
Nyandarua,Male,Psychological/emotional violence,13.9
Nyeri,Male,Psychological/emotional violence,8.5
Kirinyaga,Male,Psychological/emotional violence,0
Muranga,Male,Psychological/emotional violence,40.9
Kiambu,Male,Psychological/emotional violence,29.7
Turkana,Male,Psychological/emotional violence,16.4
West Pokot,Male,Psychological/emotional violence,20.1
Samburu,Male,Psychological/emotional violence,19
Trans Nzoia,Male,Psychological/emotional violence,6.9
Uasin Gishu,Male,Psychological/emotional violence,15.9
Elgeyo Marakwet,Male,Psychological/emotional violence,22.8
Nandi,Male,Psychological/emotional violence,25
Baringo,Male,Psychological/emotional violence,8.6
Laikipia,Male,Psychological/emotional violence,33.9
Nakuru,Male,Psychological/emotional violence,13.8
Narok,Male,Psychological/emotional violence,13.6
Kajiado,Male,Psychological/emotional violence,10.6
Kericho,Male,Psychological/emotional violence,13.2
Bomet,Male,Psychological/emotional violence,13.2
Kakamega,Male,Psychological/emotional violence,6.5
Vihiga,Male,Psychological/emotional violence,25.5
Bungoma,Male,Psychological/emotional violence,40.2
Busia,Male,Psychological/emotional violence,28.4
Siaya,Male,Psychological/emotional violence,54.7
Kisumu,Male,Psychological/emotional violence,10.1
Homa Bay,Male,Psychological/emotional violence,25
Migori,Male,Psychological/emotional violence,12.2
Kisii,Male,Psychological/emotional violence,10.9
Nyamira,Male,Psychological/emotional violence,16.1
