Background characteristics,Category,Gender,variable,value
Age,-19,Female,Psychological/emotional violence,13
Age,-24,Female,Psychological/emotional violence,19.6
Age,-29,Female,Psychological/emotional violence,23.8
Age,-39,Female,Psychological/emotional violence,25
Age,-49,Female,Psychological/emotional violence,22.5
Residence,ban,Female,Psychological/emotional violence,19
Residence,ral,Female,Psychological/emotional violence,24.3
Marital status,ver married,Female,Psychological/emotional violence,11.5
Marital status,Currently has intimate partner,Female,Psychological/emotional violence,11.5
Marital status,Had intimate partner,Female,Psychological/emotional violence,11.5
Marital status,er married,Female,Psychological/emotional violence,25
Marital status,Married/living together,Female,Psychological/emotional violence,25.8
Marital status,Divorced/separated/widowed,Female,Psychological/emotional violence,21.6
Education, education,Female,Psychological/emotional violence,19
Education,imary,Female,Psychological/emotional violence,27.9
Education,condary,Female,Psychological/emotional violence,20.6
Education,re than secondary,Female,Psychological/emotional violence,15.2
Wealth quintile,west,Female,Psychological/emotional violence,24.8
Wealth quintile,cond,Female,Psychological/emotional violence,25.5
Wealth quintile,ddle,Female,Psychological/emotional violence,24.7
Wealth quintile,urth,Female,Psychological/emotional violence,21.5
Wealth quintile,ghest,Female,Psychological/emotional violence,16.8
Age,-19,Male,Psychological/emotional violence,16
Age,-24,Male,Psychological/emotional violence,24.3
Age,-29,Male,Psychological/emotional violence,21.3
Age,-39,Male,Psychological/emotional violence,19.3
Age,-49,Male,Psychological/emotional violence,15.8
Residence,ban,Male,Psychological/emotional violence,22.7
Residence,ral,Male,Psychological/emotional violence,17.2
Marital status,ver married,Male,Psychological/emotional violence,18.4
Marital status,Currently has intimate partner,Male,Psychological/emotional violence,21.1
Marital status,Had intimate partner,Male,Psychological/emotional violence,12.4
Marital status,er married,Male,Psychological/emotional violence,19
Marital status,Married/living together,Male,Psychological/emotional violence,18.1
Marital status,Divorced/separated/widowed,Male,Psychological/emotional violence,26
Education, education,Male,Psychological/emotional violence,11.6
Education,imary,Male,Psychological/emotional violence,19.8
Education,condary,Male,Psychological/emotional violence,20.1
Education,re than secondary,Male,Psychological/emotional violence,18.2
Wealth quintile,west,Male,Psychological/emotional violence,17.3
Wealth quintile,cond,Male,Psychological/emotional violence,18.9
Wealth quintile,ddle,Male,Psychological/emotional violence,17.4
Wealth quintile,urth,Male,Psychological/emotional violence,23.3
Wealth quintile,ghest,Male,Psychological/emotional violence,18.4
Age,-19,Female,Physical violence,9.6
Age,-24,Female,Physical violence,16
Age,-29,Female,Physical violence,18.2
Age,-39,Female,Physical violence,17.9
Age,-49,Female,Physical violence,13.6
Residence,ban,Female,Physical violence,13.8
Residence,ral,Female,Physical violence,17.5
Marital status,ver married,Female,Physical violence,7.1
Marital status,Currently has intimate partner,Female,Physical violence,7.5
Marital status,Had intimate partner,Female,Physical violence,6.4
Marital status,er married,Female,Physical violence,18.4
Marital status,Married/living together,Female,Physical violence,18.4
Marital status,Divorced/separated/widowed,Female,Physical violence,18.6
Education, education,Female,Physical violence,17.3
Education,imary,Female,Physical violence,21.8
Education,condary,Female,Physical violence,15.4
Education,re than secondary,Female,Physical violence,6.3
Wealth quintile,west,Female,Physical violence,22.1
Wealth quintile,cond,Female,Physical violence,19.8
Wealth quintile,ddle,Female,Physical violence,17.6
Wealth quintile,urth,Female,Physical violence,14
Wealth quintile,ghest,Female,Physical violence,10.1
Age,-19,Male,Physical violence,6.4
Age,-24,Male,Physical violence,8.5
Age,-29,Male,Physical violence,5.3
Age,-39,Male,Physical violence,4.3
Age,-49,Male,Physical violence,4.4
Residence,ban,Male,Physical violence,6.4
Residence,ral,Male,Physical violence,4.8
Marital status,ver married,Male,Physical violence,6
Marital status,Currently has intimate partner,Male,Physical violence,6.7
Marital status,Had intimate partner,Male,Physical violence,4.3
Marital status,er married,Male,Physical violence,5.1
Marital status,Married/living together,Male,Physical violence,4.3
Marital status,Divorced/separated/widowed,Male,Physical violence,11.3
Education, education,Male,Physical violence,3.5
Education,imary,Male,Physical violence,5.7
Education,condary,Male,Physical violence,6.8
Education,re than secondary,Male,Physical violence,2.8
Wealth quintile,west,Male,Physical violence,5
Wealth quintile,cond,Male,Physical violence,6.3
Wealth quintile,ddle,Male,Physical violence,5.7
Wealth quintile,urth,Male,Physical violence,4.8
Wealth quintile,ghest,Male,Physical violence,5.3
Age,-19,Female,Sexual violence,6.1
Age,-24,Female,Sexual violence,6.3
Age,-29,Female,Sexual violence,7.5
Age,-39,Female,Sexual violence,7.7
Age,-49,Female,Sexual violence,6.7
Residence,ban,Female,Sexual violence,5.7
Residence,ral,Female,Sexual violence,8
