Background characteristics,Type of violence experienced,variable,value,Gender
Controlling behavior,y controlling behavior,Ever experienced,73.4,Male
Controlling behavior,Is jealous or angry if he talks to other women,Ever experienced,63.8,Male
Controlling behavior,Wrongly accuses him of being unfaithful,Ever experienced,40.3,Male
Controlling behavior,Does not permit him to meet him male friends,Ever experienced,16.1,Male
Controlling behavior,Tries to limit him contact with his family,Ever experienced,6.2,Male
Controlling behavior,Insists on knowing where he is at all times,Ever experienced,39.2,Male
Physical violence,y physical violence,Ever experienced,7.8,Male
Physical violence,"Pushed him, shook him, or threw something at him",Ever experienced,4.7,Male
Physical violence,Slapped him,Ever experienced,3.2,Male
Physical violence,Twisted his arm or pulled his hair,Ever experienced,1.9,Male
Physical violence,Punched him with her fist or with something that could hurt him,Ever experienced,1.6,Male
Physical violence,"Kicked him, dragged him, or beat him up",Ever experienced,0.6,Male
Physical violence,Tried to choke him or burn him on purpose,Ever experienced,0.5,Male
Physical violence,"Attacked him with a knife, gun, or other weapon",Ever experienced,1.1,Male
Sexual violence,y sexual violence,Ever experienced,5.5,Male
Sexual violence,Physically forced him to have sexual intercourse with her when he did not want to,Ever experienced,4.1,Male
Sexual violence,Physically forced him to perform any other sexual acts he did not want to,Ever experienced,1.8,Male
Sexual violence,Forced him with threats or in any other way to perform sexual acts he did not want to,Ever experienced,1.3,Male
Psychological/emotional violence,y psychological/emotional violence,Ever experienced,25.3,Male
Psychological/emotional violence,Said or did something to humiliate him in front of others,Ever experienced,13.7,Male
Psychological/emotional violence,Threatened to hurt or harm him or someone he cared about,Ever experienced,5.5,Male
Psychological/emotional violence,Insulted him or made him feel bad about himself,Ever experienced,14.8,Male
Economic violence,"strict, exploit, or sabotage his ability to acquire or access or maintain economic resources",Ever experienced,5.6,Male
Economic violence, least three forms of controlling behaviors,Ever experienced,28,Male
Economic violence,y form of physical and/or sexual violence,Ever experienced,11,Male
Economic violence,y form of  psychological/emotional or physical or sexual violence,Ever experienced,28.8,Male
Economic violence,"y form of economic, psychological/emotional or physical or sexual violence",Ever experienced,36.2,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ysical violence,Ever experienced,9.8,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,xual violence,Ever experienced,7.2,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ychological/emotional violence,Ever experienced,27.1,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,onomic violence,Ever experienced,12.6,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of physical or sexual violence,Ever experienced,14.1,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of emotional or physical or sexual violence,Ever experienced,31.8,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,"y form of economic, psychological/emotional or physical or sexual violence",Ever experienced,39,Male
Controlling behavior,y controlling behavior,Experienced in the last 12 months,64.1,Male
Controlling behavior,Is jealous or angry if he talks to other women,Experienced in the last 12 months,54,Male
Controlling behavior,Wrongly accuses him of being unfaithful,Experienced in the last 12 months,33.3,Male
