"Background characteristics","Type of violence experienced","variable","value"
"Controlling behavior","Any controlling behavior","Ever experienced","73.4"
"Controlling behavior","..Is jealous or angry if he talks to other women","Ever experienced","63.8"
"Controlling behavior","..Wrongly accuses him of being unfaithful","Ever experienced","40.3"
"Controlling behavior","..Does not permit him to meet him male friends","Ever experienced","16.1"
"Controlling behavior","..Tries to limit him contact with his family","Ever experienced","6.2"
"Controlling behavior","..Insists on knowing where he is at all times","Ever experienced","39.2"
"Physical violence","Any physical violence","Ever experienced","7.8"
"Physical violence","..Pushed him, shook him, or threw something at him","Ever experienced","4.7"
"Physical violence","..Slapped him","Ever experienced","3.2"
"Physical violence","..Twisted his arm or pulled his hair","Ever experienced","1.9"
"Physical violence","..Punched him with her fist or with something that could hurt him","Ever experienced","1.6"
"Physical violence","..Kicked him, dragged him, or beat him up","Ever experienced","0.6"
"Physical violence","..Tried to choke him or burn him on purpose","Ever experienced","0.5"
"Physical violence","..Attacked him with a knife, gun, or other weapon","Ever experienced","1.1"
"Sexual violence","Any sexual violence","Ever experienced","5.5"
"Sexual violence","..Physically forced him to have sexual intercourse with her when he did not want to","Ever experienced","4.1"
"Sexual violence","..Physically forced him to perform any other sexual acts he did not want to","Ever experienced","1.8"
"Sexual violence","..Forced him with threats or in any other way to perform sexual acts he did not want to","Ever experienced","1.3"
"Psychological/emotional violence","Any psychological/emotional violence","Ever experienced","25.3"
"Psychological/emotional violence","..Said or did something to humiliate him in front of others","Ever experienced","13.7"
"Psychological/emotional violence","..Threatened to hurt or harm him or someone he cared about","Ever experienced","5.5"
"Psychological/emotional violence","..Insulted him or made him feel bad about himself","Ever experienced","14.8"
"Economic violence","Restrict, exploit, or sabotage his ability to acquire or access or maintain economic resources","Ever experienced","5.6"
"Economic violence","At least three forms of controlling behaviors","Ever experienced","28.0"
"Economic violence","Any form of physical and/or sexual violence","Ever experienced","11.0"
"Economic violence","Any form of  psychological/emotional or physical or sexual violence","Ever experienced","28.8"
"Economic violence","Any form of economic, psychological/emotional or physical or sexual violence","Ever experienced","36.2"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Physical violence","Ever experienced","9.8"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Sexual violence","Ever experienced","7.2"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Psychological/emotional violence","Ever experienced","27.1"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Economic violence","Ever experienced","12.6"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of physical or sexual violence","Ever experienced","14.1"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of emotional or physical or sexual violence","Ever experienced","31.8"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of economic, psychological/emotional or physical or sexual violence","Ever experienced","39.0"
"Controlling behavior","Any controlling behavior","Experienced in the last 12 months","64.1"
"Controlling behavior","..Is jealous or angry if he talks to other women","Experienced in the last 12 months","54.0"
"Controlling behavior","..Wrongly accuses him of being unfaithful","Experienced in the last 12 months","33.3"
"Controlling behavior","..Does not permit him to meet him male friends","Experienced in the last 12 months","14.1"
"Controlling behavior","..Tries to limit him contact with his family","Experienced in the last 12 months","5.0"
"Controlling behavior","..Insists on knowing where he is at all times","Experienced in the last 12 months","34.4"
"Physical violence","Any physical violence","Experienced in the last 12 months","5.5"
"Physical violence","..Pushed him, shook him, or threw something at him","Experienced in the last 12 months","3.2"
"Physical violence","..Slapped him","Experienced in the last 12 months","2.0"
"Physical violence","..Twisted his arm or pulled his hair","Experienced in the last 12 months","1.4"
"Physical violence","..Punched him with her fist or with something that could hurt him","Experienced in the last 12 months","1.0"
"Physical violence","..Kicked him, dragged him, or beat him up","Experienced in the last 12 months","0.5"
"Physical violence","..Tried to choke him or burn him on purpose","Experienced in the last 12 months","0.4"
"Physical violence","..Attacked him with a knife, gun, or other weapon","Experienced in the last 12 months","0.5"
"Sexual violence","Any sexual violence","Experienced in the last 12 months","4.3"
"Sexual violence","..Physically forced him to have sexual intercourse with her when he did not want to","Experienced in the last 12 months","3.1"
"Sexual violence","..Physically forced him to perform any other sexual acts he did not want to","Experienced in the last 12 months","1.5"
"Sexual violence","..Forced him with threats or in any other way to perform sexual acts he did not want to","Experienced in the last 12 months","1.0"
"Psychological/emotional violence","Any psychological/emotional violence","Experienced in the last 12 months","19.3"
"Psychological/emotional violence","..Said or did something to humiliate him in front of others","Experienced in the last 12 months","10.1"
"Psychological/emotional violence","..Threatened to hurt or harm him or someone he cared about","Experienced in the last 12 months","3.4"
"Psychological/emotional violence","..Insulted him or made him feel bad about himself","Experienced in the last 12 months","11.0"
"Economic violence","Restrict, exploit, or sabotage his ability to acquire or access or maintain economic resources","Experienced in the last 12 months","1.5"
"Economic violence","At least three forms of controlling behaviors","Experienced in the last 12 months","25.4"
"Economic violence","Any form of physical and/or sexual violence","Experienced in the last 12 months","7.9"
"Economic violence","Any form of  psychological/emotional or physical or sexual violence","Experienced in the last 12 months","21.9"
"Economic violence","Any form of economic, psychological/emotional or physical or sexual violence","Experienced in the last 12 months","27.8"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Physical violence","Experienced in the last 12 months","5.4"
