Category,Gender,variable,value
Current intimate partner (husband/wife),Female,Ever-married/ ever had intimate partner,53.9
Former intimate partner (husband/wife),Female,Ever-married/ ever had intimate partner,33.7
Current boyfriend,Female,Ever-married/ ever had intimate partner,0.2
Former boyfriend,Female,Ever-married/ ever had intimate partner,2.2
Father/step-father,Female,Ever-married/ ever had intimate partner,5.2
Mother/step-mother,Female,Ever-married/ ever had intimate partner,8.1
Sister/brother,Female,Ever-married/ ever had intimate partner,3.3
Daughter/son,Female,Ever-married/ ever had intimate partner,0.1
Other relative,Female,Ever-married/ ever had intimate partner,2.6
Mother-in-law,Female,Ever-married/ ever had intimate partner,0.2
Father-in-law,Female,Ever-married/ ever had intimate partner,0.1
Other in-law,Female,Ever-married/ ever had intimate partner,1
Teacher,Female,Ever-married/ ever had intimate partner,5.8
Schoolmate/classmate,Female,Ever-married/ ever had intimate partner,1.8
Employer/someone at work,Female,Ever-married/ ever had intimate partner,0.4
Police/soldier,Female,Ever-married/ ever had intimate partner,0.3
Other,Female,Ever-married/ ever had intimate partner,2.7
Current intimate partner (husband/wife),Male,Ever-married/ ever had intimate partner,19.8
Former intimate partner (husband/wife),Male,Ever-married/ ever had intimate partner,19.3
Current girlfriend,Male,Ever-married/ ever had intimate partner,0.3
Former girlfriend,Male,Ever-married/ ever had intimate partner,1.5
Father/step-father,Male,Ever-married/ ever had intimate partner,13.1
Mother/step-mother,Male,Ever-married/ ever had intimate partner,8
Sister/brother,Male,Ever-married/ ever had intimate partner,3.4
Daughter/son,Male,Ever-married/ ever had intimate partner,0
Other relative,Male,Ever-married/ ever had intimate partner,5.7
Mother-in-law,Male,Ever-married/ ever had intimate partner,0.1
Father-in-law,Male,Ever-married/ ever had intimate partner,0
Other in-law,Male,Ever-married/ ever had intimate partner,0.9
Teacher,Male,Ever-married/ ever had intimate partner,27.9
Schoolmate/classmate,Male,Ever-married/ ever had intimate partner,16.3
Employer/someone at work,Male,Ever-married/ ever had intimate partner,5.4
Police/soldier,Male,Ever-married/ ever had intimate partner,6.6
Other,Male,Ever-married/ ever had intimate partner,22.5
Current intimate partner (husband/wife),Female,Never married/never had intimate partner,NA
Former intimate partner (husband/wife),Female,Never married/never had intimate partner,NA
Current boyfriend,Female,Never married/never had intimate partner,0
Former boyfriend,Female,Never married/never had intimate partner,3.2
Father/step-father,Female,Never married/never had intimate partner,16.8
Mother/step-mother,Female,Never married/never had intimate partner,24.8
Sister/brother,Female,Never married/never had intimate partner,10.9
Daughter/son,Female,Never married/never had intimate partner,0
Other relative,Female,Never married/never had intimate partner,9.9
Mother-in-law,Female,Never married/never had intimate partner,NA
Father-in-law,Female,Never married/never had intimate partner,NA
Other in-law,Female,Never married/never had intimate partner,NA
Teacher,Female,Never married/never had intimate partner,32.5
Schoolmate/classmate,Female,Never married/never had intimate partner,14.3
Employer/someone at work,Female,Never married/never had intimate partner,0
Police/soldier,Female,Never married/never had intimate partner,0.9
Other,Female,Never married/never had intimate partner,5
Current intimate partner (husband/wife),Male,Never married/never had intimate partner,NA
Former intimate partner (husband/wife),Male,Never married/never had intimate partner,NA
Current girlfriend,Male,Never married/never had intimate partner,0
Former girlfriend,Male,Never married/never had intimate partner,0
Father/step-father,Male,Never married/never had intimate partner,13.5
Mother/step-mother,Male,Never married/never had intimate partner,13.9
Sister/brother,Male,Never married/never had intimate partner,7.3
Daughter/son,Male,Never married/never had intimate partner,0
Other relative,Male,Never married/never had intimate partner,7.9
Mother-in-law,Male,Never married/never had intimate partner,NA
Father-in-law,Male,Never married/never had intimate partner,NA
Other in-law,Male,Never married/never had intimate partner,NA
Teacher,Male,Never married/never had intimate partner,46.2
Schoolmate/classmate,Male,Never married/never had intimate partner,22.3
Employer/someone at work,Male,Never married/never had intimate partner,0.5
Police/soldier,Male,Never married/never had intimate partner,0.7
Other,Male,Never married/never had intimate partner,18.9
