"County","Gender","variable","value"
"Mombasa","Female","Ever","3.0"
"Kwale","Female","Ever","0.3"
"Kilifi","Female","Ever","2.4"
"Tana River","Female","Ever","0.6"
"Lamu","Female","Ever","7.6"
"Taita Taveta","Female","Ever","2.8"
"Garissa","Female","Ever","0.4"
"Wajir","Female","Ever","0.9"
"Mandera","Female","Ever","0.3"
"Marsabit","Female","Ever","0.5"
"Isiolo","Female","Ever","4.7"
"Meru","Female","Ever","2.6"
"Tharaka Nithi","Female","Ever","5.7"
"Embu","Female","Ever","2.3"
"Kitui","Female","Ever","0.1"
"Machakos","Female","Ever","2.2"
"Makueni","Female","Ever","1.2"
"Nyandarua","Female","Ever","1.0"
"Nyeri","Female","Ever","2.4"
"Kirinyaga","Female","Ever","3.6"
"Muranga","Female","Ever","10.7"
"Kiambu","Female","Ever","6.2"
"Turkana","Female","Ever","8.7"
"West Pokot","Female","Ever","3.4"
"Samburu","Female","Ever","0.6"
"Trans Nzoia","Female","Ever","1.2"
"Uasin Gishu","Female","Ever","2.6"
"Elgeyo Marakwet","Female","Ever","2.0"
"Nandi","Female","Ever","1.0"
"Baringo","Female","Ever","3.6"
"Laikipia","Female","Ever","2.5"
"Nakuru","Female","Ever","1.0"
"Narok","Female","Ever","0.7"
"Kajiado","Female","Ever","3.9"
"Kericho","Female","Ever","0.0"
"Bomet","Female","Ever","0.2"
"Kakamega","Female","Ever","3.4"
"Vihiga","Female","Ever","2.0"
"Bungoma","Female","Ever","3.3"
"Busia","Female","Ever","2.5"
"Siaya","Female","Ever","2.2"
"Kisumu","Female","Ever","2.4"
"Homa Bay","Female","Ever","2.2"
"Migori","Female","Ever","2.8"
"Kisii","Female","Ever","2.1"
"Nyamira","Female","Ever","0.1"
"Nairobi","Female","Ever","2.7"
"Mombasa","Male","Ever","25.3"
"Kwale","Male","Ever","18.7"
"Kilifi","Male","Ever","7.9"
"Tana River","Male","Ever","0.0"
"Lamu","Male","Ever","3.7"
"Taita Taveta","Male","Ever","13.3"
"Garissa","Male","Ever","0.0"
"Wajir","Male","Ever","0.0"
"Mandera","Male","Ever","0.0"
"Marsabit","Male","Ever","46.2"
"Isiolo","Male","Ever","34.6"
"Meru","Male","Ever","24.3"
"Tharaka Nithi","Male","Ever","32.7"
"Embu","Male","Ever","45.8"
"Kitui","Male","Ever","0.8"
"Machakos","Male","Ever","19.7"
"Makueni","Male","Ever","0.8"
"Nyandarua","Male","Ever","32.1"
"Nyeri","Male","Ever","22.8"
"Kirinyaga","Male","Ever","0.0"
