"Background characteristics","Category","Gender","variable","value"
"Respondents who have experienced physical intimate-partner violence","Ever1","Female","Ever","7.1"
"Respondents who have experienced physical intimate-partner violence","In the last 12 months","Female","Ever","7.6"
"Respondents who have experienced physical intimate-partner violence","Never","Female","Ever","1.0"
"Age","15-19","Female","Ever","1.4"
"Age","20-24","Female","Ever","3.5"
"Age","25-29","Female","Ever","2.7"
"Age","30-39","Female","Ever","2.8"
"Age","40-49","Female","Ever","2.2"
"Residence","Urban","Female","Ever","3.2"
"Residence","Rural","Female","Ever","2.4"
"Marital status","Never married","Female","Ever","2.2"
"Marital status","..Currently has intimate partner","Female","Ever","1.5"
"Marital status","..Had intimate partner","Female","Ever","3.4"
"Marital status","Ever married","Female","Ever","2.8"
"Marital status","..Married/living together","Female","Ever","2.4"
"Marital status","..Divorced/separated/widowed","Female","Ever","4.8"
"Employment","Employed for cash","Female","Ever","3.0"
"Employment","Employed not for cash","Female","Ever","2.0"
"Employment","Not employed","Female","Ever","2.4"
"Education","No education","Female","Ever","1.9"
"Education","Primary","Female","Ever","2.5"
"Education","Secondary","Female","Ever","2.8"
"Education","More than secondary","Female","Ever","3.1"
"Wealth quintile","Lowest","Female","Ever","2.4"
"Wealth quintile","Second","Female","Ever","1.7"
"Wealth quintile","Middle","Female","Ever","2.7"
"Wealth quintile","Fourth","Female","Ever","3.3"
"Wealth quintile","Highest","Female","Ever","2.9"
"Total","Total","Female","Ever","2.7"
"Respondents who have experienced physical intimate-partner violence","Ever1","Male","Ever","52.3"
"Respondents who have experienced physical intimate-partner violence","In the last 12 months","Male","Ever","52.0"
"Respondents who have experienced physical intimate-partner violence","Never","Male","Ever","17.1"
"Age","15-19","Male","Ever","6.0"
"Age","20-24","Male","Ever","13.3"
"Age","25-29","Male","Ever","16.6"
"Age","30-39","Male","Ever","23.6"
"Age","40-49","Male","Ever","25.4"
"Residence","Urban","Male","Ever","18.9"
"Residence","Rural","Male","Ever","19.4"
"Marital status","Never married","Male","Ever","6.5"
"Marital status","..Currently has intimate partner","Male","Ever","5.9"
"Marital status","..Had intimate partner","Male","Ever","7.9"
"Marital status","Ever married","Male","Ever","25.4"
"Marital status","..Married/living together","Male","Ever","23.9"
"Marital status","..Divorced/separated/widowed","Male","Ever","36.6"
"Employment","Employed for cash","Male","Ever","20.7"
"Employment","Employed not for cash","Male","Ever","14.4"
"Employment","Not employed","Male","Ever","7.5"
"Education","No education","Male","Ever","18.6"
"Education","Primary","Male","Ever","24.9"
"Education","Secondary","Male","Ever","15.9"
"Education","More than secondary","Male","Ever","15.0"
"Wealth quintile","Lowest","Male","Ever","24.6"
"Wealth quintile","Second","Male","Ever","20.8"
"Wealth quintile","Middle","Male","Ever","18.0"
"Wealth quintile","Fourth","Male","Ever","18.2"
"Wealth quintile","Highest","Male","Ever","16.2"
"Total","Total","Male","Ever","19.8"
"Respondents who have experienced physical intimate-partner violence","Ever1","Female","Last 12 months","4.4"
"Respondents who have experienced physical intimate-partner violence","In the last 12 months","Female","Last 12 months","7.1"
"Respondents who have experienced physical intimate-partner violence","Never","Female","Last 12 months","0.7"
"Age","15-19","Female","Last 12 months","1.4"
"Age","20-24","Female","Last 12 months","2.7"
"Age","25-29","Female","Last 12 months","1.9"
"Age","30-39","Female","Last 12 months","1.5"
"Age","40-49","Female","Last 12 months","1.2"
"Residence","Urban","Female","Last 12 months","2.1"
"Residence","Rural","Female","Last 12 months","1.5"
"Marital status","Never married","Female","Last 12 months","1.7"
"Marital status","..Currently has intimate partner","Female","Last 12 months","1.2"
"Marital status","..Had intimate partner","Female","Last 12 months","2.5"
"Marital status","Ever married","Female","Last 12 months","1.8"
"Marital status","..Married/living together","Female","Last 12 months","1.8"
"Marital status","..Divorced/separated/widowed","Female","Last 12 months","1.8"
"Employment","Employed for cash","Female","Last 12 months","1.8"
"Employment","Employed not for cash","Female","Last 12 months","1.2"
"Employment","Not employed","Female","Last 12 months","1.8"
"Education","No education","Female","Last 12 months","1.4"
"Education","Primary","Female","Last 12 months","1.6"
"Education","Secondary","Female","Last 12 months","2.0"
"Education","More than secondary","Female","Last 12 months","1.8"
"Wealth quintile","Lowest","Female","Last 12 months","1.6"
"Wealth quintile","Second","Female","Last 12 months","1.2"
"Wealth quintile","Middle","Female","Last 12 months","1.6"
"Wealth quintile","Fourth","Female","Last 12 months","2.2"
"Wealth quintile","Highest","Female","Last 12 months","1.9"
"Total","Total","Female","Last 12 months","1.8"
"Respondents who have experienced physical intimate-partner violence","Ever1","Male","Last 12 months","34.7"
"Respondents who have experienced physical intimate-partner violence","In the last 12 months","Male","Last 12 months","47.9"
"Respondents who have experienced physical intimate-partner violence","Never","Male","Last 12 months","8.3"
"Age","15-19","Male","Last 12 months","5.3"
"Age","20-24","Male","Last 12 months","11.1"
"Age","25-29","Male","Last 12 months","11.2"
"Age","30-39","Male","Last 12 months","12.5"
"Age","40-49","Male","Last 12 months","8.6"
"Residence","Urban","Male","Last 12 months","11.4"
"Residence","Rural","Male","Last 12 months","9.7"
"Marital status","Never married","Male","Last 12 months","4.8"
"Marital status","..Currently has intimate partner","Male","Last 12 months","5.0"
"Marital status","..Had intimate partner","Male","Last 12 months","4.4"
"Marital status","Ever married","Male","Last 12 months","12.7"
"Marital status","..Married/living together","Male","Last 12 months","12.4"
"Marital status","..Divorced/separated/widowed","Male","Last 12 months","15.0"
"Employment","Employed for cash","Male","Last 12 months","11.2"
"Employment","Employed not for cash","Male","Last 12 months","6.7"
"Employment","Not employed","Male","Last 12 months","4.7"
"Education","No education","Male","Last 12 months","11.5"
"Education","Primary","Male","Last 12 months","13.0"
"Education","Secondary","Male","Last 12 months","8.5"
"Education","More than secondary","Male","Last 12 months","8.8"
"Wealth quintile","Lowest","Male","Last 12 months","15.5"
"Wealth quintile","Second","Male","Last 12 months","10.3"
"Wealth quintile","Middle","Male","Last 12 months","9.5"
"Wealth quintile","Fourth","Male","Last 12 months","10.1"
"Wealth quintile","Highest","Male","Last 12 months","8.2"
"Total","Total","Male","Last 12 months","10.4"
