Background characteristics,Category,Gender,variable,value
Respondents who have experienced physical intimate-partner violence,Ever*,Female,Ever,7.1
Respondents who have experienced physical intimate-partner violence,In the last 12 months,Female,Ever,7.6
Respondents who have experienced physical intimate-partner violence,Never,Female,Ever,1
Age,15-19,Female,Ever,1.4
Age,20-24,Female,Ever,3.5
Age,25-29,Female,Ever,2.7
Age,30-39,Female,Ever,2.8
Age,40-49,Female,Ever,2.2
Residence,Urban,Female,Ever,3.2
Residence,Rural,Female,Ever,2.4
Marital status,Never married,Female,Ever,2.2
Marital status,Currently has intimate partner,Female,Ever,1.5
Marital status,Had intimate partner,Female,Ever,3.4
Marital status,Ever married,Female,Ever,2.8
Marital status,Married/living together,Female,Ever,2.4
Marital status,Divorced/separated/widowed,Female,Ever,4.8
Employment,Employed for cash,Female,Ever,3
Employment,Employed not for cash,Female,Ever,2
Employment,Not employed,Female,Ever,2.4
Education,No education,Female,Ever,1.9
Education,Primary,Female,Ever,2.5
Education,Secondary,Female,Ever,2.8
Education,More than secondary,Female,Ever,3.1
Wealth quintile,Lowest,Female,Ever,2.4
Wealth quintile,Second,Female,Ever,1.7
Wealth quintile,Middle,Female,Ever,2.7
Wealth quintile,Fourth,Female,Ever,3.3
Wealth quintile,Highest,Female,Ever,2.9
Total,Total,Female,Ever,2.7
Respondents who have experienced physical intimate-partner violence,Ever*,Male,Ever,52.3
Respondents who have experienced physical intimate-partner violence,In the last 12 months,Male,Ever,52
Respondents who have experienced physical intimate-partner violence,Never,Male,Ever,17.1
Age,15-19,Male,Ever,6
Age,20-24,Male,Ever,13.3
Age,25-29,Male,Ever,16.6
Age,30-39,Male,Ever,23.6
Age,40-49,Male,Ever,25.4
Residence,Urban,Male,Ever,18.9
Residence,Rural,Male,Ever,19.4
Marital status,Never married,Male,Ever,6.5
Marital status,Currently has intimate partner,Male,Ever,5.9
Marital status,Had intimate partner,Male,Ever,7.9
Marital status,Ever married,Male,Ever,25.4
Marital status,Married/living together,Male,Ever,23.9
Marital status,Divorced/separated/widowed,Male,Ever,36.6
Employment,Employed for cash,Male,Ever,20.7
Employment,Employed not for cash,Male,Ever,14.4
Employment,Not employed,Male,Ever,7.5
Education,No education,Male,Ever,18.6
Education,Primary,Male,Ever,24.9
Education,Secondary,Male,Ever,15.9
Education,More than secondary,Male,Ever,15
Wealth quintile,Lowest,Male,Ever,24.6
Wealth quintile,Second,Male,Ever,20.8
Wealth quintile,Middle,Male,Ever,18
Wealth quintile,Fourth,Male,Ever,18.2
Wealth quintile,Highest,Male,Ever,16.2
Total,Total,Male,Ever,19.8
Respondents who have experienced physical intimate-partner violence,Ever*,Female,Last 12 months,4.4
Respondents who have experienced physical intimate-partner violence,In the last 12 months,Female,Last 12 months,7.1
Respondents who have experienced physical intimate-partner violence,Never,Female,Last 12 months,0.7
Age,15-19,Female,Last 12 months,1.4
Age,20-24,Female,Last 12 months,2.7
Age,25-29,Female,Last 12 months,1.9
Age,30-39,Female,Last 12 months,1.5
Age,40-49,Female,Last 12 months,1.2
Residence,Urban,Female,Last 12 months,2.1
Residence,Rural,Female,Last 12 months,1.5
Marital status,Never married,Female,Last 12 months,1.7
Marital status,Currently has intimate partner,Female,Last 12 months,1.2
Marital status,Had intimate partner,Female,Last 12 months,2.5
Marital status,Ever married,Female,Last 12 months,1.8
Marital status,Married/living together,Female,Last 12 months,1.8
Marital status,Divorced/separated/widowed,Female,Last 12 months,1.8
Employment,Employed for cash,Female,Last 12 months,1.8
Employment,Employed not for cash,Female,Last 12 months,1.2
Employment,Not employed,Female,Last 12 months,1.8
Education,No education,Female,Last 12 months,1.4
Education,Primary,Female,Last 12 months,1.6
Education,Secondary,Female,Last 12 months,2
Education,More than secondary,Female,Last 12 months,1.8
Wealth quintile,Lowest,Female,Last 12 months,1.6
Wealth quintile,Second,Female,Last 12 months,1.2
Wealth quintile,Middle,Female,Last 12 months,1.6
Wealth quintile,Fourth,Female,Last 12 months,2.2
Wealth quintile,Highest,Female,Last 12 months,1.9
Total,Total,Female,Last 12 months,1.8
Respondents who have experienced physical intimate-partner violence,Ever*,Male,Last 12 months,34.7
Respondents who have experienced physical intimate-partner violence,In the last 12 months,Male,Last 12 months,47.9
Respondents who have experienced physical intimate-partner violence,Never,Male,Last 12 months,8.3
Age,15-19,Male,Last 12 months,5.3
Age,20-24,Male,Last 12 months,11.1
Age,25-29,Male,Last 12 months,11.2
Age,30-39,Male,Last 12 months,12.5
Age,40-49,Male,Last 12 months,8.6
Residence,Urban,Male,Last 12 months,11.4
Residence,Rural,Male,Last 12 months,9.7
Marital status,Never married,Male,Last 12 months,4.8
Marital status,Currently has intimate partner,Male,Last 12 months,5
Marital status,Had intimate partner,Male,Last 12 months,4.4
Marital status,Ever married,Male,Last 12 months,12.7
Marital status,Married/living together,Male,Last 12 months,12.4
Marital status,Divorced/separated/widowed,Male,Last 12 months,15
Employment,Employed for cash,Male,Last 12 months,11.2
Employment,Employed not for cash,Male,Last 12 months,6.7
Employment,Not employed,Male,Last 12 months,4.7
Education,No education,Male,Last 12 months,11.5
Education,Primary,Male,Last 12 months,13
Education,Secondary,Male,Last 12 months,8.5
Education,More than secondary,Male,Last 12 months,8.8
Wealth quintile,Lowest,Male,Last 12 months,15.5
Wealth quintile,Second,Male,Last 12 months,10.3
Wealth quintile,Middle,Male,Last 12 months,9.5
Wealth quintile,Fourth,Male,Last 12 months,10.1
Wealth quintile,Highest,Male,Last 12 months,8.2
Total,Total,Male,Last 12 months,10.4
Spouse's/intimate partner's alcohol consumption,Does not drink alcohol,Female,Ever*,1.4
Spouse's/intimate partner's alcohol consumption,Drinks alcohol but is never drunk,Female,Ever*,4.5
Spouse's/intimate partner's alcohol consumption,Is sometimes drunk,Female,Ever*,5.6
Spouse's/intimate partner's alcohol consumption,Is often drunk,Female,Ever*,6.2
Husband's education,No education,Female,Ever*,3
Husband's education,Primary,Female,Ever*,2.6
Husband's education,Secondary,Female,Ever*,1.9
Husband's education,More than secondary,Female,Ever*,2.7
Husband's education,DK/missing,Female,Ever*,6
Spousal education difference,Husband better educated,Female,Ever*,2
Spousal education difference,Wife better educated,Female,Ever*,3.8
Spousal education difference,Both equally educated,Female,Ever*,1.9
Spousal education difference,Neither educated,Female,Ever*,1.7
Spousal age difference,Wife older,Female,Ever*,3.5
Spousal age difference,Wife is same age,Female,Ever*,5.7
Spousal age difference,Wife 1-4 years younger,Female,Ever*,2.7
Spousal age difference,Wife 5-9 years younger,Female,Ever*,1.8
Spousal age difference,Wife 10 or more years younger,Female,Ever*,1.9
Number of decisions in which he/she participates,0,Female,Ever*,1.7
Number of decisions in which he/she participates,1,Female,Ever*,2
Number of decisions in which he/she participates,2,Female,Ever*,2.6
Number of controlling behaviors displayed by spouse/intimate partner,0,Female,Ever*,0.9
Number of controlling behaviors displayed by spouse/intimate partner,1-2,Female,Ever*,2.3
Number of controlling behaviors displayed by spouse/intimate partner,3-4,Female,Ever*,5.9
Number of controlling behaviors displayed by spouse/intimate partner,5,Female,Ever*,11.4
Number of reasons for which wife beating is justified,0,Female,Ever*,2.5
Number of reasons for which wife beating is justified,1,Female,Ever*,3
Number of reasons for which wife beating is justified,2,Female,Ever*,2.9
Number of reasons for which wife beating is justified,3,Female,Ever*,3
Father beat mother,Yes,Female,Ever*,4
Father beat mother,No,Female,Ever*,1.7
Father beat mother,Don't know,Female,Ever*,6.2
Mother beat father,Yes,Female,Ever*,14.1
Mother beat father,No,Female,Ever*,2.1
Mother beat father,Don't know,Female,Ever*,6.2
Respondent afraid of spouse/intimate partner,Most of the time afraid,Female,Ever*,3.3
Respondent afraid of spouse/intimate partner,Sometimes afraid,Female,Ever*,4.4
Respondent afraid of spouse/intimate partner,Never afraid,Female,Ever*,2.1
Spouse's/intimate partner's alcohol consumption,Does not drink alcohol,Male,Ever*,18.2
Spouse's/intimate partner's alcohol consumption,Drinks alcohol but is never drunk,Male,Ever*,23.6
Spouse's/intimate partner's alcohol consumption,Is sometimes drunk,Male,Ever*,37.7
Spouse's/intimate partner's alcohol consumption,Is often drunk,Male,Ever*,43
Number of decisions in which he/she participates,0,Male,Ever*,16.3
Number of decisions in which he/she participates,1,Male,Ever*,23.8
Number of controlling behaviors displayed by spouse/intimate partner,0,Male,Ever*,9.2
Number of controlling behaviors displayed by spouse/intimate partner,1-2,Male,Ever*,18.1
Number of controlling behaviors displayed by spouse/intimate partner,3-4,Male,Ever*,30.6
Number of controlling behaviors displayed by spouse/intimate partner,5,Male,Ever*,28.4
Number of reasons for which wife beating is justified,0,Male,Ever*,13.4
Number of reasons for which wife beating is justified,1,Male,Ever*,33.9
Number of reasons for which wife beating is justified,2,Male,Ever*,34.3
Number of reasons for which wife beating is justified,3,Male,Ever*,25.5
Father beat mother,Yes,Male,Ever*,29.8
Father beat mother,No,Male,Ever*,12.1
Father beat mother,Don't know,Male,Ever*,17.7
Mother beat father,Yes,Male,Ever*,27.1
Mother beat father,No,Male,Ever*,19
Mother beat father,Don't know,Male,Ever*,18.4
Respondent afraid of spouse/intimate partner,Most of the time afraid,Male,Ever*,43.6
Respondent afraid of spouse/intimate partner,Sometimes afraid,Male,Ever*,33.3
Respondent afraid of spouse/intimate partner,Never afraid,Male,Ever*,17.9
Spouse's/intimate partner's alcohol consumption,Does not drink alcohol,Female,Last 12 months,0.8
Spouse's/intimate partner's alcohol consumption,Drinks alcohol but is never drunk,Female,Last 12 months,2.3
Spouse's/intimate partner's alcohol consumption,Is sometimes drunk,Female,Last 12 months,3.6
Spouse's/intimate partner's alcohol consumption,Is often drunk,Female,Last 12 months,4.7
Husband's education,No education,Female,Last 12 months,1.7
Husband's education,Primary,Female,Last 12 months,2
Husband's education,Secondary,Female,Last 12 months,1.6
Husband's education,More than secondary,Female,Last 12 months,1.5
Husband's education,DK/missing,Female,Last 12 months,4.8
Spousal education difference,Husband better educated,Female,Last 12 months,1.6
Spousal education difference,Wife better educated,Female,Last 12 months,2.6
Spousal education difference,Both equally educated,Female,Last 12 months,1.5
Spousal education difference,Neither educated,Female,Last 12 months,1.1
Spousal age difference,Wife older,Female,Last 12 months,3.1
Spousal age difference,Wife is same age,Female,Last 12 months,4.5
Spousal age difference,Wife 1-4 years younger,Female,Last 12 months,1.8
Spousal age difference,Wife 5-9 years younger,Female,Last 12 months,1.3
Spousal age difference,Wife 10 or more years younger,Female,Last 12 months,1.5
Number of decisions in which he/she participates,0,Female,Last 12 months,1.3
Number of decisions in which he/she participates,1,Female,Last 12 months,1.6
Number of decisions in which he/she participates,2,Female,Last 12 months,1.9
Number of controlling behaviors displayed by spouse/intimate partner,0,Female,Last 12 months,0.6
Number of controlling behaviors displayed by spouse/intimate partner,1-2,Female,Last 12 months,1.3
Number of controlling behaviors displayed by spouse/intimate partner,3-4,Female,Last 12 months,4.2
Number of controlling behaviors displayed by spouse/intimate partner,5,Female,Last 12 months,8.8
Number of reasons for which wife beating is justified,0,Female,Last 12 months,1.6
Number of reasons for which wife beating is justified,1,Female,Last 12 months,1.9
Number of reasons for which wife beating is justified,2,Female,Last 12 months,2.3
Number of reasons for which wife beating is justified,3,Female,Last 12 months,1.9
