"County","Gender","variable","value"
"Mombasa","Female","Know where or from whom to seek help if ever experienced violence","*"
"Kwale","Female","Know where or from whom to seek help if ever experienced violence","*"
"Kilifi","Female","Know where or from whom to seek help if ever experienced violence","*"
"Tana River","Female","Know where or from whom to seek help if ever experienced violence","*"
"Lamu","Female","Know where or from whom to seek help if ever experienced violence","*"
"Taita Taveta","Female","Know where or from whom to seek help if ever experienced violence","*"
"Garissa","Female","Know where or from whom to seek help if ever experienced violence","*"
"Wajir","Female","Know where or from whom to seek help if ever experienced violence","*"
"Mandera","Female","Know where or from whom to seek help if ever experienced violence","*"
"Marsabit","Female","Know where or from whom to seek help if ever experienced violence","*"
"Isiolo","Female","Know where or from whom to seek help if ever experienced violence","*"
"Meru","Female","Know where or from whom to seek help if ever experienced violence","*"
"Tharaka Nithi","Female","Know where or from whom to seek help if ever experienced violence","*"
"Embu","Female","Know where or from whom to seek help if ever experienced violence","*"
"Kitui","Female","Know where or from whom to seek help if ever experienced violence","*"
"Machakos","Female","Know where or from whom to seek help if ever experienced violence","*"
"Makueni","Female","Know where or from whom to seek help if ever experienced violence","*"
"Nyandarua","Female","Know where or from whom to seek help if ever experienced violence","*"
"Nyeri","Female","Know where or from whom to seek help if ever experienced violence","*"
"Kirinyaga","Female","Know where or from whom to seek help if ever experienced violence","*"
"Muranga","Female","Know where or from whom to seek help if ever experienced violence","95.9"
"Kiambu","Female","Know where or from whom to seek help if ever experienced violence","*"
"Turkana","Female","Know where or from whom to seek help if ever experienced violence","*"
"West Pokot","Female","Know where or from whom to seek help if ever experienced violence","*"
"Samburu","Female","Know where or from whom to seek help if ever experienced violence","*"
"Trans Nzoia","Female","Know where or from whom to seek help if ever experienced violence","*"
"Uasin Gishu","Female","Know where or from whom to seek help if ever experienced violence","*"
"Elgeyo Marakwet","Female","Know where or from whom to seek help if ever experienced violence","*"
"Nandi","Female","Know where or from whom to seek help if ever experienced violence","*"
"Baringo","Female","Know where or from whom to seek help if ever experienced violence","*"
"Laikipia","Female","Know where or from whom to seek help if ever experienced violence","*"
"Nakuru","Female","Know where or from whom to seek help if ever experienced violence","97.5"
"Narok","Female","Know where or from whom to seek help if ever experienced violence","*"
"Kajiado","Female","Know where or from whom to seek help if ever experienced violence","*"
"Kericho","Female","Know where or from whom to seek help if ever experienced violence","*"
"Bomet","Female","Know where or from whom to seek help if ever experienced violence","*"
"Kakamega","Female","Know where or from whom to seek help if ever experienced violence","*"
"Vihiga","Female","Know where or from whom to seek help if ever experienced violence","*"
"Bungoma","Female","Know where or from whom to seek help if ever experienced violence","95.0"
"Busia","Female","Know where or from whom to seek help if ever experienced violence","*"
"Siaya","Female","Know where or from whom to seek help if ever experienced violence","*"
"Kisumu","Female","Know where or from whom to seek help if ever experienced violence","*"
"Homa Bay","Female","Know where or from whom to seek help if ever experienced violence","*"
"Migori","Female","Know where or from whom to seek help if ever experienced violence","97.5"
"Kisii","Female","Know where or from whom to seek help if ever experienced violence","*"
"Nyamira","Female","Know where or from whom to seek help if ever experienced violence","*"
"Nairobi","Female","Know where or from whom to seek help if ever experienced violence","*"
"Mombasa","Male","Know where or from whom to seek help if ever experienced violence","*"
"Kwale","Male","Know where or from whom to seek help if ever experienced violence","*"
"Kilifi","Male","Know where or from whom to seek help if ever experienced violence","*"
"Tana River","Male","Know where or from whom to seek help if ever experienced violence","*"
"Lamu","Male","Know where or from whom to seek help if ever experienced violence","*"
"Taita Taveta","Male","Know where or from whom to seek help if ever experienced violence","*"
"Garissa","Male","Know where or from whom to seek help if ever experienced violence","*"
"Wajir","Male","Know where or from whom to seek help if ever experienced violence","*"
"Mandera","Male","Know where or from whom to seek help if ever experienced violence","*"
"Marsabit","Male","Know where or from whom to seek help if ever experienced violence","*"
"Isiolo","Male","Know where or from whom to seek help if ever experienced violence","*"
"Meru","Male","Know where or from whom to seek help if ever experienced violence","*"
"Tharaka Nithi","Male","Know where or from whom to seek help if ever experienced violence","*"
"Embu","Male","Know where or from whom to seek help if ever experienced violence","*"
"Kitui","Male","Know where or from whom to seek help if ever experienced violence","*"
"Machakos","Male","Know where or from whom to seek help if ever experienced violence","*"
"Makueni","Male","Know where or from whom to seek help if ever experienced violence","*"
"Nyandarua","Male","Know where or from whom to seek help if ever experienced violence","*"
"Nyeri","Male","Know where or from whom to seek help if ever experienced violence","*"
"Muranga","Male","Know where or from whom to seek help if ever experienced violence","*"
"Kiambu","Male","Know where or from whom to seek help if ever experienced violence","*"
"Turkana","Male","Know where or from whom to seek help if ever experienced violence","*"
"West Pokot","Male","Know where or from whom to seek help if ever experienced violence","*"
"Samburu","Male","Know where or from whom to seek help if ever experienced violence","*"
"Trans Nzoia","Male","Know where or from whom to seek help if ever experienced violence","*"
"Uasin Gishu","Male","Know where or from whom to seek help if ever experienced violence","*"
"Elgeyo Marakwet","Male","Know where or from whom to seek help if ever experienced violence","*"
"Nandi","Male","Know where or from whom to seek help if ever experienced violence","*"
"Baringo","Male","Know where or from whom to seek help if ever experienced violence","*"
"Laikipia","Male","Know where or from whom to seek help if ever experienced violence","*"
"Nakuru","Male","Know where or from whom to seek help if ever experienced violence","*"
"Narok","Male","Know where or from whom to seek help if ever experienced violence","*"
"Kajiado","Male","Know where or from whom to seek help if ever experienced violence","*"
"Kericho","Male","Know where or from whom to seek help if ever experienced violence","*"
"Bomet","Male","Know where or from whom to seek help if ever experienced violence","*"
"Kakamega","Male","Know where or from whom to seek help if ever experienced violence","*"
"Vihiga","Male","Know where or from whom to seek help if ever experienced violence","*"
"Bungoma","Male","Know where or from whom to seek help if ever experienced violence","*"
"Busia","Male","Know where or from whom to seek help if ever experienced violence","*"
"Siaya","Male","Know where or from whom to seek help if ever experienced violence","*"
"Kisumu","Male","Know where or from whom to seek help if ever experienced violence","*"
"Homa Bay","Male","Know where or from whom to seek help if ever experienced violence","*"
"Migori","Male","Know where or from whom to seek help if ever experienced violence","*"
"Kisii","Male","Know where or from whom to seek help if ever experienced violence","*"
"Nyamira","Male","Know where or from whom to seek help if ever experienced violence","*"
"Nairobi","Male","Know where or from whom to seek help if ever experienced violence","*"
"","Male","Know where or from whom to seek help if ever experienced violence",""
"Mombasa","Female","Sought help to stop violence","39.6"
"Kwale","Female","Sought help to stop violence","31.9"
"Kilifi","Female","Sought help to stop violence","31.6"
"Tana River","Female","Sought help to stop violence","22.0"
"Lamu","Female","Sought help to stop violence","64.1"
"Taita Taveta","Female","Sought help to stop violence","36.0"
"Garissa","Female","Sought help to stop violence","31.6"
"Wajir","Female","Sought help to stop violence","51.4"
"Mandera","Female","Sought help to stop violence","11.3"
"Marsabit","Female","Sought help to stop violence","18.0"
"Isiolo","Female","Sought help to stop violence","24.7"
"Meru","Female","Sought help to stop violence","48.4"
"Tharaka Nithi","Female","Sought help to stop violence","45.4"
